client,bank,context,family,counts,count_min,count_median,singular_values,rank,condition,matrix_sha256
20,A,gaussian_blur,S,"[167, 188, 233, 195, 182, 225, 143, 231, 185, 231]",143,191.5,"[1.1869156614488001, 0.7285448611605883, 0.31695955951316285, 0.22218811391087018, 0.1357046981214552, 0.07646160617468059, 0.06699926878706962, 0.024396657759465566, 0.01552592347822704, 0.015247767672502749]",10,77.84192984453975,428a3c9be3a3d001df6342a59803dcb189b4caef31207c87bb3893e04bd1192c
20,B,clean,H,"[1516, 1495, 1509, 1482, 1492, 1500, 1375, 1508, 1502, 1508]",1375,1501.0,"[1.4318155576559426, 1.048259897670755, 0.6695423600108651, 0.45196454650524887, 0.193513237635111, 0.14271942305811283, 0.12371295085002951, 0.06425290549910229, 0.0007253965365574596, 0.0]",9,inf,1097a7feec91dfe1069b731fb420baf9f52e7803edeceb57157a1e39ee158c38
20,B,clean,S,"[167, 188, 233, 195, 182, 225, 143, 231, 185, 231]",143,191.5,"[1.1827855065727815, 0.7492018065970726, 0.3549059650375358, 0.2482313001551944, 0.14354654510015538, 0.07842511366955487, 0.07669270542133129, 0.025253172228925237, 0.016989570991282208, 0.015801276275286758]",10,74.85379572931468,e75dbb2a0b4718dad021e4678947b8f6d9c61a538c2d7dbfaa7ec9ce10bd96ce
20,B,brightness_dark,H,"[1516, 1495, 1509, 1482, 1492, 1500, 1375, 1508, 1502, 1508]",1375,1501.0,"[1.4322493282197735, 1.038171564060063, 0.6624462879802013, 0.4473962682489791, 0.17778003338290496, 0.12363438102571783, 0.11687279041373178, 0.031704293674236876, 0.001647528692729567, 0.0]",9,inf,dbf9d2639f8ff0d1f9b8f3ae0dc87b1428a1a164352b19aceb118c2dbfc3dd3a
20,B,brightness_dark,S,"[167, 188, 233, 195, 182, 225, 143, 231, 185, 231]",143,191.5,"[1.1777009066514914, 0.7397885934934894, 0.32743705742498397, 0.22425660267295291, 0.11229789884975021, 0.07185339975376116, 0.0576410120222728, 0.015911283294934086, 0.011510407846982068, 0.005906882773334611]",10,199.37773472803224,7496909c29f8fbd9e42b99b651fa5da171a8fce645012b7512559f116648b336
20,B,contrast_low,H,"[1516, 1495, 1509, 1482, 1492, 1500, 1375, 1508, 1502, 1508]",1375,1501.0,"[1.5556788695604358, 0.9958105080307511, 0.606882606326225, 0.3160859924296747, 0.0947577900123249, 0.0744266579935171, 0.033283765803315796, 0.026217761914428477, 4.955299253909089e-18, 0.0]",8,inf,210119aa8416bb33b2700f489b8edadc35f9c48e86814d10eb2c4c289a05264b
20,B,contrast_low,S,"[167, 188, 233, 195, 182, 225, 143, 231, 185, 231]",143,191.5,"[1.2043820360232678, 0.6846991552338259, 0.2949821682168452, 0.15498814583670598, 0.08704290226074528, 0.046055059946668135, 0.03487705649465621, 0.012675784515026522, 0.007321923722336192, 0.0065207197238397645]",10,184.70078258693508,b528b70e9cc9d42d615bed76f54835c463631a81f1aacd5dffcadc7feb45f4a9
20,B,gaussian_noise,H,"[1516, 1495, 1509, 1482, 1492, 1500, 1375, 1508, 1502, 1508]",1375,1501.0,"[1.4471608312901751, 1.0217987223641027, 0.6296748745753639, 0.40499538786385647, 0.18626610306483446, 0.12991439346521438, 0.08990010248771531, 0.05391407741625527, 0.001693672205267562, 0.0]",9,inf,388b22c137ca3ab7121366ee45c1ef5cf87cd905a664aed55f63e5623741a6df
20,B,gaussian_noise,S,"[167, 188, 233, 195, 182, 225, 143, 231, 185, 231]",143,191.5,"[1.185039394934965, 0.7140852364650525, 0.32030515970795076, 0.227092141352092, 0.1364213054720962, 0.07278970669942517, 0.06423601194982846, 0.023159559806193893, 0.015410277958732805, 0.013680855429834039]",10,86.62027027569727,fadde8da8ef8d25ab0bce81050567cb6d4d328620672119ad6654d7676aaa814
20,B,gaussian_blur,H,"[1516, 1495, 1509, 1482, 1492, 1500, 1375, 1508, 1502, 1508]",1375,1501.0,"[1.4392597262505655, 1.0302028212017187, 0.6425283893552218, 0.39974031803263005, 0.1949183203028965, 0.13674672069863067, 0.11064490292777043, 0.0701133509173658, 0.0016862953402819929, 0.0]",9,inf,b10037333d001a5da358217dcb27a385fdb209d912c45585b6bc01cb7f51ae5e
20,B,gaussian_blur,S,"[167, 188, 233, 195, 182, 225, 143, 231, 185, 231]",143,191.5,"[1.1915227582445296, 0.7331356386544144, 0.3191432724217327, 0.22323605159462462, 0.13521490005315537, 0.0780069563000992, 0.06662402535296456, 0.024229334989831694, 0.015346675478403767, 0.015003390437807488]",10,79.41690001227829,045c0fb2618235fb1c5db0c925310427ccf95272fc5025276443e513a96f4351
21,A,clean,H,"[1516, 1495, 1509, 1479, 1253, 1500, 1527, 1508, 1502, 1508]",1253,1505.0,"[1.4312843576685461, 1.0483675373531431, 0.6689185274882345, 0.45104892141278713, 0.19365684838143657, 0.14274164410917478, 0.12330030103366806, 0.06474220063013394, 0.0007945339523308855, 0.0]",9,inf,96e9e28803ae034d67097f649b9048e59a4291716f51027e3b55529248da761d
21,A,clean,S,"[167, 188, 233, 195, 162, 225, 163, 231, 185, 231]",162,191.5,"[1.1843297237953703, 0.747451198074285, 0.35431293863718877, 0.25093815556055205, 0.1428569406554532, 0.0786276835716382, 0.07662166370707434, 0.025232024108746358, 0.01680592462771908, 0.014757661192138002]",10,80.25185755221906,1029e62a9aec8d687a343106adbc0c4ecfcd22bf3a1f30715b3769319752250f
21,A,brightness_dark,H,"[1516, 1495, 1509, 1479, 1253, 1500, 1527, 1508, 1502, 1508]",1253,1505.0,"[1.4406112511666849, 1.042823992079771, 0.6600934311890868, 0.45019780837894396, 0.17015164326696353, 0.12153471804495457, 0.11456266077696112, 0.02869407270033459, 0.001259460885786328, 0.0]",9,inf,08363427b06c8fd31df6e34dcf4517a13f4f6fe91f35a7acea4783f94a3beb70
21,A,brightness_dark,S,"[167, 188, 233, 195, 162, 225, 163, 231, 185, 231]",162,191.5,"[1.1818038417011172, 0.7377399974293014, 0.324175001125213, 0.2215497074104301, 0.11034350877384415, 0.0706323248505951, 0.05609761317002653, 0.015546387673297626, 0.010353949141521091, 0.005737923035994625]",10,205.96369701850847,bface2e5a70a9e034edeeec4c93adcd9024ca75c29a705d9d566bbcc88f96cd5
