client,target,n_query,none,oracle_correct_pair,oracle_target_permuted,oracle_wrong_alt,oracle_noise_source,oracle_target_permuted_delta,oracle_wrong_alt_delta,oracle_noise_source_delta
43,brightness_dark,198,0.0,7.575757801532745,0.0,0.0,0.0,7.575757801532745,7.575757801532745,7.575757801532745
44,brightness_dark,74,4.054054245352745,18.918919563293457,0.0,4.054054245352745,0.0,18.918919563293457,14.864865317940712,18.918919563293457
45,brightness_dark,13,76.92307829856873,46.153849363327026,30.769231915473938,69.2307710647583,0.0,15.384617447853088,-23.076921701431274,46.153849363327026
46,brightness_dark,79,0.0,7.594937086105347,0.0,0.0,0.0,7.594937086105347,7.594937086105347,7.594937086105347
47,brightness_dark,32,40.625,68.75,37.5,40.625,25.0,31.25,28.125,43.75
48,brightness_dark,161,0.0,2.484472095966339,0.0,0.0,0.0,2.484472095966339,2.484472095966339,2.484472095966339
49,brightness_dark,202,5.940593779087067,28.71287167072296,0.4950494971126318,3.4653466194868088,0.0,28.21782217361033,25.247525051236153,28.71287167072296
50,brightness_dark,121,60.330575704574585,40.495866537094116,33.05785059928894,61.983466148376465,1.652892492711544,7.438015937805176,-21.48759961128235,38.84297404438257
51,brightness_dark,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,brightness_dark,24,54.16666865348816,45.83333432674408,79.16666865348816,66.66666865348816,83.33333730697632,-33.33333432674408,-20.83333432674408,-37.50000298023224
53,brightness_dark,121,2.4793386459350586,28.099173307418823,0.0,0.0,0.0,28.099173307418823,28.099173307418823,28.099173307418823
54,brightness_dark,237,19.409281015396118,30.379745364189148,16.033753752708435,17.299577593803406,15.611813962459564,14.345991611480713,13.080167770385742,14.767931401729584
55,brightness_dark,210,16.190476715564728,71.42857313156128,95.71428894996643,12.380953133106232,95.71428894996643,-24.28571581840515,59.04761999845505,-24.28571581840515
56,brightness_dark,118,18.644067645072937,17.796610295772552,7.62711837887764,17.796610295772552,0.0,10.169491916894913,0.0,17.796610295772552
57,brightness_dark,117,15.384615957736969,39.31623995304108,21.367523074150085,8.547008782625198,21.367523074150085,17.94871687889099,30.76923117041588,17.94871687889099
58,brightness_dark,28,0.0,3.57142873108387,3.57142873108387,0.0,3.57142873108387,0.0,3.57142873108387,0.0
59,brightness_dark,94,12.765957415103912,44.680848717689514,31.91489279270172,12.765957415103912,31.91489279270172,12.765955924987793,31.914891302585602,12.765955924987793
60,brightness_dark,475,0.21052630618214607,17.263157665729523,0.0,0.42105261236429214,0.0,17.263157665729523,16.84210505336523,17.263157665729523
61,brightness_dark,15,0.0,6.666667014360428,0.0,0.0,0.0,6.666667014360428,6.666667014360428,6.666667014360428
62,brightness_dark,75,6.666667014360428,12.000000476837158,0.0,6.666667014360428,0.0,12.000000476837158,5.33333346247673,12.000000476837158
63,brightness_dark,215,25.11627972126007,30.697673559188843,40.93023240566254,17.674419283866882,40.93023240566254,-10.232558846473694,13.02325427532196,-10.232558846473694
64,brightness_dark,127,4.724409431219101,16.535432636737823,2.3622047156095505,4.724409431219101,2.3622047156095505,14.173227921128273,11.811023205518723,14.173227921128273
65,brightness_dark,152,0.0,9.868421405553818,0.0,0.0,0.0,9.868421405553818,9.868421405553818,9.868421405553818
66,brightness_dark,194,1.0309278033673763,2.5773195549845695,0.0,0.5154639016836882,0.0,2.5773195549845695,2.0618556533008814,2.5773195549845695
67,brightness_dark,82,7.31707289814949,29.26829159259796,12.195121496915817,3.658536449074745,0.0,17.073170095682144,25.609755143523216,29.26829159259796
68,brightness_dark,229,5.676855891942978,24.45414960384369,29.694324731826782,4.803493618965149,29.694324731826782,-5.240175127983093,19.65065598487854,-5.240175127983093
69,brightness_dark,142,11.267605423927307,20.42253464460373,1.4084506779909134,11.267605423927307,4.22535203397274,19.014083966612816,9.154929220676422,16.19718261063099
70,brightness_dark,77,11.688311398029327,64.9350643157959,75.32467246055603,10.389610379934311,75.32467246055603,-10.389608144760132,54.54545393586159,-10.389608144760132
71,brightness_dark,36,0.0,8.33333358168602,0.0,0.0,0.0,8.33333358168602,8.33333358168602,8.33333358168602
72,brightness_dark,161,7.453416287899017,47.20497131347656,49.06832277774811,7.453416287899017,50.31055808067322,-1.8633514642715454,39.751555025577545,-3.1055867671966553
73,brightness_dark,228,11.84210553765297,24.122807383537292,19.29824650287628,6.578947603702545,19.29824650287628,4.824560880661011,17.543859779834747,4.824560880661011
74,brightness_dark,164,53.04877758026123,70.7317054271698,92.07316637039185,40.24389982223511,92.07316637039185,-21.341460943222046,30.487805604934692,-21.341460943222046
75,brightness_dark,200,11.999999731779099,51.499998569488525,42.49999821186066,7.499999552965164,42.49999821186066,9.000000357627869,43.99999901652336,9.000000357627869
76,brightness_dark,167,33.53293538093567,54.4910192489624,54.4910192489624,27.544909715652466,54.4910192489624,0.0,26.946109533309937,0.0
77,brightness_dark,172,43.60465109348297,36.62790656089783,50.581395626068115,45.34883797168732,51.744186878204346,-13.953489065170288,-8.72093141078949,-15.116280317306519
78,brightness_dark,98,0.0,9.183673560619354,0.0,0.0,0.0,9.183673560619354,9.183673560619354,9.183673560619354
