client,bank,target,alpha,DeltaJ,DeltaC,DeltaAcc
2,A,contrast_low,0.5,66.1439723744428,-0.0007575529354695045,0.0
2,A,contrast_low,0.75,81.08816159002416,-0.0010788907853062468,0.0
2,A,contrast_low,1.0,86.96749576323866,-0.0013258357674290075,0.7142857142857143
2,A,contrast_low,1.25,84.50795702791982,-0.0015454086913891827,0.7142857142857143
2,A,contrast_low,1.5,74.28669771432091,-0.0016915608132923887,0.0
2,B,contrast_low,0.0,0.0,0.0,0.0
2,B,contrast_low,0.25,39.675358041225856,-0.0003804166333297586,0.0
2,B,contrast_low,0.5,65.2653446080123,-0.0007685210878588264,0.0
2,B,contrast_low,0.75,79.93049359998311,-0.0010746107903175936,0.0
2,B,contrast_low,1.0,85.92951990337514,-0.0013051219908873572,0.7142857142857143
2,B,contrast_low,1.25,82.48412681684127,-0.0014467048442654688,0.0
2,B,contrast_low,1.5,70.28600017058876,-0.0015129452556701829,0.0
2,A,gaussian_noise,0.0,0.0,0.0,0.0
2,A,gaussian_noise,0.25,10.109681288416638,-8.384492136675071e-05,0.0
2,A,gaussian_noise,0.5,18.105004526316932,-0.00014838469768994542,0.0
2,A,gaussian_noise,0.75,23.498919289740467,-0.00017931849552678403,0.0
2,A,gaussian_noise,1.0,25.68150256869447,-0.00018678663756114666,0.0
2,A,gaussian_noise,1.25,23.81194047185825,-0.00015248181024637986,0.0
2,A,gaussian_noise,1.5,16.56058704415518,-8.153626471015234e-05,0.7142857142857143
2,B,gaussian_noise,0.0,0.0,0.0,0.0
2,B,gaussian_noise,0.25,10.8070124258847,-6.220431430388473e-05,0.0
2,B,gaussian_noise,0.5,19.423568958930574,-0.0001033497735304081,0.0
2,B,gaussian_noise,0.75,25.368539022456456,-0.00011589776986174402,0.0
2,B,gaussian_noise,1.0,28.03619557737941,-0.00010405754478715838,0.0
2,B,gaussian_noise,1.25,26.581627975563325,-5.081700564619606e-05,0.0
2,B,gaussian_noise,1.5,19.601723343668283,3.199507748219074e-05,0.7142857142857143
2,A,gaussian_blur,0.0,0.0,0.0,0.0
2,A,gaussian_blur,0.25,5.721734622577479,-0.0002762032755397907,0.0
2,A,gaussian_blur,0.5,9.230761582973663,-0.0005173151157819482,0.0
2,A,gaussian_blur,0.75,10.635220794031252,-0.0007257411982189337,0.7142857142857143
2,A,gaussian_blur,1.0,10.010074918350249,-0.0008887474627457138,0.7142857142857143
2,A,gaussian_blur,1.25,7.400266258147838,-0.0010081621913027193,0.7142857142857143
2,A,gaussian_blur,1.5,2.848636465569175,-0.0010837468547911112,1.4285714285714286
2,B,gaussian_blur,0.0,0.0,0.0,0.0
2,B,gaussian_blur,0.25,5.9353353026871485,-0.00027363731736659846,0.0
2,B,gaussian_blur,0.5,9.313442681242185,-0.0005087012253218231,0.0
2,B,gaussian_blur,0.75,10.278325210110516,-0.0007047023277947685,0.7142857142857143
2,B,gaussian_blur,1.0,8.906029818492124,-0.0008500189630978889,0.7142857142857143
2,B,gaussian_blur,1.25,5.274138958114486,-0.0009488699486016102,0.7142857142857143
2,B,gaussian_blur,1.5,-0.5557737184934552,-0.0010042651209928588,0.7142857142857143
3,A,brightness_dark,0.0,0.0,0.0,0.0
3,A,brightness_dark,0.25,71.16221487632512,-0.00026034374579335883,0.46296296296296297
3,A,brightness_dark,0.5,109.99600677217887,-0.0005410942337595083,4.166666666666667
3,A,brightness_dark,0.75,136.1295907688,-0.0007940212832828007,12.037037037037036
3,A,brightness_dark,1.0,138.66845783109616,-0.0010064765418883806,14.351851851851851
3,A,brightness_dark,1.25,124.52592819059055,-0.0011484399715100471,18.98148148148148
3,A,brightness_dark,1.5,88.12542761318372,-0.0013815264172722442,19.444444444444443
3,B,brightness_dark,0.0,0.0,0.0,0.0
3,B,brightness_dark,0.25,71.70627782267948,-0.00026386890517865946,0.46296296296296297
3,B,brightness_dark,0.5,109.935968106502,-0.0005468782083205691,4.166666666666667
3,B,brightness_dark,0.75,134.84437495005304,-0.0007908885336992944,12.037037037037036
3,B,brightness_dark,1.0,135.89781325517825,-0.0010129234372448573,14.814814814814815
3,B,brightness_dark,1.25,108.11004310130278,-0.0011591611889128605,19.444444444444443
3,B,brightness_dark,1.5,96.81867297212466,-0.001398847613750685,20.37037037037037
3,A,contrast_low,0.0,0.0,0.0,0.0
3,A,contrast_low,0.25,27.69236432965117,-8.747603372552662e-05,0.0
3,A,contrast_low,0.5,40.108989348813004,-0.00017199064020693923,5.092592592592593
3,A,contrast_low,0.75,40.737243490149005,-0.00022200853450179183,6.944444444444445
3,A,contrast_low,1.0,31.334356163386445,-0.00025123951714131685,7.407407407407407
3,A,contrast_low,1.25,12.887532198330376,-0.00029781852240742715,9.722222222222221
3,A,contrast_low,1.5,-14.023437396746004,-0.00037293232020983074,10.185185185185185
3,B,contrast_low,0.0,0.0,0.0,0.0
3,B,contrast_low,0.25,28.872618454631407,-9.36927685181007e-05,0.0
3,B,contrast_low,0.5,42.84527766746897,-0.00019799928283666525,2.7777777777777777
3,B,contrast_low,0.75,45.25238916474807,-0.00027503054028422415,4.62962962962963
3,B,contrast_low,1.0,37.547921735197555,-0.0003256762004707164,5.555555555555555
3,B,contrast_low,1.25,20.42824949855519,-0.00039253445952748,5.555555555555555
3,B,contrast_low,1.5,-5.7331398069407555,-0.00047541084045636065,5.092592592592593
3,A,gaussian_noise,0.0,0.0,0.0,0.0
3,A,gaussian_noise,0.25,8.424272088449712,-1.6135252340947854e-05,1.3888888888888888
3,A,gaussian_noise,0.5,14.48274352908922,-2.1500489971174996e-05,1.8518518518518519
3,A,gaussian_noise,0.75,17.74344319577938,-1.737677983377128e-05,3.240740740740741
3,A,gaussian_noise,1.0,17.76570717886287,3.883838185030812e-06,3.7037037037037037
3,A,gaussian_noise,1.25,13.90450567628185,3.9320622844824134e-05,5.092592592592593
3,A,gaussian_noise,1.5,4.806304026474031,8.405540696062946e-05,6.018518518518518
3,B,gaussian_noise,0.0,0.0,0.0,0.0
3,B,gaussian_noise,0.25,9.155945174714354,-1.0618773509048045e-05,0.9259259259259259
3,B,gaussian_noise,0.5,15.86605675363893,-1.0413640289994551e-05,1.8518518518518519
3,B,gaussian_noise,0.75,19.74047447503778,-6.295908806937169e-06,1.8518518518518519
3,B,gaussian_noise,1.0,20.489449860459004,1.3076432854395442e-05,3.7037037037037037
3,B,gaussian_noise,1.25,17.496323191578238,4.870135080369963e-05,4.166666666666667
3,B,gaussian_noise,1.5,9.115226292501873,9.09353914440613e-05,5.555555555555555
3,A,gaussian_blur,0.0,0.0,0.0,0.0
3,A,gaussian_blur,0.25,5.767516546669057,-4.4722347035322215e-05,-1.8518518518518519
3,A,gaussian_blur,0.5,9.398010865032902,-8.908272949319403e-05,-1.3888888888888888
3,A,gaussian_blur,0.75,10.998454184860904,-0.00013994357803732678,0.0
3,A,gaussian_blur,1.0,10.638330247129339,-0.00018871354059381154,0.46296296296296297
3,A,gaussian_blur,1.25,8.364722656197248,-0.00023571361204586063,0.46296296296296297
3,A,gaussian_blur,1.5,4.211766140811058,-0.0002747983534076828,0.9259259259259259
3,B,gaussian_blur,0.0,0.0,0.0,0.0
