client,bank,target,J_ray,PC_ray_safe
46,A,brightness_dark,1.0,0.0
46,B,brightness_dark,1.0,0.0
46,A,contrast_low,1.25,0.0
46,B,contrast_low,1.25,0.0
46,A,gaussian_noise,0.75,1.5
46,B,gaussian_noise,0.75,1.5
46,A,gaussian_blur,1.25,0.0
46,B,gaussian_blur,1.25,0.0
47,A,brightness_dark,1.0,0.0
47,B,brightness_dark,1.0,0.0
47,A,contrast_low,1.0,0.0
47,B,contrast_low,1.0,0.0
47,A,gaussian_noise,0.75,1.25
47,B,gaussian_noise,1.0,1.25
47,A,gaussian_blur,1.0,0.0
47,B,gaussian_blur,1.0,0.0
48,A,brightness_dark,1.0,0.0
48,B,brightness_dark,1.0,0.0
48,A,contrast_low,1.25,0.0
48,B,contrast_low,1.25,0.0
48,A,gaussian_noise,0.75,1.5
48,B,gaussian_noise,1.0,1.5
48,A,gaussian_blur,1.25,0.0
48,B,gaussian_blur,1.25,0.0
49,A,brightness_dark,1.0,0.0
49,B,brightness_dark,1.0,0.0
49,A,contrast_low,1.25,0.0
49,B,contrast_low,1.25,0.0
49,A,gaussian_noise,1.0,0.25
49,B,gaussian_noise,1.0,0.25
49,A,gaussian_blur,1.0,0.0
49,B,gaussian_blur,1.0,0.0
50,A,brightness_dark,1.0,0.0
50,B,brightness_dark,1.0,0.0
50,A,contrast_low,1.0,0.0
50,B,contrast_low,1.0,0.0
50,A,gaussian_noise,1.0,1.5
50,B,gaussian_noise,1.0,1.5
50,A,gaussian_blur,1.0,0.0
50,B,gaussian_blur,1.0,0.0
51,A,brightness_dark,1.0,0.0
51,B,brightness_dark,1.0,0.0
51,A,contrast_low,1.0,0.0
51,B,contrast_low,1.0,0.0
51,A,gaussian_noise,1.0,0.0
51,B,gaussian_noise,1.0,0.0
51,A,gaussian_blur,0.75,0.0
51,B,gaussian_blur,0.75,0.0
52,A,brightness_dark,1.0,0.0
52,B,brightness_dark,1.0,0.0
52,A,contrast_low,1.25,0.0
52,B,contrast_low,1.25,0.0
52,A,gaussian_noise,0.75,1.5
52,B,gaussian_noise,0.75,0.75
52,A,gaussian_blur,1.5,0.0
52,B,gaussian_blur,1.5,0.0
53,A,brightness_dark,1.0,0.0
53,B,brightness_dark,1.0,0.0
53,A,contrast_low,1.0,0.0
53,B,contrast_low,1.0,0.0
53,A,gaussian_noise,1.0,0.0
53,B,gaussian_noise,1.0,0.0
53,A,gaussian_blur,0.5,0.0
53,B,gaussian_blur,0.5,0.0
54,A,brightness_dark,1.0,0.0
54,B,brightness_dark,1.0,0.0
54,A,contrast_low,1.25,0.0
54,B,contrast_low,1.25,0.0
54,A,gaussian_noise,1.0,0.25
54,B,gaussian_noise,1.0,0.25
54,A,gaussian_blur,1.0,0.0
54,B,gaussian_blur,1.0,0.0
55,A,brightness_dark,1.0,0.0
55,B,brightness_dark,1.0,0.0
55,A,contrast_low,1.0,0.0
55,B,contrast_low,0.75,0.0
55,A,gaussian_noise,0.75,0.0
55,B,gaussian_noise,1.0,0.0
55,A,gaussian_blur,1.0,0.0
55,B,gaussian_blur,0.75,0.0
56,A,brightness_dark,1.0,0.0
56,B,brightness_dark,1.0,0.0
56,A,contrast_low,1.25,0.0
56,B,contrast_low,1.25,0.0
56,A,gaussian_noise,0.75,1.25
56,B,gaussian_noise,0.75,0.5
56,A,gaussian_blur,1.25,0.0
56,B,gaussian_blur,1.25,0.0
57,A,brightness_dark,1.25,0.0
57,B,brightness_dark,1.0,0.0
57,A,contrast_low,1.25,0.0
57,B,contrast_low,1.25,0.0
57,A,gaussian_noise,0.75,0.0
57,B,gaussian_noise,0.75,1.5
57,A,gaussian_blur,1.25,0.0
57,B,gaussian_blur,1.25,0.0
58,A,brightness_dark,1.0,0.0
58,B,brightness_dark,1.0,0.0
58,A,contrast_low,1.0,0.0
58,B,contrast_low,1.0,0.0
58,A,gaussian_noise,1.0,0.0
58,B,gaussian_noise,1.25,0.0
58,A,gaussian_blur,0.75,0.0
58,B,gaussian_blur,0.5,1.5
59,A,brightness_dark,1.0,0.0
59,B,brightness_dark,1.0,0.0
59,A,contrast_low,0.75,0.0
59,B,contrast_low,0.75,0.0
59,A,gaussian_noise,1.0,0.0
59,B,gaussian_noise,1.0,0.0
59,A,gaussian_blur,0.75,0.0
59,B,gaussian_blur,0.75,0.0
60,A,brightness_dark,1.0,0.0
60,B,brightness_dark,1.0,0.0
60,A,contrast_low,0.75,0.0
60,B,contrast_low,0.75,0.0
60,A,gaussian_noise,0.75,0.0
60,B,gaussian_noise,1.0,0.0
60,A,gaussian_blur,0.75,0.0
60,B,gaussian_blur,0.75,0.0
61,A,brightness_dark,1.0,0.0
61,B,brightness_dark,1.0,0.0
61,A,contrast_low,1.25,0.0
61,B,contrast_low,1.25,0.0
