client,bank,target,candidate,DeltaC,DeltaJ,DeltaAcc
1,A,contrast_low,contrast_low,-0.0009586329217242742,100.56534839334964,4.040404040404041
1,A,contrast_low,gaussian_noise,8.601822046726065e-05,-73.95158527134117,0.0
1,A,contrast_low,gaussian_blur,-0.00018947125006265415,51.46017429217557,2.0202020202020203
1,B,contrast_low,clean,0.0,0.0,0.0
1,B,contrast_low,brightness_dark,-0.0038305676224780188,-645.5965295016584,5.05050505050505
1,B,contrast_low,contrast_low,-0.0009680875173136271,98.76676560322814,3.0303030303030303
1,B,contrast_low,gaussian_noise,7.920936198763616e-05,-72.461869043897,0.0
1,B,contrast_low,gaussian_blur,-0.00020435586841440736,53.91513165397598,2.0202020202020203
1,A,gaussian_noise,clean,0.0,0.0,0.0
1,A,gaussian_noise,brightness_dark,-0.026588590702970982,-3886.0547690629182,15.151515151515152
1,A,gaussian_noise,contrast_low,0.0005988550271995205,-443.62536387577927,-3.0303030303030303
1,A,gaussian_noise,gaussian_noise,0.0003140211677516982,26.11788123334213,2.0202020202020203
1,A,gaussian_noise,gaussian_blur,-0.0003387302612049706,-85.18510371591978,-2.0202020202020203
1,B,gaussian_noise,clean,0.0,0.0,0.0
1,B,gaussian_noise,brightness_dark,-0.02563334890525994,-2576.214758971437,17.171717171717173
1,B,gaussian_noise,contrast_low,0.0010137786964113,-509.55331437603866,-5.05050505050505
1,B,gaussian_noise,gaussian_noise,0.00033803497846710386,27.075142404478903,2.0202020202020203
1,B,gaussian_noise,gaussian_blur,-0.00022534397466415085,-98.05834461677281,-1.0101010101010102
1,A,gaussian_blur,clean,0.0,0.0,0.0
1,A,gaussian_blur,brightness_dark,-0.016455347639924327,-2640.9452933632365,17.171717171717173
1,A,gaussian_blur,contrast_low,-0.004341303957540673,-27.048707546405005,12.121212121212121
1,A,gaussian_blur,gaussian_noise,0.0002014002344832527,-41.67281446045162,1.0101010101010102
1,A,gaussian_blur,gaussian_blur,-0.0008230232973453181,17.248065321573677,6.0606060606060606
1,B,gaussian_blur,clean,0.0,0.0,0.0
1,B,gaussian_blur,brightness_dark,-0.015870024007888173,-2001.4320439022415,18.181818181818183
1,B,gaussian_blur,contrast_low,-0.0033780352256295265,-30.164335662427348,10.1010101010101
1,B,gaussian_blur,gaussian_noise,0.00021406922663249088,-41.00198277446823,1.0101010101010102
1,B,gaussian_blur,gaussian_blur,-0.0008662896128781251,17.098505568031435,6.0606060606060606
2,A,clean,clean,0.0,0.0,0.0
2,A,clean,brightness_dark,-0.04054109123191127,-6031.5904896158345,1.4285714285714286
2,A,clean,contrast_low,0.0004340838491416711,-273.21665452158214,-0.7142857142857143
2,A,clean,gaussian_noise,0.00021633336155735955,-7.816409771574138,0.7142857142857143
2,A,clean,gaussian_blur,-0.0002661504308707355,-38.82985128169171,-0.7142857142857143
2,B,clean,clean,0.0,0.0,0.0
2,B,clean,brightness_dark,-0.04043199472942982,-4049.378492007143,1.4285714285714286
2,B,clean,contrast_low,0.001693929992038718,-315.6094768252239,-1.4285714285714286
2,B,clean,gaussian_noise,0.0002795922292108651,-6.460240676376632,0.7142857142857143
2,B,clean,gaussian_blur,-0.00016197089347348616,-46.694514560738874,-1.4285714285714286
2,A,brightness_dark,clean,0.0,0.0,0.0
2,A,brightness_dark,brightness_dark,-0.0018266712863906284,155.60430632061224,1.4285714285714286
2,A,brightness_dark,contrast_low,-0.00039086655647968993,11.036826463157297,0.0
2,A,brightness_dark,gaussian_noise,0.00011928058781199313,-53.55309384859521,0.0
2,A,brightness_dark,gaussian_blur,-0.00045851546970531506,28.062836887930786,0.7142857142857143
2,B,brightness_dark,clean,0.0,0.0,0.0
2,B,brightness_dark,brightness_dark,-0.0019247756403127543,151.6924094920117,1.4285714285714286
2,B,brightness_dark,contrast_low,-0.0003468131733767683,2.503551037351315,0.0
2,B,brightness_dark,gaussian_noise,0.00013486019996358008,-52.86801935967566,0.0
