client,bank,true_context,candidate,consistency_js,flip_top1_agreement,entropy_original,entropy_flip,prob_margin_original,js_to_zero_original,moment_J_from_T010
0,B,gaussian_noise,gaussian_blur,0.0039340776272190495,0.9,1.04373896412601,1.049412611319873,0.5343926922266485,0.087503465335377,126.35979241619854
0,A,gaussian_blur,clean,0.003045535234900457,0.9,1.834427975588497,1.8523510034549127,0.12726501283493236,0.0,19.390449676139767
0,A,gaussian_blur,brightness_dark,0.023101056569643064,0.75,1.3178183602253974,1.3150396009759628,0.33412951442049804,0.12532016004379556,1975.2291399990468
0,A,gaussian_blur,contrast_low,0.007222929529543978,0.9500000000000001,1.1243345900456527,1.168198061998615,0.47490614957620586,0.2166860000157057,60.60910580545338
0,A,gaussian_blur,gaussian_noise,0.0028703981642752095,0.8500000000000001,1.8933422203336325,1.909587167727957,0.10486658434501023,0.0051699318036743476,56.90679207553525
0,A,gaussian_blur,gaussian_blur,0.004031966933715906,0.8,1.7354391738957462,1.7582750596593304,0.17793126264061315,0.022997961364866495,7.525212705910985
0,B,gaussian_blur,clean,0.003045535234900457,0.9,1.834427975588497,1.8523510034549127,0.12726501283493236,0.0,19.38891042874617
0,B,gaussian_blur,brightness_dark,0.02243564045327277,0.7000000000000001,1.3145827909239998,1.318905530372898,0.32547149265756853,0.1262714276435089,1577.0740127553772
0,B,gaussian_blur,contrast_low,0.006621256143067456,0.8500000000000001,1.0361447207493046,1.059190644124578,0.5181011404309874,0.24275703793535242,64.89639724089434
0,B,gaussian_blur,gaussian_noise,0.002847043092860973,0.8500000000000001,1.8964182726441994,1.9121659110329348,0.10582718415262252,0.003785863496615048,56.31617593553446
0,B,gaussian_blur,gaussian_blur,0.00409420854170816,0.8500000000000001,1.7272398607009742,1.750021612435219,0.18396819836262623,0.025611296596930233,7.909490954252779
1,A,clean,clean,0.0037546039680047393,0.8,1.739691476837524,1.7454321255498468,0.20743591531547279,0.0,3.0576254545026824
1,A,clean,brightness_dark,0.02871941265503569,0.8,0.9160261235099331,0.942911968562629,0.49012606711719003,0.18063748278396954,4518.948635664229
1,A,clean,contrast_low,0.007460885340777818,0.9,0.57433640378634,0.6190331120466734,0.7160247133502966,0.2715751351412865,230.90506874448954
1,A,clean,gaussian_noise,0.0033540028960612756,0.9,1.8226730263978308,1.8207754323924492,0.1720372687707386,0.005966701302915608,15.168096864641226
1,A,clean,gaussian_blur,0.004924114807573166,0.8,1.4534735052087344,1.4602370952391854,0.35343558392514157,0.0447224675357087,33.29678997025874
1,B,clean,clean,0.0037546039680047393,0.8,1.739691476837524,1.7454321255498468,0.20743591531547279,0.0,3.110563674659054
1,B,clean,brightness_dark,0.027992230594162178,0.75,0.9116533875671637,0.9372829740026969,0.4941888540603097,0.1828117096399825,3317.891418731395
1,B,clean,contrast_low,0.005352965058591282,1.0,0.46151329028855576,0.49697071349525307,0.7737079503384433,0.30468746654387535,261.5445838261894
1,B,clean,gaussian_noise,0.003329961548182707,0.8500000000000001,1.8266724328843773,1.8257316319150363,0.17452049892087157,0.00499595393182941,14.756383121694208
1,B,clean,gaussian_blur,0.004909454006661197,0.8,1.4228127014521135,1.4296829154769575,0.3712847690842686,0.05167746165784748,38.98191068326679
1,A,brightness_dark,clean,0.0007166979859860369,0.9500000000000001,1.7508189157750005,1.7630851902765672,0.2014226344326617,0.0,297.1123901147682
1,A,brightness_dark,brightness_dark,0.004049092736376699,0.8,1.7039882563471096,1.7249384687742344,0.2310134866696525,0.09644515217359399,131.03860069455888
1,A,brightness_dark,contrast_low,0.0020971066000629846,1.0,1.4747388161189505,1.4769625926058798,0.353903223498053,0.19701171281180985,274.33788536960753
