bank,target,estimator,stratum,n,L1_mean,L1_median,JS_mean,JS_median,top_class_agreement,spearman_mean,spearman_median,spearman_valid
A,brightness_dark,BBSE-H-01,quartile_4,25,1.249422407881032,1.1958709912662713,0.356839178815877,0.33009118610665467,0.36,0.1635958282722803,0.21561009641297801,25
A,brightness_dark,BBSE-H-11,all,100,1.1198191410536011,1.1262351613310755,0.31393229720233684,0.2764734383236087,0.44,0.3170373399209508,0.3367437701802237,100
A,brightness_dark,BBSE-H-11,quartile_1,25,0.9566105622271114,0.9129222220389881,0.2647388141289683,0.19245389396349988,0.6,0.4083439991576062,0.3831305140884606,25
A,brightness_dark,BBSE-H-11,quartile_2,25,0.971738134022616,0.9919209412526987,0.2511834872949132,0.22475699611839017,0.48,0.4511520229256714,0.44523668901482455,25
A,brightness_dark,BBSE-H-11,quartile_3,25,1.3015054600836453,1.3642277309536162,0.38296770856958895,0.3867804213906024,0.32,0.24505750932824552,0.19885785868178932,25
A,brightness_dark,BBSE-H-11,quartile_4,25,1.249422407881032,1.1958709912662713,0.356839178815877,0.33009118610665467,0.36,0.1635958282722803,0.21561009641297801,25
A,brightness_dark,BBSE-S-01,all,100,0.7460774734548646,0.7396880970184564,0.18284610653727407,0.17011708320104768,0.67,0.526162250081455,0.5292436114704518,100
A,brightness_dark,BBSE-S-01,quartile_1,25,0.5928969786686402,0.33669159768122575,0.14913721228837334,0.0776396054558593,0.84,0.6126097475362196,0.6425294053171791,25
A,brightness_dark,BBSE-S-01,quartile_2,25,0.6984418281978482,0.48289231344482886,0.16893238035033556,0.09853116026167719,0.76,0.5452965487963589,0.6425294053171791,25
A,brightness_dark,BBSE-S-01,quartile_3,25,0.8187340729579343,0.7274478533223362,0.2062767388593187,0.18465186363129094,0.6,0.460754930981544,0.4169915251194764,25
A,brightness_dark,BBSE-S-01,quartile_4,25,0.8742370139950347,0.8965024168837488,0.20703809465106865,0.21974023480947813,0.48,0.48598777301169704,0.482381910618866,25
A,brightness_dark,BBSE-S-11,all,100,0.7460774734548646,0.7396880970184564,0.18284610653727407,0.17011708320104768,0.67,0.526162250081455,0.5292436114704518,100
A,brightness_dark,BBSE-S-11,quartile_1,25,0.5928969786686402,0.33669159768122575,0.14913721228837334,0.0776396054558593,0.84,0.6126097475362196,0.6425294053171791,25
A,brightness_dark,BBSE-S-11,quartile_2,25,0.6984418281978482,0.48289231344482886,0.16893238035033556,0.09853116026167719,0.76,0.5452965487963589,0.6425294053171791,25
A,brightness_dark,BBSE-S-11,quartile_3,25,0.8187340729579343,0.7274478533223362,0.2062767388593187,0.18465186363129094,0.6,0.460754930981544,0.4169915251194764,25
A,brightness_dark,BBSE-S-11,quartile_4,25,0.8742370139950347,0.8965024168837488,0.20703809465106865,0.21974023480947813,0.48,0.48598777301169704,0.482381910618866,25
A,brightness_dark,raw_soft_01,all,100,1.3102288398129815,1.303100727983015,0.34127296168195925,0.3272405535155868,0.29,0.23798756090498707,0.30707458353037853,100
A,brightness_dark,raw_soft_01,quartile_1,25,1.4455322285773413,1.5348260662972586,0.3857866565072036,0.41101902378571387,0.48,0.29060692208008043,0.354649519006916,25
A,brightness_dark,raw_soft_01,quartile_2,25,1.4673935373111928,1.4661682784899195,0.3967749379836433,0.3988069193815069,0.12,0.22596107672714943,0.3027495893961478,25
A,brightness_dark,raw_soft_01,quartile_3,25,1.2227144206028173,1.273122292297246,0.3116038918810763,0.3161330454996889,0.32,0.2334340315046414,0.29081003317657983,25
A,brightness_dark,raw_soft_01,quartile_4,25,1.1052751727605759,1.1726234605858394,0.2709263603559142,0.27301728012938487,0.24,0.2019482133080771,0.24580394711961082,25
A,brightness_dark,raw_hard_01,all,100,1.2979999999999998,1.4,0.3831890648038563,0.3991830212578553,0.33,0.16239412076327164,0.22477357137720327,100
A,brightness_dark,raw_hard_01,quartile_1,25,1.3039999999999998,1.5000000000000002,0.3896175607961694,0.40852139540253596,0.48,0.2020277460372636,0.3138514904811289,25
A,brightness_dark,raw_hard_01,quartile_2,25,1.42,1.4,0.4074021259681499,0.377820559572958,0.2,0.21312573465040244,0.34259259259259256,25
A,brightness_dark,raw_hard_01,quartile_3,25,1.244,1.3,0.3777926622410693,0.4190214976493618,0.4,0.12330407122671018,0.1037645142322914,25
A,brightness_dark,raw_hard_01,quartile_4,25,1.224,1.3,0.3579439102100362,0.3848146258587857,0.24,0.11111893113871034,0.03474929375995637,25
A,brightness_dark,raw_soft_11,all,100,1.3102288398129815,1.303100727983015,0.34127296168195925,0.3272405535155868,0.29,0.23798756090498707,0.30707458353037853,100
A,brightness_dark,raw_soft_11,quartile_1,25,1.4455322285773413,1.5348260662972586,0.3857866565072036,0.41101902378571387,0.48,0.29060692208008043,0.354649519006916,25
A,brightness_dark,raw_soft_11,quartile_2,25,1.4673935373111928,1.4661682784899195,0.3967749379836433,0.3988069193815069,0.12,0.22596107672714943,0.3027495893961478,25
A,brightness_dark,raw_soft_11,quartile_3,25,1.2227144206028173,1.273122292297246,0.3116038918810763,0.3161330454996889,0.32,0.2334340315046414,0.29081003317657983,25
A,brightness_dark,raw_soft_11,quartile_4,25,1.1052751727605759,1.1726234605858394,0.2709263603559142,0.27301728012938487,0.24,0.2019482133080771,0.24580394711961082,25
