bank,target,policy,stratum,control,L1_reduction,JS_reduction,dominant_agreement_gain
A,brightness_dark,BBSE-S-01,quartile_2,raw_soft_01,0.7689517091133447,0.22784255763330777,0.64
A,brightness_dark,BBSE-S-01,quartile_2,raw_hard_01,0.7215581718021518,0.23846974561781434,0.56
A,brightness_dark,BBSE-S-01,quartile_2,T015_zero_hard,0.9975581718021518,0.38016420325785516,0.64
A,brightness_dark,BBSE-S-01,quartile_3,raw_soft_01,0.403980347644883,0.1053271530217576,0.27999999999999997
A,brightness_dark,BBSE-S-01,quartile_3,raw_hard_01,0.4252659270420657,0.1715159233817506,0.19999999999999996
A,brightness_dark,BBSE-S-01,quartile_3,T015_zero_hard,0.6332659270420656,0.24115486894568422,0.43999999999999995
A,brightness_dark,BBSE-S-01,quartile_4,raw_soft_01,0.23103815876554112,0.06388826570484557,0.24
A,brightness_dark,BBSE-S-01,quartile_4,raw_hard_01,0.34976298600496525,0.15090581555896754,0.24
A,brightness_dark,BBSE-S-01,quartile_4,T015_zero_hard,0.7337629860049651,0.28332480486951056,0.39999999999999997
A,brightness_dark,BBSE-S-11,all,raw_soft_11,0.5641513663581169,0.15842685514468519,0.38000000000000006
A,brightness_dark,BBSE-S-11,all,raw_hard_11,0.5519225265451352,0.20034295826658222,0.34
A,brightness_dark,BBSE-S-11,all,T015_zero_hard,0.8279225265451354,0.3100130553846748,0.53
A,brightness_dark,BBSE-S-11,quartile_1,raw_soft_11,0.8526352499087011,0.23664944421883027,0.36
A,brightness_dark,BBSE-S-11,quartile_1,raw_hard_11,0.7111030213313596,0.24048034850779604,0.36
A,brightness_dark,BBSE-S-11,quartile_1,T015_zero_hard,0.9471030213313598,0.33540834446564877,0.6399999999999999
A,brightness_dark,BBSE-S-11,quartile_2,raw_soft_11,0.7689517091133447,0.22784255763330777,0.64
A,brightness_dark,BBSE-S-11,quartile_2,raw_hard_11,0.7215581718021518,0.23846974561781434,0.56
A,brightness_dark,BBSE-S-11,quartile_2,T015_zero_hard,0.9975581718021518,0.38016420325785516,0.64
A,brightness_dark,BBSE-S-11,quartile_3,raw_soft_11,0.403980347644883,0.1053271530217576,0.27999999999999997
A,brightness_dark,BBSE-S-11,quartile_3,raw_hard_11,0.4252659270420657,0.1715159233817506,0.19999999999999996
A,brightness_dark,BBSE-S-11,quartile_3,T015_zero_hard,0.6332659270420656,0.24115486894568422,0.43999999999999995
A,brightness_dark,BBSE-S-11,quartile_4,raw_soft_11,0.23103815876554112,0.06388826570484557,0.24
A,brightness_dark,BBSE-S-11,quartile_4,raw_hard_11,0.34976298600496525,0.15090581555896754,0.24
A,brightness_dark,BBSE-S-11,quartile_4,T015_zero_hard,0.7337629860049651,0.28332480486951056,0.39999999999999997
A,contrast_low,BBSE-H-01,all,raw_soft_01,0.16509109522757037,0.02730050416841595,0.09999999999999998
A,contrast_low,BBSE-H-01,all,raw_hard_01,0.16441107296920143,0.07389528789918831,0.07
A,contrast_low,BBSE-H-01,all,T015_zero_hard,0.35041107296920115,0.15016465036465482,0.16999999999999998
A,contrast_low,BBSE-H-01,quartile_1,raw_soft_01,0.4435566385404133,0.12133265774387181,0.08000000000000002
A,contrast_low,BBSE-H-01,quartile_1,raw_hard_01,0.32375556515738624,0.12896854482239328,0.08000000000000002
A,contrast_low,BBSE-H-01,quartile_1,T015_zero_hard,0.45575556515738636,0.19302125248749658,0.2
A,contrast_low,BBSE-H-01,quartile_2,raw_soft_01,0.3234640770814057,0.07786799287347607,0.16000000000000003
A,contrast_low,BBSE-H-01,quartile_2,raw_hard_01,0.3265604979692167,0.12356266074906946,0.08000000000000002
A,contrast_low,BBSE-H-01,quartile_2,T015_zero_hard,0.4865604979692164,0.19817411236462074,0.16000000000000003
A,contrast_low,BBSE-H-01,quartile_3,raw_soft_01,0.041279093502563535,-0.007246057208135204,0.0
A,contrast_low,BBSE-H-01,quartile_3,raw_hard_01,0.04601937045696558,0.04433575195145484,0.0
A,contrast_low,BBSE-H-01,quartile_3,T015_zero_hard,0.1940193704569657,0.10082703169376367,0.08000000000000002
