salt,bank,target,policy,macro_class,sample_weighted,macro_client,state_choice_frequency,oracle_hit_rate,regret_median,regret_p75,regret_p90,regret_gt2_fraction,regret_gt5_fraction,gain_vs_zero_pp,capture_vs_P00,capture_vs_T014
T013-S0,B,gaussian_noise,class_context_only,37.61361757409678,37.66872797393444,36.31562958381814,"{""clean"": 21, ""brightness_dark"": 72, ""contrast_low"": 8, ""gaussian_noise"": 91, ""gaussian_blur"": 8}",0.82,0.0,0.0,2.7548419979612637,0.125,0.06,6.936973722636533,1.0057216145849146,1.0
T013-S0,B,gaussian_blur,class_context_only,39.93283968918552,39.98936099474699,39.442278711721144,"{""clean"": 8, ""brightness_dark"": 80, ""contrast_low"": 32, ""gaussian_noise"": 49, ""gaussian_blur"": 31}",0.78,0.0,0.0,3.925451368666278,0.16,0.085,9.031260513011144,1.0081740151378868,1.0
T013-S1,A,clean,class_context_only,40.40375658962944,40.46811623113239,39.27346938557198,"{""clean"": 25, ""brightness_dark"": 73, ""contrast_low"": 15, ""gaussian_noise"": 74, ""gaussian_blur"": 13}",0.78,0.0,0.0,3.003030303030303,0.15,0.065,6.265066669860899,1.0172732633054489,1.0
T013-S1,A,brightness_dark,class_context_only,35.45467836161357,35.51432941020015,34.81747759766046,"{""clean"": 1, ""brightness_dark"": 127, ""contrast_low"": 38, ""gaussian_noise"": 27, ""gaussian_blur"": 7}",0.86,0.0,0.0,2.0833333333333335,0.105,0.05,17.908651907402508,0.9991023371587784,1.0
T013-S1,A,contrast_low,class_context_only,33.7743036197386,33.85863421770065,33.576006823676245,"{""clean"": 3, ""brightness_dark"": 57, ""contrast_low"": 91, ""gaussian_noise"": 37, ""gaussian_blur"": 12}",0.855,0.0,0.0,1.8541666666666665,0.095,0.02,13.819039632028085,1.0218020323612436,1.0
T013-S1,A,gaussian_noise,class_context_only,37.68534495060343,37.741871135048875,36.36939543754902,"{""clean"": 21, ""brightness_dark"": 71, ""contrast_low"": 9, ""gaussian_noise"": 89, ""gaussian_blur"": 10}",0.825,0.0,0.0,2.5,0.13,0.06,7.00870109914318,1.0194545604432796,1.0
T013-S1,A,gaussian_blur,class_context_only,39.87690046593489,39.936165968481944,39.36975411966332,"{""clean"": 9, ""brightness_dark"": 77, ""contrast_low"": 33, ""gaussian_noise"": 49, ""gaussian_blur"": 32}",0.77,0.0,0.0,5.362499999999998,0.165,0.105,8.975321289760512,0.9802727858701995,1.0
T013-S1,B,clean,class_context_only,40.23308715569892,40.295232395770995,39.110522632859514,"{""clean"": 27, ""brightness_dark"": 75, ""contrast_low"": 13, ""gaussian_noise"": 70, ""gaussian_blur"": 15}",0.77,0.0,0.0,3.5034482758620658,0.15,0.08,6.094397235930378,1.006530540851989,1.0
T013-S1,B,brightness_dark,class_context_only,35.472723576090914,35.53427754504954,34.69123838154966,"{""clean"": 1, ""brightness_dark"": 140, ""contrast_low"": 27, ""gaussian_noise"": 25, ""gaussian_blur"": 7}",0.85,0.0,0.0,1.3537020517395162,0.08,0.035,17.926697121879858,1.0099818792886637,1.0
T013-S1,B,contrast_low,class_context_only,33.516980157358084,33.599308464658556,32.9304005945733,"{""clean"": 2, ""brightness_dark"": 59, ""contrast_low"": 87, ""gaussian_noise"": 38, ""gaussian_blur"": 14}",0.835,0.0,0.0,1.557532040058826,0.095,0.06,13.561716169647566,1.0261695714190275,1.0
T013-S1,B,gaussian_noise,class_context_only,37.68732479623536,37.741871135048875,36.39458642070981,"{""clean"": 17, ""brightness_dark"": 72, ""contrast_low"": 8, ""gaussian_noise"": 92, ""gaussian_blur"": 11}",0.815,0.0,0.0,3.062794348508634,0.14,0.075,7.01068094477511,1.016391156759153,1.0
T013-S1,B,gaussian_blur,class_context_only,39.8917543753131,39.94946472504821,39.47415724635154,"{""clean"": 8, ""brightness_dark"": 76, ""contrast_low"": 29, ""gaussian_noise"": 51, ""gaussian_blur"": 36}",0.77,0.0,0.0,4.55067920585162,0.15,0.095,8.990175199138722,1.0043217313398312,1.0
T013-S2,A,clean,class_context_only,40.40966329902972,40.47476560941552,39.32557249870277,"{""clean"": 25, ""brightness_dark"": 77, ""contrast_low"": 15, ""gaussian_noise"": 72, ""gaussian_blur"": 11}",0.805,0.0,0.0,2.5584058634906084,0.125,0.065,6.270973379261179,1.018090535442375,1.0
T013-S2,A,brightness_dark,class_context_only,35.474560486779545,35.53427754504954,34.88588155744708,"{""clean"": 1, ""brightness_dark"": 127, ""contrast_low"": 37, ""gaussian_noise"": 27, ""gaussian_blur"": 8}",0.86,0.0,0.0,1.5757415254237281,0.09,0.045,17.928534032568486,0.9998168718693857,1.0
