salt,bank,target1,target2,orientation,same_valid,same_mean,same_median,control_mean,control_min,control_max
T013-S2,B,clean,brightness_dark,0,99,-0.12601607361821685,-0.09999999999999999,-0.00483923892469457,-0.09980615932145447,0.09414429898039336
T013-S2,B,clean,brightness_dark,1,100,-0.03760710827771654,-0.09999999999999999,-0.001528030079888448,-0.08883159658854209,0.050092937014484536
T013-S2,B,clean,contrast_low,0,99,-0.1955005509028164,-0.19999999999999998,-0.0213211528249891,-0.090797483561615,0.12527876601220722
T013-S2,B,clean,contrast_low,1,100,-0.11587293677894711,-0.09999999999999999,-0.007648904087032745,-0.09141791644209585,0.12975131996227574
T013-S2,B,clean,gaussian_noise,0,99,-0.14384755128050702,-0.19999999999999998,0.0063664433710887685,-0.07787609650775769,0.11105862959174718
T013-S2,B,clean,gaussian_noise,1,100,-0.08899999999999998,-0.19999999999999998,0.04119016077953152,-0.021763932022500217,0.1569376941012509
T013-S2,B,clean,gaussian_blur,0,100,-0.06869126530725411,-0.09999999999999999,-0.010712190203420468,-0.08109356415684957,0.08538590389544679
T013-S2,B,clean,gaussian_blur,1,100,-0.06817376207875073,-0.09999999999999999,-0.00037582222609352026,-0.061881966011250095,0.0731180339887499
T013-S2,B,brightness_dark,contrast_low,0,99,-0.06393651993413484,-0.09999999999999999,-0.020426025035539818,-0.06814973482817961,0.023184541474222255
T013-S2,B,brightness_dark,contrast_low,1,99,-0.06331340591071151,-0.09999999999999999,-0.009921847320302298,-0.05940922670517368,0.039421491166482824
T013-S2,B,brightness_dark,gaussian_noise,0,99,-0.09077056050864135,-0.19999999999999998,-0.016085608670388975,-0.07322737091899267,0.05227524320781552
T013-S2,B,brightness_dark,gaussian_noise,1,99,-0.14180470517887175,-0.09999999999999999,0.012832744717778692,-0.047998038853137324,0.11375063757429558
T013-S2,B,brightness_dark,gaussian_blur,0,100,-0.07177606657708645,0.0,0.00769958967201578,-0.07252102723389414,0.08386898581101869
T013-S2,B,brightness_dark,gaussian_blur,1,99,-0.05289131209045152,0.0,0.0029382167154705617,-0.06397749351222928,0.08120397786869765
T013-S2,B,contrast_low,gaussian_noise,0,99,-0.08527671781480786,0.0,0.012530568456068644,-0.04713133193349453,0.059980641017053915
T013-S2,B,contrast_low,gaussian_noise,1,99,-0.17777777777777773,-0.19999999999999998,0.03430493034280339,-0.03743002837373822,0.0904321859040408
T013-S2,B,contrast_low,gaussian_blur,0,100,-0.12244992898874495,-0.19999999999999998,0.023502681584713265,-0.08905044812707316,0.10607039228459442
T013-S2,B,contrast_low,gaussian_blur,1,99,-0.18282828282828284,-0.19999999999999998,0.0031565656565656543,-0.047474747474747475,0.06363636363636363
T013-S2,B,gaussian_noise,gaussian_blur,0,100,-0.15772402164791485,-0.19999999999999998,0.014067748071062171,-0.10694050052416863,0.08788121172270154
T013-S2,B,gaussian_noise,gaussian_blur,1,99,-0.11111111111111108,-0.19999999999999998,0.017424242424242422,-0.06262626262626263,0.06666666666666667
T013-S3,A,clean,brightness_dark,0,99,-0.10855999875124543,-0.09999999999999999,-0.0270399773130535,-0.1501219821519742,0.013612995586111211
T013-S3,A,clean,brightness_dark,1,99,-0.15266136648093284,-0.19999999999999998,0.026402513697287584,-0.03570816653431082,0.08511593332446983
T013-S3,A,clean,contrast_low,0,99,-0.07725960689288629,-0.09999999999999999,-0.034789161273613325,-0.09642528532512347,0.013420253789561782
T013-S3,A,clean,contrast_low,1,99,-0.1144172235861017,-0.09999999999999999,-0.019556851390725678,-0.08969723188804453,0.0331323372300128
T013-S3,A,clean,gaussian_noise,0,99,-0.10370591847328633,-0.09999999999999999,0.013721719180766784,-0.029548400279254098,0.04081031163970905
