policy,bank,context,salt,macro_class,macro_class_exact,capture,capture_exact,delta_vs_BBSE_pp,clean_delta_vs_zero,true_template_regret,true_template_regret_exact,regret_p90,optimal_set_agreement,canonical_agreement
P,A,brightness_dark,T013-S2,33.53010866143379,22522819338829979773823/671719246908842938650,0.891381026641532,10736815662764690542398/12045147183823210116145,0.17955534064059622,15.984082207222734,0.023234295959268885,41991736300677687095101139043645351784785007202504870820111886339892591660006688647691757768302451481103092092740176423490407695647499241263620389/1807316923839298645248078066256890867429080265319067212150539118296867495208419278258517251440157879782464413713469537679771723036514920714432000000,0.07958095840426654,0.675,0.66
P,A,brightness_dark,T013-S3,33.75649545071011,22674887702432780383039/671719246908842938650,0.9036692950939224,10888884026367491151614/12049633738231375520845,0.42520699094130116,16.210468996499053,0.021643825196068216,131837785784873785477846438756031365684484920338615826333986037676296651574585617869180113023552301235138389691452012783/6091242402420771087853568957951831602849901077550078187438436912420042101038350822849130394057051805059744223495593600000,0.0770817031741112,0.695,0.675
P,A,contrast_low,T013-S0,31.249615062826653,3498494649365525705024/111953207818140489775,0.8339188640877399,3793316499250545012188/4548783655829897649377,1.5473323454259373,11.294351075116134,0.025156459413006402,1236011898195277350072122246838412448678714783816711469773233536665179089483513458106048781882536939662280958531286684097383914508529913/49132983219261530356063173800289765263908005458014592501017804840868128200740785541653730424087902287620716878462691791689711581472000000,0.08376173645030946,0.655,0.645
P,A,contrast_low,T013-S1,31.23746173864131,6994268091474645951373/223906415636280979550,0.8342238605846344,7578469376731873648351/9084455306062318509936,1.4739742018343822,11.282197750930793,0.02506281554541304,614160422377319456473870324373446217526320222007356568125701220822505878925007779459036397880263895726888647501424936361791375899753/24504845485714879979006044610906754070189635392233030212037503758654470019780544992753060057568811992115312392054886249819068775800000,0.08389353546224376,0.645,0.635
P,A,contrast_low,T013-S2,31.178121717851884,2094294444034770897583/67171924690884293865,0.8248648495361796,3769304771327822385031/4569602854876526239254,1.4479117041871914,11.222857730141365,0.0259783509919807,3716406078038160826330942519527662995775865312232313441628376997181294474961345231107897731106296888989282632103819689331094145783045927610606204253/143057812991493737148803354161097419173914339312977755060942405662249322920347936395111090366883764394822226317272998434397598740464742707217696000000,0.08521300539673568,0.65,0.64
P,A,contrast_low,T013-S3,31.171350325912705,20938395966053799310301/671719246908842938650,0.8256860278040699,7534061068361735104533/9124607677325891101811,1.4350532723485463,11.216086338202187,0.025299277978226165,415491647917048621093564117490994756536505465442023726008873785447135683127079951690654744923227914175050654620657159/16423063467449215922150606724819258648889531865769326523902047051020347794928890885030113095082206471994416127171750000,0.08247223418908163,0.64,0.63
P,A,gaussian_noise,T013-S0,36.09418639538801,24245159703297434470489/671719246908842938650,0.7917721941291489,1819533798851885225128/2298052157354612021949,0.8306091031392284,5.417542543927757,0.013178013494602934,582086018314130191904015878111134275270813422676207301372249851714786447745868461271069223192648060653331307992372023225331073505013/44170998804373968358789430728232204965387224601202022566391138011906250843451507919287806635798337125220031638356109027978009144000000,0.0572659441381927,0.685,0.685
P,A,gaussian_noise,T013-S1,36.06206984800984,12111793200139631833513/335859623454421469325,0.7833401673790112,3617494294685599646793/4618037533795086817289,0.7782854913923899,5.385425996549596,0.01307797019783079,211270916286194182246271169781237768237993457589447210248702269382662299091593809291967548474200579869469520375152493261/16154717673331078121917979499768306764531548759758267586144605963094644987980923374368106195560262644725220188171056000000,0.047443781312606514,0.68,0.68
P,A,gaussian_noise,T013-S2,36.108610746908646,24254848817838029454901/671719246908842938650,0.7948121565116447,3648756712244365434668/4590715784039354734789,0.8781141411509611,5.431966895448401,0.013230630373728881,25580201639418892399586322131016615988221047980548328203192937757380999221560168540979605781105657386722442334927791536605586342273/1933407624342047402868372899995489630429135662086390474486334388405573906201193117510135926095443080200700750639113855008381358000000,0.05196682196489976,0.67,0.67
P,A,gaussian_noise,T013-S3,36.06918300080455,24228364441917673364351/671719246908842938650,0.7866043669063877,1811136168162004672059/2302474082727212323157,0.778978872928123,5.392539149344305,0.012981213800667652,130495080671841069650311322888715623330316679003503819319664461921238805756733771227542502403208834490462618787784152997741479/10052610077582222953300610359944097349130343489090105180645136485925076787650900268117016536399971500874227922179913712242000000,0.05266294608698942,0.69,0.69
