policy,comparison,bank,context,salt,new_mean,baseline_mean,new_mean_exact,baseline_mean_exact,new_p90,baseline_p90,relative_mean_reduction,clients_better,clients_equal,clients_worse
ROT-CLEAN-SURROGATE,vs_P,B,gaussian_blur,T013-S0,0.10902082727168874,0.017516103407535746,32651114064703661835820111990637450869972765309756953084945321952786492628568137106105744918201162250537894936826658407913817531911538206407626988057927142489662386610227/299494279045731682744371995750081113379644379897285809670336650962367581613048643809920879775386536866937653059507794105111494349682146614562788632662928348148660972800000,5583219950337278503317967889522369015592901500213780797487053337018272965539113658566043344022016286324950117294152651417076861660710073050469632495599748273568191881/318747829950311673371448498952631316625053092000934743670948929830282127363474385287787861290638078141902678487489580607780032742237820856658877237764496633890624000000,0.3014230411330066,0.05840751809423723,-5.224034234964953,17,25,58
ROT-CLEAN-SURROGATE,vs_P,B,gaussian_blur,T013-S1,0.10948082373694625,0.01782892488406006,1174057824552976314004441479907898926531422928731114996686841396301271923453231631198860443088974781426098970543848165027206659751157416262702822997400943992974051/10723867289982489668932577157144876992968585306978959435121024418087112331917056239953586092241917705155598870855223328551677760474539814071126012660283417824000000,2486432227280503348930548974868135818373559598604158829019295107591817802445023724810592256411908668042474501606424157694915907912836696914199457743/139460581243656284616886924867396923892800443235349439942100299904196909172891082338321015210403124230741711752628322018164910119894400482762804000000,0.2977796665410633,0.058663663022515904,-5.140629592019175,17,24,59
ROT-CLEAN-SURROGATE,vs_P,B,gaussian_blur,T013-S2,0.10910119820142238,0.01774060960995557,155145224699949047231139040562036928994068966258975792244798603463703766220206297623287132751470892628391349913855875454109257617198117861200538353497029595756701142070689862455986322698344642646152567/1422030438323145594006033637113466506697310333471097400784263056060020048683131091078498698730491017968016106486312511543403902935660819965534533680215427529853279876339683618037710484658259098864000000,418259339587211539490756182206141129800450778843204435579069956527124232357869428470390052822063922765486174073542956127759237509178498958642098066630828724611266609/23576379210356742883505901446433683343493975234362653057753180253453863548837758876136618641080047509669495807899234777536485992694709847379517327931598645258366000000,0.2919425524953212,0.05846613551042816,-5.149799843416746,17,25,58
ROT-CLEAN-SURROGATE,vs_P,B,gaussian_blur,T013-S3,0.10897455238812148,0.017569016159216168,833008602726898560640754817142486813767961370368530679312315502357451462214145695855175743669837248458897173769915657485824640146611574066047208629890868090219873380463/7644065375557336815943362473964377318090123945051504975176732065595210315206762139367175733470739192854095212869352452246392044968491377018153467716878324168121779200000,16186734352818977271522170099252056023473441184085341666702578453454683104551757085240618689589727715792992310798789076484100258684207398087421/921322753996552695369519146347166044171318484204327121027071418659877848372146343002107288287740119439040937674037354369631829200628652432000000,0.2972524798741412,0.05939761216502052,-5.202655367867982,17,25,58
ROT-CURRENT,current_vs_clean,A,clean,T013-S0,0.11628705209109622,0.11628705209109622,611519089398434197092416783782548624389526988260302473426787739351170927945251883505248709283927383825599344087872425427804577763308719765598336103002306189255297323907036738723/5258703169458507085586141697187113036104897796062142922255968732385745451080913460546752369412432942259775056431742098152924039555972378511931781370763653380340169158602624000000,611519089398434197092416783782548624389526988260302473426787739351170927945251883505248709283927383825599344087872425427804577763308719765598336103002306189255297323907036738723/5258703169458507085586141697187113036104897796062142922255968732385745451080913460546752369412432942259775056431742098152924039555972378511931781370763653380340169158602624000000,0.34439641624476347,0.34439641624476347,0.0,0,100,0
ROT-CURRENT,current_vs_clean,A,clean,T013-S1,0.11640235411934756,0.11640235411934756,244812712380808245888703874566345947193886847445311865082030799409990118525542253575174937897695019653888166878309734340696509397643136830428612043350211434575750709/2103159461275167253192411937035028212780781455216425178414287213969627913941769744576489139751587131712420560412226189366270189822752352956815049642297201119008000000,244812712380808245888703874566345947193886847445311865082030799409990118525542253575174937897695019653888166878309734340696509397643136830428612043350211434575750709/2103159461275167253192411937035028212780781455216425178414287213969627913941769744576489139751587131712420560412226189366270189822752352956815049642297201119008000000,0.3413175363089458,0.3413175363089458,0.0,0,100,0
ROT-CURRENT,current_vs_clean,A,clean,T013-S2,0.11647149277619222,0.11647149277619222,28232154663446922850139676424099339822014024953968194819243085396752093028102882330121318789823115825977036070101506031660621185059962746623650719203984367802933252483846527480349459960497207/242395405008647924577765715148438062530974613664375675848673441682230882108884953915707409414394467250391268198645950994735043202765634355079573321982704610374275429467259817188303809184000000,28232154663446922850139676424099339822014024953968194819243085396752093028102882330121318789823115825977036070101506031660621185059962746623650719203984367802933252483846527480349459960497207/242395405008647924577765715148438062530974613664375675848673441682230882108884953915707409414394467250391268198645950994735043202765634355079573321982704610374275429467259817188303809184000000,0.3396186473190298,0.3396186473190298,0.0,0,100,0
ROT-CURRENT,current_vs_clean,A,clean,T013-S3,0.1163231334668454,0.1163231334668454,1428664554185546692162985009279442408524829200177325205293963223557210837667647267723880726131077856405338532097428783911335813733000814949183061178462850108003575234317/12281860981614176223239895236390204964234840369665706462629708215996326262847062294764765215272570215940846307514720541989118479929950382041736067531392024046175555200000,1428664554185546692162985009279442408524829200177325205293963223557210837667647267723880726131077856405338532097428783911335813733000814949183061178462850108003575234317/12281860981614176223239895236390204964234840369665706462629708215996326262847062294764765215272570215940846307514720541989118479929950382041736067531392024046175555200000,0.3395642482725031,0.3395642482725031,0.0,0,100,0
ROT-CURRENT,current_vs_clean,A,brightness_dark,T013-S0,0.11110208315259903,0.11434886696722854,763164164307887731594534741280459794793793412469059788878968560908503912264578677602979471493504095872611153705581142508063410252450428338993477492859934623126851/6869035599086648326040856582409943769453662783260228663738088347957537242759950650282772211001219783164027706886128559547070334997919272165220636067935158432000000,778084193019152033478851160676855375309342585560426026305357303432548595717234446989460407623785306153295097999461740089909852261594520439666526452612943520795479555816357767/6804476630644225085382783556992358705642960200140203791710757403910516760139406353369983501281654910595180903534105319533321965968306172860138456514168372771341639629747200000,0.3449756169939405,0.32073806768396756,0.028393668435385665,32,40,28
ROT-CURRENT,current_vs_clean,A,brightness_dark,T013-S1,0.1110945918714412,0.11433995195627814,252497855504538793956560957231659165631483977316943101888049945687556335433539549867072614876410766349692708550895187415881937478173718820550800947084209120555337/2272818606658455691370378204918705058738053560184521242590633701208497379015408226075368150131694891712888984652453252688458303459371568455296389613859952224000000,2046853753927661918071971648578190385273575233300009696915248563054130564951747648651777112838491888942714169282748474423720447207498174163105253758417064648161/17901474671865769242586580527654826339972662411749520525582817149378541222508241257087825532108413338790860006933135186951285822489914708230521552890788624000000,0.3374133558361978,0.3270448453641958,0.028383430544713772,32,40,28
ROT-CURRENT,current_vs_clean,A,brightness_dark,T013-S2,0.11104119072312464,0.11424933213492805,26573407996453007186483795543215288420965206619687740508576846389715462999755781884387839831951917172986607888993205904955789816497203665681225715208412250625367110989/239311266597567382426402796107446153053390869777212545358303130395764635424030446941813093284392181542852048665870561926746186045274607993157892873588861639346576000000,57683912166297377439571635628967291955359736516960794470796029475570919403054257643496949982701113695012402240441419488704302833722685981642990013357704363294748704160569433934319/504894961645577811573170101077330675243638034793837853873340169761740915725779687267306889539846597515244321422056993158491690691830365758784309425815138957776708609587248928000000,0.3434657624536178,0.31719531874829776,0.028080176503916917,32,40,28
