representation,comparison,bank,context,salt,new_mean,baseline_mean,new_mean_exact,baseline_mean_exact,new_p90,baseline_p90,mean_delta_pp,relative_mean_reduction,clients_better,clients_equal,clients_worse
L,context_vs_clean_prototype,B,brightness_dark,T013-S2,0.015322420657232667,0.06422184453555725,4441383112826922878804186754928087625819993437366931723063212983286354116325252150155596051348643790108917465773936731/289861713901611855567264597637074843857735178661408638362713528421637843520372589770471961640173436905574149457288480000,221471897802831990883110485615327927345655071084074493609754575924090605264398128545641805296855497137218895673151302735576840006072047718104914925271355592008527/3448544640915930247103074199138514613065530267345114660499311112126732020627347077367718920020066845915548563114901923558102124771347088233048129892561593432000000,0.04913094308573106,0.24234584905798182,-4.889942387832459,0.7614141921951617,24,69,7
L,context_vs_clean_prototype,B,brightness_dark,T013-S3,0.01575603424222117,0.06432050998012703,827619998412475941259498107020693276832211671632571265787279698787285400462041892771969649774686659130732464767/52527176933566003523828995581574405771760399532695749995076060929950005190128640261174127008233469139327204000000,10877309231443830908393906858074749507363588527942430223948402421468741958635065844844624745110247568669143412931123166229414512605059594982943169/169111053920507915925038120233853899441526990495915044893365234020438793840775504062880504224268287171714422542958994297800303921620494247252000000,0.052616514556461366,0.24270001827339696,-4.856447573790587,0.7550387233078644,24,68,8
L,context_vs_clean_prototype,B,contrast_low,T013-S0,0.05842968207228993,0.10054313493883364,103231053626157454511289186715683013807007148109061876578776082635915660736130586073070237374337898194552722565258040867435211801642251275336188169441/1766757065329205735938774955305346067400211562130924994422940472076110956850852045718523613582818518917337395796744492954296954590735729005063008000000,68344291320310949593408549908065502557413733111664656520279809296483041636155255011810175092953231566244105902585869329551188566613909786486434767223028718238196239471287929/679750948305807652232323651887097250653625239209929290479497263159086555253833890706359959713484594623201469772800993426086591512863885297093703228822302883653633387392000000,0.2333029915853642,0.28406444577752415,-4.211345286654372,0.4188595560717679,48,27,25
L,context_vs_clean_prototype,B,contrast_low,T013-S1,0.05915482689188389,0.10372016621432782,5786339285178698640694241938735367367594975108785655617589149901308323268110573239070150790554864592234843797193670572544948816282711782300914032106503593/97816857713982958656039992028751620194418512285984414240103825674199634439132154092405136575081091023076405324213022755589962403688994607268384360808000000,2831810855623205303678185354759718615310052381992190355735058676416000495754925566833016983236270743738329536066886389795399040644107920361553284867770522906055534388413333/27302413397328523028470258194776374241849148704458106858659033009358397628549001434760928657420558693894667503474653494725905713482960613554180797230279825390257788851200000,0.238831154497045,0.2987253489040706,-4.456533932244394,0.4296689925308635,48,27,25
L,context_vs_clean_prototype,B,contrast_low,T013-S2,0.060851289373187845,0.10583996353918164,261258728709575226187880131371862734193136653347726087525653608239268562598940369604008486568668099106274751133319346133594134893087099382671176568745051958819027/4293396761198135844634346632890446239895174538891369299330965410859639993677905780749287394604854080253444146949081678727235737422881709090172649078247789176000000,301743180290522779391355859191043678850503257608995090532654694848989336996489266342366038776358066849656181906222308043370413238133978819282103756893752557995070004704061863/2850938059694421195999057896863492754936599153538194500768971087934051028644569309911883333770858783576275502766480034582091496147465117216378150846690879983242366914736000000,0.2371154564358848,0.3059890786374893,-4.49886741659938,0.42506320544355747,48,26,26
L,context_vs_clean_prototype,B,contrast_low,T013-S3,0.05822117573188678,0.09885590334917396,30765488360052291180339932224695916377438638186754215117467820636171183673910865221996018021897997885026041490143953811816283540671203904004571197172698681/528424374350147969957359027766544316493380593345533295570162471799775808310819889027193408335353267326517791525222927860411340962418056139683607901704000000,27310808697623126929018225190406412663073133737721087883223721411954068648999722369266683428267740448989663565122033509527350814468528312307930486975486215138649/276268869863615836114377066104762455962528401559768690087975443699871472086219156861298733673029554548935791175636563887728938310737601342809058339586250368000000,0.23560636757442205,0.27827445549950175,-4.063472761728718,0.4110500864451078,50,26,24
L,context_vs_clean_prototype,B,gaussian_noise,T013-S0,0.029382340260438594,0.039489478780982766,2627670606407487992396858560351288969919804139974101539845989307624797465800766682687863498764625538995766732666509159551963422593822340985253967857147/89430269444720684434600741773931931124698241285232943707495897647134789914835989239776725778707120975620268299644412932121616570205553779186344128000000,1255094510080989016321755142329737993794682932476777356048851615926063546793854020303100362079896602192569673964735670955502437148607195868146370707640135541759459/31783010280840021165453804756426070609932873875446082048197557737470550731453727728068878562443794020411015075919385930954015808367416110902871201616658886016000000,0.09595957734308463,0.15638504087357663,-1.0107138520544168,0.2559450981007006,27,54,19
L,context_vs_clean_prototype,B,gaussian_noise,T013-S1,0.025691768683542934,0.03850890138750897,74792491360068203292990487459865837952491061761406320325945786518406955787458850281271692440580906374744185480920743254215797828169192042688233168193/2911146067105030788367139087954492119608701965526220875403629436952698283301356879823660463786703572334004649259329666726025322345292788925418848000000,75018429877411968816628146356063545885373814643999103803762883084254087016926379848956538143744480897935764985853206726959041435137990259637743197/1948080240527077224633571965609045025590065144411047705034455184294758339739656741645746477087382930159046454332291790471335020037802185327358000000,0.08987553961630057,0.15229502520410437,-1.2817132703966037,0.3328355845571719,27,53,20
L,context_vs_clean_prototype,B,gaussian_noise,T013-S2,0.02893856441204608,0.038543622961898893,21404805546711862591445471135308726991787892261418739743597289062104885445332506239506070266626064199211656398332493675604026062687125380985423537/739663697270408296441791064574371881729545612602372060548133440459443714251207491680263973157529958325754007195197078396887459125919878309088000000,47450260626260174252946992515217141668470896970395538307698635898916296791862249634460433794607241955116031628697629337496568909129067015134369151259/1231079410287031555214729522055239621255035250292093470780293470709600148994707211465200172719430108753763335690668972930759686648066116856579512000000,0.09565289442492939,0.1506514611817958,-0.9605058549852811,0.24919968108207147,27,52,21
L,context_vs_clean_prototype,B,gaussian_noise,T013-S3,0.02626412575499774,0.03840468564192735,26329056477467675142009166511896294904945402469882471867390172281567732320855173009382241939131451787842748983480510190153343/1002472220970750575423840814705943487926128024649344272725036736224948437597686906166740698245329696512955298843378182696400000,7407547183865176616792824227144790992966569512682360083908882686888933382935778920189673292096820178535370051784659023998956589111699434078759/192881338827525080799541410890655881053843195339088146516613610562389715108119968657937110809607318388505999363681331915967283980910788144000000,0.08749016534501441,0.15986439286280874,-1.214055988692961,0.31612183992662235,27,52,21
L,context_vs_clean_prototype,B,gaussian_blur,T013-S0,0.03918958565218575,0.05794710033605634,76850635200528115435554722890930846208146401488652020655352841670765888380803358451362484910730258640900885157324541282889430554761002342232511970035445468055117/1960996369866999933303282310176428347639454024633675153203000702002169702713666944582220885048669194274872308054764052650502659974321607274496928878991083904000000,256701920072749012769479377388735392764233155521674865606726621723982145297746491237280522871662304840314104724168794163592586558558985747905564965179330496357088217437172352619/4429935554739427740537514253260165557013547337859806793427859088721205822928115839902795027188067211155682219724326121542970169439329836516113675961153201722573128932591232000000,0.12227981357059617,0.17700350927222988,-1.875751468387059,0.32370066103547773,42,34,24
L,context_vs_clean_prototype,B,gaussian_blur,T013-S1,0.03933013682675268,0.058592458342554395,123878411406375969509551764970010406797053645152496744253653618088767461696552091878639820962595039118184442190597391889534256883844264086444223371965211712184009/3149707105064349789859637527314109361944041984590311591254173847165698257002925571507473061921293518623054033957657578912085639117901967072548789988731073152000000,6455886402020321017532166019808297846698385853989624814332381171058972387963022771342100925273520674434918389620277116899054332692046962932935748086077353070316738145899831177/110182890164407980780862847428748471228877154146077458395114606830159893658772787543482009795020272275160066487813313155858955513282480437334556296383919684281765646866304000000,0.12735251746186194,0.17715077276427113,-1.926232151580171,0.32875086761484995,42,34,24
L,context_vs_clean_prototype,B,gaussian_blur,T013-S2,0.03963292196392248,0.05915851422520473,757083422208865275055474020755368745387766248970071975147615740306461595321641581389542116618134069292467184887757709933536481575936136346674379859788256043983974290829/19102387224894296024646938498861144058668418951961911338796176331945440970249126658281005510824570438182429826039681754559116288538060404618813156834519553552992736000000,381822970748410104151866786055484859283220861459490631611719661342483792018752842386769319543431946239531068113640422601703501657550038840173249836359906906733395257629815216322382091/6454235298994929967373591913958379066403344295039763384125905625641214587922411525508205352137924370916184481331814986332132229257306096316753368712178376302376173554625071035228000000,0.12118259856332989,0.1786408989634796,-1.9525592261282259,0.33005548765055526,40,36,24
L,context_vs_clean_prototype,B,gaussian_blur,T013-S3,0.03799394595584089,0.058318939288629815,3176396631366261932375258116844012341516333787277339962361107750331307618861667235520701506982176840661860522496051555250136915499026106817927/83602704363955331726644087334603964038735946342777618684282419344560141570005467295270859898310500120741495053314340931340264551850557845120000,265132246868874645744451117204419389430799990249480594039478999376786898515190230337216715479484740042563242904718762039564311406039185522316559225429131/4546246041216430314193049701801979291132726657438204543299394269206210311952397747048160594079178834253235610082958371828743799981885670980126491776000000,0.12203050939919989,0.1761089135390388,-2.032499333278893,0.3485144548359713,41,36,23
H,context_vs_clean_prototype,A,clean,T013-S0,0.023482315521263435,0.023482315521263435,141389705098584034671462856217938861688728994244242682993298605078115749697741149958636000172541240205391062426076236032809171837553931490753/6021114270888424892052671918477239156424506640188596929717219536249411902489928690269024478939161725924574173126370665417849569572503088000000,141389705098584034671462856217938861688728994244242682993298605078115749697741149958636000172541240205391062426076236032809171837553931490753/6021114270888424892052671918477239156424506640188596929717219536249411902489928690269024478939161725924574173126370665417849569572503088000000,0.09301419579049781,0.09301419579049781,0.0,0.0,0,100,0
