representation,policy,bank,context,salt,macro_class,macro_class_exact,capture,capture_exact,delta_vs_BBSE_pp,clean_delta_vs_zero,true_template_regret,true_template_regret_exact,regret_p90,optimal_set_agreement,canonical_agreement,L1
H,clean_prototype,A,brightness_dark,T013-S1,32.296535703287994,10847102320188584044207/335859623454421469325,0.8229133237518184,3302733654770626285663/4013464795675971506515,-0.9865116440154177,14.75050924907693,0.04266936688391118,211249270898221950082674997504322183312848856800403557395657065731059341440848129605228885832379634913997876947237727120180314079357/4950841466032511801770894592458402982091258830649384754738687338784523041743668292476574135647239437256233059924464894850650656000000,0.14973242436915155,0.67,0.66,1.8336969064778128
H,clean_prototype,A,brightness_dark,T013-S2,32.296535703287994,10847102320188584044207/335859623454421469325,0.8225886170671889,9908200964311878856989/12045147183823210116145,-1.0540176175052056,14.75050924907693,0.04266008984408382,10531727679866713340200837122891338382563330169104639755853633426614585280474983340281796066787789061025074615722373657322727280815411779509403/246875421930862914910086871629078600866467174673823842287140647802514345185198021590453139850620028171698673670618335607344310005184700576000000,0.14700659839763067,0.665,0.65,1.8336969064778128
H,clean_prototype,A,brightness_dark,T013-S3,32.296535703287994,10847102320188584044207/335859623454421469325,0.8222823348459875,9908200964311878856989/12049633738231375520845,-1.0347527564808208,14.75050924907693,0.04268131329824024,20034088670308190596270855762137971343418330208012731177774024950802418856115473701095462107336977136733525809126246458053481979284120651/469387821558297754341021758588077712516715941925378713438759651279350573623476315264912156035250882003508839602875848348675961551832000000,0.15200530821074043,0.67,0.645,1.8336969064778128
H,clean_prototype,A,contrast_low,T013-S0,21.919414831756917,490789760782342622147/22390641563628097955,0.1450231562548896,659678962889107229321/4548783655829897649377,-7.782867885643799,1.9641508440463977,0.1245613743374915,27610209325459099894186403448884662633860866014762338467129993457118223922040685416092407036185704664959362050042994027722013428980879793890457580843669076514078904858126909696743687/221659478889907804038856701320274453388397843748251584758704593723587914600451887370474249521526879525313906745154517834206345498253475334143455347678821633674061213420101540531200000,0.38690310350793644,0.3,0.29,1.7493606596324025
H,clean_prototype,A,contrast_low,T013-S1,22.23357331243799,7467359560761697987912/335859623454421469325,0.16846185844626946,63766009326305490419/378518971085929937914,-7.529914224368939,2.2783093247274717,0.12103635303564213,85393553930795225856729395312735229617871239056927255406903385711717708608264944867679728768905084995986974380941118332725456540328946416195643923117331629737900223755355519/705519885464898238453703186816077176874703350200413279694265195542503757874259510922669971920696899019728783079161474580129604259109423748824657900011334634274979057190400000,0.37433063234528613,0.31,0.3,1.7493606596324025
H,clean_prototype,A,contrast_low,T013-S2,22.10179772707143,14846202924559995907721/671719246908842938650,0.15776732384185407,160207558540881300217/1015467301083672497612,-7.628412286593266,2.146533739360908,0.1213690388685793,14084039481239045912270835207295518257169099939334740324649414970046830682797512969442357056157030942037289822858346113692696847315446072600784857698469004814423029963032692718073986281/116043099727349008438237247676504996511645432032585624215764204164525306656631527520089510174397276324598141399450649766935416895643278037890695041265399158429919168277911904447712000000,0.37112992388808336,0.3,0.29,1.7493606596324025
H,clean_prototype,A,contrast_low,T013-S3,21.981156709174172,2953033206174346965121/134343849381768587730,0.1491385910827986,1360831133179670619837/9124607677325891101811,-7.755140344389989,2.025892721463652,0.12333979377390186,7336644232708618697483992728445695406567004010019062950619188002888129643757032223092796483749750215797376457136863121475910126712088165159502238629093232258318749/59483188744077653713577120609694224337183242141333181441492414914250510885473136259586861887016239145177278936537034371485054670362904410615775494346609390464000000,0.38110419291475206,0.305,0.295,1.7493606596324025
H,clean_prototype,A,gaussian_noise,T013-S0,32.686983860762695,516355679005527051/15796981489789825,0.293810580573124,1350384077079357242389/4596104314709224043898,-2.57659343148608,2.010340009302449,0.04627599797014324,44438076707549422651148744992949590516627944706984986129630096603541794165123848199547181263522512033848945611128288458889927575872013601973772064471438852863/960283487267424700319463193587990648884052574162185250726854097512300668491343616530436989588117934413376669822768299633526479060020064541364646545393728000000,0.18655422312738607,0.525,0.515,1.2161816310311977
H,clean_prototype,A,gaussian_noise,T013-S1,32.73918618162076,9826426043935074172/300142648306006675,0.3000082547173398,1385449380733031976703/4618037533795086817289,-2.54459817499669,2.062542330160516,0.045259045642288095,918092292893009404555748614117650692324560985605874000812917776176217119022659095004799355348367676609214269485557822762914735857892824117938851653/20285277337690559857108768444915053718341330498239524783264068574736046917395377225473000669909776150572456841342527313603904479605025442851212480000,0.18638218324336853,0.51,0.5,1.2161816310311977
H,clean_prototype,A,gaussian_noise,T013-S2,32.67354387636584,1548430103462360753/47390944469369475,0.2921888968917136,1341356180881837292789/4590715784039354734789,-2.556952729391843,1.996900024905597,0.04705844726119277,72460226222720677179035657695057148602123044921031014714698842990862532533332079845582085886795942917781247208874841769203195020669853464244667865954257639013938977/1539792118948126395584182483830526558668968295673016292410300009106049725511265365177536841050115506742968481959475093895220954965456523882300019626733849183692000000,0.19206890423486792,0.5,0.49,1.2161816310311977
H,clean_prototype,A,gaussian_noise,T013-S3,32.76601025978218,1552812172704127753/47390944469369475,0.30477381718283597,1403467630314642750789/4604948165454424646314,-2.5241938680942497,2.0893664083219328,0.04606025884644174,5573733543303387639794159276342538407029217054831130780145396192588617088613678314048890729437126317211585566371784440967924707283832570095443825707863/121009600963933158545953026902812494727694834292393336446993165238682572790918914548557309493755900849537109343845150050348507173995922064884433692000000,0.1862535516334308,0.52,0.51,1.2161816310311977
H,clean_prototype,A,gaussian_blur,T013-S0,34.18119164251174,11480082154277410930579/335859623454421469325,0.3584608036127641,550744704010246644943/1536415414069098212229,-2.755037652131953,3.279612466337363,0.07063456267132462,3835371582610746562367878847678289651073520348095207586836865626233179913372379894984057799608243216139071551554456426285798717075274847565413664116144496438687599051072738943/54298794210101134017352370299461567442566061478377360979374887266703337829816805917199209604815761698551546099647605908011565142755616194321390257641671846939073634725696000000,0.19711346157142262,0.36,0.36,1.447953553653772
H,clean_prototype,A,gaussian_blur,T013-S1,34.33526551891604,1002767769425280180983/29205184648210562550,0.3750227059664,768824401422536293741/2050074273346581747772,-2.653912738129947,3.433686342741663,0.06833823483566288,54582711036122108508148462041689949458814254405205320402153646463178005705361181758405394381161021478954691454815191021618827591435653631776464009024740570985753746259530813/798714089811954932477216576121569718229211894447849642102411998255435696432888182234079310525905400027252044030566749914011997603965243462514751814796149105722055070794240000,0.2060052143698276,0.39,0.385,1.447953553653772
H,clean_prototype,A,gaussian_blur,T013-S2,33.89168918019336,11382849966294033358663/335859623454421469325,0.32946573848732047,91296110912465065270/277103505000653059503,-3.090067887506371,2.9901100040189874,0.06746900147570384,10613526565271145082681172354471397906433485069473614499090484450835487078634147812969192036699445214696036070972026354785944528851796240581980152261016525654210456717254975423591243/157309673081395254974652612689077029995164662379076727876924812266101125528806041689364910893923362165840165729712132978528217616991914021975999374776613616354084286256459077568000000,0.19174464385004703,0.35,0.35,1.447953553653772
H,clean_prototype,A,gaussian_blur,T013-S3,34.32922988598922,11529802222988612198354/335859623454421469325,0.377119681601279,383736492243898185887/1017545651859175604911,-2.5726677618299614,3.427650709814846,0.06929757335858766,106602106245916661869527133652221336049730459002023768421520708668693967587205995972921870938975064129484649055711299111337363333849333609442066293039907107/1538323798068551959203995534012286967449858642353168537674450521427042646477425900397527194865838866537736192669563690349398315591702712318128393023168000000,0.19635327314290052,0.36,0.36,1.447953553653772
H,clean_prototype,B,clean,T013-S0,37.83026739489209,1954716824989005488543/51670711300680226050,0.5985005850538592,2479703641495640526641/4143193345871986703936,-0.45955913088899253,3.6915774751235526,0.02334957081375996,224477463786143254773616040775836560771433490241530141652874249251583981501130652546523125809851193217399708409023643927513102714524705988134569751/9613772586083601076601030739276725506772306198612069847075426321534023941373357659182924235237942914244809010702242426383100995961523538457024000000,0.08493693074156673,0.58,0.58,0.925246647322647
H,clean_prototype,B,clean,T013-S1,37.79682641515803,12694427887567106956694/335859623454421469325,0.6041657546552561,351034384538969012710/581023306657414303123,-0.33953319100858526,3.6581364953894915,0.0233635783910851,168430985749509333948208081010012863037618634763135370993595229773426421109613116877627720449076542158168710314842186636068707844573531244066266667/7209126227589261698362196595406511481589602111937382222498867734469743526613614253647227593414135543942129296689321679685563678990644042308624000000,0.08034646804656717,0.58,0.575,0.925246647322647
H,clean_prototype,B,clean,T013-S2,37.90365605720703,4243435883639818231942/111953207818140489775,0.6169479774563675,1264500109238739283617/2049605729241844775866,-0.4730778303100122,3.764966137438491,0.02286685583077518,26383137188682084334920623823375128159572062049417579994479953886357915586104063304682177064339102427783477041793568196715423108958444405234019793291897411/1153771965150300466051116733248290025121754718033710418372052535485229983495200973247474524538013999080424555540105146197037251360224355027288483686580500000,0.08364828909455155,0.595,0.59,0.925246647322647
H,clean_prototype,B,clean,T013-S3,37.86941132060703,25437612453159365786861/671719246908842938650,0.602202146137519,2505997369797934962443/4161388971911210748786,-0.4611407178373119,3.7307214008384912,0.02332632933033982,3141375896270265710908813000528849948128510050507388268217701514821380754878927940697605061671678692671522840734523058286399851592921672485421/134670819904114845963466102779137378594176097618886536732610867035299850147696948132678471512383609187079128007365196621501287406017162836000000,0.08433419038829774,0.58,0.575,0.925246647322647
H,clean_prototype,B,brightness_dark,T013-S0,32.424807666744606,10890183693534881557364/335859623454421469325,0.8401662025798985,9994363711004473883303/11895698351486622127284,-0.7025036302510095,14.878781212533545,0.03825065784166169,537742856267334419820799946958184745023028733867267473450479387523702057510509545645032921780519686696095995019769802387770284233/14058394982207022522790417958358137490915089387140959560150148891862778473725095521076588792010624015308185599536423793398592000000,0.14726445134466737,0.7,0.675,1.8327996419736672
H,clean_prototype,B,brightness_dark,T013-S1,32.424807666744606,10890183693534881557364/335859623454421469325,0.8382636973443593,9994363711004473883303/11922696572292074619309,-0.7886520558625914,14.878781212533545,0.03822244633259109,4363598887144204908974223665119126684569800984257699695375634829062420623555619304562410529905002856401169074116156055025887/114163254993532428024597483256251585302626914218890752544924114526218382423985305569698206477585301443140306419694586754000000,0.15392184899629557,0.695,0.685,1.8327996419736672
H,clean_prototype,B,brightness_dark,T013-S2,32.424807666744606,10890183693534881557364/335859623454421469325,0.836060468275388,9994363711004473883303/11954115868701082530484,-0.7624859285665192,14.878781212533545,0.038208673127212434,16415040816088300653023683670330677975021430113756549044370194151081749976425599687497153077689137442745304689863466828364370060052023/429615568209758511886435114614518647711242476645988593326109340511798745898274901822828913066953012966983278221895782413409571309360000,0.14752799759228719,0.695,0.68,1.8327996419736672
H,clean_prototype,B,brightness_dark,T013-S3,32.424807666744606,10890183693534881557364/335859623454421469325,0.839215266583632,9994363711004473883303/11909177667478103925384,-0.7358027773746966,14.878781212533545,0.03823947930616409,136925186231187355481046595074093147149887624943929340117007381032899227811673046072419527469374986819939281598480898730749717118131823/3580728313136717458366385522712655087292170558410886151053409176767521783222300377558463610959061100682102042843974063278349286874000000,0.14785770955460387,0.7,0.675,1.8327996419736672
