representation,bank,context,salt,macro_class_p05,macro_class_median,macro_class_p95,capture_p05,capture_median,capture_p95
T021_H,A,clean,T013-S2,38.68449850255918,39.22435861012363,39.768922610480594,0.738010578928199,0.8256566958439475,0.9140664882598394
T021_H,A,clean,T013-S3,38.7181040605081,39.245943049123234,39.77218025293153,0.7330163369714638,0.8175063153954076,0.9017398997925962
T021_H,A,brightness_dark,T013-S0,33.30072555656003,34.05083805396448,34.602274708376754,0.8785835234500476,0.9204146289933617,0.9511662895389322
T021_H,A,brightness_dark,T013-S1,33.28209723138897,34.07204642823001,34.610906078820015,0.8778966263047286,0.9219669501281735,0.9520292875441182
T021_H,A,brightness_dark,T013-S2,33.25763891884531,34.02440045882549,34.66406495888922,0.8761862625175381,0.9189460956963196,0.9546181343771081
T021_H,A,brightness_dark,T013-S3,33.26114602079126,34.07850610894286,34.59682635393104,0.8760555307878666,0.9216201109895488,0.9505144070473946
T021_H,A,contrast_low,T013-S0,30.21707371046501,31.372146553441414,32.153426448147236,0.7576811319720693,0.8429659816059448,0.9006518139299566
T021_H,A,contrast_low,T013-S1,30.269781238787562,31.389244566160848,32.206639181616154,0.7626720069279421,0.8454469271483588,0.9058864006250545
T021_H,A,contrast_low,T013-S2,30.19836990371488,31.308585060131872,32.09496745155356,0.752854417595977,0.8344537285710394,0.892251769727334
T021_H,A,contrast_low,T013-S3,30.252131417871958,31.410824586837247,32.20077127671214,0.7580165942800572,0.8433152208489403,0.901468120610259
T021_H,A,gaussian_noise,T013-S0,35.70680682050354,36.391780085349346,36.86787968163374,0.7351567871470895,0.8352654213533233,0.904847232463716
T021_H,A,gaussian_noise,T013-S1,35.67642803482546,36.331703097325395,36.89049876908213,0.727246420536747,0.8225598233143292,0.9038397620462015
T021_H,A,gaussian_noise,T013-S2,35.652808046886236,36.35000807982132,36.87825176496968,0.7281185381738366,0.8301337146951551,0.9074269881332223
T021_H,A,gaussian_noise,T013-S3,35.6899311299306,36.357509599631214,36.857217133170636,0.7312832705684704,0.8286622834928428,0.9015541285350672
T021_H,A,gaussian_blur,T013-S0,37.66720271641799,38.34055868287237,38.93082128203797,0.7394809222339644,0.813078557116188,0.8775941082098688
T021_H,A,gaussian_blur,T013-S1,37.646558871097064,38.30041185277282,38.86055174939992,0.7366778104894128,0.8080907731237494,0.8692685158715352
