client,target,n_query,none,moment_correct,moment_wrong_clean,moment_wrong_alt,moment_noise_image,delta_wrong_clean,delta_wrong_alt
44,contrast_low,74,17.56756752729416,14.864864945411682,10.810811072587967,10.810811072587967,4.054054245352745,4.054053872823715,4.054053872823715
45,contrast_low,13,61.538463830947876,15.384615957736969,53.84615659713745,38.46153914928436,30.769231915473938,-38.46154063940048,-23.076923191547394
46,contrast_low,79,1.2658228166401386,0.0,0.0,0.0,16.455696523189545,0.0,0.0
47,contrast_low,32,37.5,40.625,12.5,21.875,9.375,28.125,18.75
48,contrast_low,161,0.0,3.7267081439495087,1.2422360479831696,1.2422360479831696,58.38509202003479,2.484472095966339,2.484472095966339
49,contrast_low,202,1.4851484447717667,15.841583907604218,2.4752475321292877,5.940593779087067,1.9801979884505272,13.36633637547493,9.90099012851715
50,contrast_low,121,40.495866537094116,33.05785059928894,45.45454382896423,40.495866537094116,11.570247262716293,-12.396693229675293,-7.438015937805176
51,contrast_low,12,0.0,0.0,0.0,0.0,8.33333358168602,0.0,0.0
52,contrast_low,24,41.66666865348816,29.16666865348816,41.66666865348816,37.5,12.5,-12.5,-8.33333134651184
53,contrast_low,121,0.0,14.876031875610352,0.0,2.4793386459350586,9.917354583740234,14.876031875610352,12.396693229675293
54,contrast_low,237,19.409281015396118,21.94092720746994,18.143458664417267,18.143458664417267,5.063290894031525,3.7974685430526733,3.7974685430526733
55,contrast_low,210,50.47619342803955,29.04762029647827,13.333334028720856,18.571428954601288,20.952381193637848,15.714286267757416,10.476191341876984
56,contrast_low,118,13.55932205915451,13.55932205915451,13.55932205915451,13.55932205915451,10.169491171836853,0.0,0.0
57,contrast_low,117,16.239316761493683,35.04273593425751,17.094017565250397,24.78632628917694,9.401709586381912,17.94871836900711,10.256409645080566
58,contrast_low,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,contrast_low,94,22.340424358844757,40.42553007602692,19.14893537759781,23.404254019260406,12.765957415103912,21.276594698429108,17.02127605676651
60,contrast_low,475,8.210525661706924,5.052631348371506,1.2631578370928764,1.0526315309107304,21.473683416843414,3.7894735112786293,3.9999998174607754
61,contrast_low,15,0.0,0.0,0.0,0.0,20.000001788139343,0.0,0.0
62,contrast_low,75,15.999999642372131,17.33333319425583,14.666667580604553,14.666667580604553,6.666667014360428,2.6666656136512756,2.6666656136512756
63,contrast_low,215,29.30232584476471,20.46511620283127,20.930232107639313,25.11627972126007,11.627906560897827,-0.46511590480804443,-4.6511635184288025
64,contrast_low,127,10.236220061779022,17.322835326194763,11.023622006177902,14.173227548599243,2.3622047156095505,6.299213320016861,3.14960777759552
65,contrast_low,152,0.0,6.578947603702545,0.0,0.0,1.9736841320991516,6.578947603702545,6.578947603702545
66,contrast_low,194,2.0618556067347527,2.0618556067347527,2.0618556067347527,2.0618556067347527,7.731958478689194,0.0,0.0
67,contrast_low,82,7.31707289814949,19.512194395065308,6.097560748457909,10.975609719753265,3.658536449074745,13.414633646607399,8.536584675312042
68,contrast_low,229,1.7467249184846878,11.353711783885956,0.0,0.8733624592423439,3.4934498369693756,11.353711783885956,10.480349324643612
69,contrast_low,142,6.338027864694595,12.67605572938919,7.042253017425537,7.042253017425537,4.22535203397274,5.633802711963654,5.633802711963654
70,contrast_low,77,38.96103799343109,32.46753215789795,14.28571492433548,20.779220759868622,22.077922523021698,18.18181723356247,11.688311398029327
71,contrast_low,36,2.777777798473835,11.11111119389534,11.11111119389534,11.11111119389534,80.55555820465088,0.0,0.0
72,contrast_low,161,23.60248565673828,24.223603308200836,11.80124282836914,14.906832575798035,13.04347813129425,12.422360479831696,9.316770732402802
73,contrast_low,228,15.789473056793213,16.228070855140686,12.719298899173737,14.035087823867798,3.070175461471081,3.5087719559669495,2.192983031272888
74,contrast_low,164,68.90243887901306,42.68292486667633,43.29268038272858,54.26828861236572,1.2195121496915817,-0.6097555160522461,-11.585363745689392
75,contrast_low,200,3.999999910593033,28.00000011920929,1.4999999664723873,4.999999701976776,3.999999910593033,26.500000152736902,23.000000417232513
76,contrast_low,167,44.31138038635254,35.329341888427734,30.538922548294067,38.323354721069336,1.1976048350334167,4.790419340133667,-2.9940128326416016
77,contrast_low,172,36.62790656089783,20.930232107639313,30.813953280448914,23.83720874786377,16.27907007932663,-9.8837211728096,-2.906976640224457
78,contrast_low,98,2.0408162847161293,10.204081237316132,6.122449040412903,6.122449040412903,27.551019191741943,4.081632196903229,4.081632196903229
79,contrast_low,18,50.0,33.33333432674408,50.0,38.88888955116272,11.11111119389534,-16.66666567325592,-5.55555522441864
80,contrast_low,80,73.7500011920929,46.25000059604645,55.000001192092896,62.5,3.750000149011612,-8.750000596046448,-16.249999403953552
81,contrast_low,17,0.0,5.882352963089943,0.0,0.0,0.0,5.882352963089943,5.882352963089943
82,contrast_low,163,0.0,5.521472170948982,0.0,0.0,2.4539876729249954,5.521472170948982,5.521472170948982
83,contrast_low,509,37.721022963523865,27.11198627948761,14.341847598552704,18.074657022953033,14.734774827957153,12.770138680934906,9.037329256534576
84,contrast_low,254,66.5354311466217,37.00787425041199,48.03149700164795,48.81889820098877,4.724409431219101,-11.023622751235962,-11.811023950576782
85,contrast_low,222,52.70270109176636,37.387388944625854,32.88288414478302,40.54054021835327,4.054054245352745,4.5045047998428345,-3.153151273727417
86,contrast_low,40,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612,32.50000178813934,0.0,0.0
87,contrast_low,150,7.333333790302277,15.999999642372131,10.66666692495346,13.333334028720856,6.000000238418579,5.333332717418671,2.6666656136512756
88,contrast_low,77,36.36363744735718,18.18181872367859,24.67532455921173,31.168830394744873,22.077922523021698,-6.493505835533142,-12.987011671066284
89,contrast_low,155,7.741935551166534,9.03225764632225,7.096774131059647,10.322580486536026,56.129032373428345,1.9354835152626038,-1.2903228402137756
90,contrast_low,155,10.322580486536026,12.25806400179863,9.03225764632225,7.741935551166534,13.548387587070465,3.2258063554763794,4.516128450632095
91,contrast_low,183,0.0,1.6393441706895828,0.0,0.0,1.6393441706895828,1.6393441706895828,1.6393441706895828
92,contrast_low,96,12.5,35.41666865348816,3.125,7.29166716337204,2.083333395421505,32.29166865348816,28.12500149011612
93,contrast_low,218,0.0,4.128440096974373,0.917431153357029,0.917431153357029,76.60549879074097,3.211008943617344,3.211008943617344
94,contrast_low,293,2.7303753420710564,16.04095548391342,3.0716722831130028,7.508531957864761,3.7542659789323807,12.969283200800419,8.53242352604866
95,contrast_low,38,15.789473056793213,39.47368562221527,10.526315867900848,13.15789520740509,18.421052396297455,28.947369754314423,26.31579041481018
96,contrast_low,215,1.3953488320112228,3.25581394135952,1.3953488320112228,1.3953488320112228,7.4418604373931885,1.8604651093482971,1.8604651093482971
97,contrast_low,170,45.88235318660736,27.05882489681244,44.11764740943909,36.4705890417099,12.352941185235977,-17.058822512626648,-9.411764144897461
98,contrast_low,66,4.545454680919647,9.090909361839294,3.030303120613098,4.545454680919647,7.575757801532745,6.060606241226196,4.545454680919647
99,contrast_low,145,2.068965509533882,7.586206495761871,4.137931019067764,4.137931019067764,43.448275327682495,3.448275476694107,3.448275476694107
0,gaussian_noise,178,26.404494047164917,23.595505952835083,24.719101190567017,33.707866072654724,37.078651785850525,-1.1235952377319336,-10.112360119819641
1,gaussian_noise,99,10.101009905338287,11.11111119389534,10.101009905338287,30.30303120613098,22.22222238779068,1.0101012885570526,-19.19192001223564
2,gaussian_noise,140,0.7142857182770967,1.4285714365541935,1.4285714365541935,10.000000149011612,22.142857313156128,0.0,-8.571428712457418
3,gaussian_noise,216,10.185185074806213,1.3888888992369175,0.0,6.018518656492233,29.16666567325592,1.3888888992369175,-4.629629757255316
4,gaussian_noise,105,5.714286118745804,4.76190485060215,4.76190485060215,21.904762089252472,24.761906266212463,0.0,-17.142857238650322
5,gaussian_noise,158,18.987342715263367,20.886076986789703,16.455696523189545,22.151899337768555,28.48101258277893,4.430380463600159,-1.2658223509788513
6,gaussian_noise,261,49.808427691459656,27.969348430633545,20.68965435028076,23.75478893518448,42.14559197425842,7.279694080352783,4.214559495449066
7,gaussian_noise,197,19.796954095363617,19.28934007883072,19.28934007883072,25.380709767341614,14.720812439918518,0.0,-6.091369688510895
8,gaussian_noise,193,13.47150206565857,12.435232847929,6.2176164239645,32.12435245513916,27.461138367652893,6.2176164239645,-19.68911960721016
9,gaussian_noise,176,17.045454680919647,19.31818276643753,19.31818276643753,34.090909361839294,34.659090638160706,0.0,-14.772726595401764
10,gaussian_noise,282,11.702127009630203,11.702127009630203,7.446808367967606,6.737588346004486,19.5035457611084,4.255318641662598,4.964538663625717
11,gaussian_noise,180,49.444445967674255,42.77777969837189,27.77777910232544,44.44444477558136,49.444445967674255,15.000000596046448,-1.6666650772094727
12,gaussian_noise,164,18.292681872844696,17.073169350624084,14.63414579629898,24.390242993831635,31.09756112098694,2.4390235543251038,-7.31707364320755
13,gaussian_noise,80,62.5,45.00000178813934,47.49999940395355,25.0,52.50000357627869,-2.499997615814209,20.000001788139343
14,gaussian_noise,71,43.661969900131226,46.47887349128723,30.985915660858154,14.084506034851074,26.760563254356384,15.492957830429077,32.39436745643616
15,gaussian_noise,236,0.0,0.0,0.0,0.42372881434857845,27.966102957725525,0.0,-0.42372881434857845
16,gaussian_noise,21,66.66666865348816,52.3809552192688,52.3809552192688,57.14285969734192,57.14285969734192,0.0,-4.76190447807312
17,gaussian_noise,87,57.47126340866089,40.229883790016174,33.33333432674408,55.17241358757019,59.77011322975159,6.896549463272095,-14.942529797554016
