pool,target,context,layer,mse_before,mse_after,restoration_ratio,gamma_abs_mean,gamma_abs_max,beta_abs_mean,beta_abs_max,cap_fraction,negative_scale_fraction,minimum_source_variance,nonfinite_count
A,gaussian_blur,cross_class_derangement,2,0.19863734026436947,0.1715097725177272,0.8634316805161719,0.5326728820800781,1.4779878854751587,0.2965726852416992,1.6598132848739624,0.0,0.015625,0.0,0
A,gaussian_blur,wrong_alt_source,1,0.048979481560775376,0.024561409525482386,0.5014632401734544,0.8089842796325684,1.9819605350494385,0.042711272835731506,0.12058831006288528,0.0,0.0,0.0014381489519114162,0
A,gaussian_blur,wrong_alt_source,2,0.05376843548722806,0.047167765818695064,0.8772389486746198,0.13833248615264893,0.7801026701927185,0.09039583802223206,0.33138135075569153,0.0,0.0,0.0,0
A,gaussian_blur,noise_source,1,0.1983501480983024,0.09699099871417773,0.48898878898799186,0.9944256544113159,1.011589765548706,0.24987582862377167,0.6044434905052185,0.0,0.34375,0.041839198941784964,0
A,gaussian_blur,noise_source,2,0.2022070925755334,0.173389089573796,0.8574827290443703,1.2143597602844238,5.853725433349609,0.8203089833259583,7.558825969696045,0.0,0.140625,0.0,0
B,brightness_dark,correct_pair,1,0.11367224697364885,0.03965927008809075,0.34889140616077063,1.3544812202453613,7.0,0.24833208322525024,1.4163446426391602,0.0625,0.0,0.0,0
B,brightness_dark,correct_pair,2,0.05490048984541464,0.04863660461275673,0.8859047478393113,0.22276446223258972,0.7849228382110596,0.1214713454246521,0.936064600944519,0.0,0.0,7.11368898696105e-07,0
B,brightness_dark,same_class_derangement,1,0.1737268018896232,0.09821156347693806,0.5653218870588343,0.857256293296814,1.4661498069763184,0.24742260575294495,0.5394603610038757,0.0,0.15625,0.0,0
B,brightness_dark,same_class_derangement,2,0.19098825311632942,0.16178971903963707,0.8471186913317242,2.282057046890259,8.942935943603516,1.4060149192810059,8.877141952514648,0.03125,0.09375,0.0,0
B,brightness_dark,cross_class_derangement,1,0.174751542050255,0.09837026519919562,0.5629150051843681,0.8518778085708618,1.046379566192627,0.24740669131278992,0.5412338376045227,0.0,0.25,0.0,0
B,brightness_dark,cross_class_derangement,2,0.19456663859496423,0.16667094045960887,0.8566265093707727,2.4602320194244385,9.0,1.7495627403259277,10.496798515319824,0.03125,0.421875,0.0,0
B,brightness_dark,wrong_alt_source,1,0.02332950969634523,0.013175437864637568,0.5647541691243351,0.23277541995048523,0.49575817584991455,0.01794499345123768,0.03794679045677185,0.0,0.0,0.023752383925823475,0
B,brightness_dark,wrong_alt_source,2,0.011586647580140053,0.009321731718663467,0.8045236255084917,0.10602053254842758,0.26741841435432434,0.06754613667726517,0.29772984981536865,0.0,0.0,2.707293632262065e-06,0
B,brightness_dark,noise_source,1,0.20121039838009802,0.09840301975726787,0.48905533983079197,1.0009866952896118,1.0373553037643433,0.25582659244537354,0.6358023881912231,0.0,0.4375,0.04158951682022318,0
B,brightness_dark,noise_source,2,0.19473096640179965,0.16734977333680676,0.8593896308792732,1.5397661924362183,7.0,1.1766862869262695,10.14422607421875,0.03125,0.046875,0.0,0
B,contrast_low,correct_pair,1,0.046403289202697595,0.025172788888439296,0.5424785466926751,0.8193448781967163,2.5147206783294678,0.04452778398990631,0.10470759123563766,0.0,0.0,0.0010926267133239509,0
B,contrast_low,correct_pair,2,0.04956331592017904,0.04285560968129615,0.8646638927531493,0.13610336184501648,0.829587996006012,0.08843915164470673,0.30356791615486145,0.0,0.0,0.0,0
B,contrast_low,same_class_derangement,1,0.1381439027323741,0.0977397405930633,0.7075212054955065,0.9226799607276917,1.207611083984375,0.24983927607536316,0.6125518083572388,0.0,0.21875,0.0010926267133239509,0
B,contrast_low,same_class_derangement,2,0.1901483546870891,0.16256845762748412,0.854955899539647,1.0729742050170898,5.1668877601623535,0.6374692916870117,6.319389343261719,0.0,0.046875,0.0,0
