client,bank,true_context,selected,second,best_score,second_score,score_margin,zero_improvement,true_rank,J_clean,J_brightness_dark,J_contrast_low,J_gaussian_noise,J_gaussian_blur
6,B,gaussian_blur,gaussian_blur,clean,5.375764326786252,23.789172592947196,18.413408266160943,18.413408266160943,1,23.789172592947196,2033.3656746488225,43.553100483986725,65.35047813717978,5.375764326786252
7,A,clean,clean,gaussian_noise,10.973868710546398,24.305892817361205,13.332024106814806,0.0,1,10.973868710546398,10260.765321099596,223.5337067535466,24.305892817361205,37.87228094355287
7,B,clean,clean,gaussian_noise,8.466125007735737,21.419559000254385,12.953433992518647,0.0,1,8.466125007735737,6631.4423412901915,227.32535078776894,21.419559000254385,39.067962692074175
7,A,brightness_dark,brightness_dark,contrast_low,126.32004992288864,226.7072223516481,100.38717242875947,143.3503772696307,1,269.67042719251936,126.32004992288864,226.7072223516481,324.80995753201285,236.48590710492354
7,B,brightness_dark,brightness_dark,contrast_low,127.68870714149827,228.35319311404504,100.66448597254677,142.78159792955202,1,270.4703050710503,127.68870714149827,228.35319311404504,325.06030329893423,234.57728713026327
7,A,contrast_low,contrast_low,gaussian_blur,18.718200856210707,43.24925474329333,24.53105388708262,67.96884835195723,1,86.68704920816793,3448.0877580873826,18.718200856210707,152.53578713521875,43.24925474329333
7,B,contrast_low,contrast_low,gaussian_blur,13.252726819785051,40.41801292960851,27.165286109823455,72.44004034536626,1,85.69276716515131,1986.5125973170025,13.252726819785051,149.86588644092518,40.41801292960851
7,A,gaussian_noise,gaussian_noise,clean,8.216592943706289,30.68416016571328,22.46756722200699,22.46756722200699,1,30.68416016571328,8553.669173512559,442.4180633922592,8.216592943706289,108.79056596567914
7,B,gaussian_noise,gaussian_noise,clean,6.5814316931840064,30.334781591070005,23.753349897885997,23.753349897885997,1,30.334781591070005,4814.275855317538,478.81578732130936,6.5814316931840064,118.83417371461084
7,A,gaussian_blur,gaussian_blur,clean,11.99633826563668,24.777824816198176,12.781486550561496,12.781486550561496,1,24.777824816198176,7066.721408742233,69.93226735746708,62.568321152341696,11.99633826563668
7,B,gaussian_blur,gaussian_blur,clean,10.197960717090512,23.376676969137414,13.178716252046902,13.178716252046902,1,23.376676969137414,4865.117054186153,58.5006874589499,60.01509419011022,10.197960717090512
8,A,clean,clean,gaussian_blur,7.159121306690751,18.920191532176858,11.761070225486108,0.0,1,7.159121306690751,6944.407746392943,155.9256294853258,29.307392688623853,18.920191532176858
8,B,clean,clean,gaussian_blur,5.415706937623852,19.04603902199086,13.630332084367009,0.0,1,5.415706937623852,4716.284576462047,155.74061130052382,27.107245631954346,19.04603902199086
8,A,brightness_dark,brightness_dark,contrast_low,136.56660687625944,249.64729272624834,113.0806858499889,161.49397912274745,1,298.0605859990069,136.56660687625944,249.64729272624834,358.68866800866044,261.0101059440698
8,B,brightness_dark,brightness_dark,contrast_low,138.35484757173438,252.74768513445952,114.39283756272513,160.88788340918504,1,299.2427309809194,138.35484757173438,252.74768513445952,358.7654067718344,259.09678037110086
8,A,contrast_low,contrast_low,gaussian_blur,12.94755954357893,53.13862918479834,40.191069641219414,93.68091582817908,1,106.62847537175801,1735.7499403383913,12.94755954357893,180.40585049210063,53.13862918479834
8,B,contrast_low,contrast_low,gaussian_blur,11.477889102903422,50.96373713709106,39.48584803418764,95.09977642101833,1,106.57766552392175,1067.8934195539296,11.477889102903422,178.14972844505252,50.96373713709106
8,A,gaussian_noise,gaussian_noise,clean,8.689325862648687,22.66512674246492,13.975800879816234,13.975800879816234,1,22.66512674246492,6182.246988063673,389.59709220446746,8.689325862648687,90.68950213457587
8,B,gaussian_noise,gaussian_noise,clean,7.154294909619507,21.396401218488304,14.242106308868797,14.242106308868797,1,21.396401218488304,3760.64136410116,418.809719107154,7.154294909619507,98.68504692530722
8,A,gaussian_blur,gaussian_blur,clean,9.511017477018825,29.223132139486218,19.712114662467393,19.712114662467393,1,29.223132139486218,4631.141497061271,49.309048707396734,73.16097081733719,9.511017477018825
8,B,gaussian_blur,gaussian_blur,clean,7.849136285043676,28.327804204625256,20.47866791958158,20.47866791958158,1,28.327804204625256,3299.7018376927504,40.19007282358131,71.34331301197018,7.849136285043676
