client,bank,context,ROT_SCORE,direction_errors,direction_ranks,current_state,current_tie_mask,clean_surrogate_state,clean_surrogate_tie_mask
49,A,gaussian_blur,"[0.39947239617797503, 0.3186421567462717, 0.36880701323091386, 0.40398043610789475, 0.38998476094168194]","[[0.3810053006490367, 0.41793949170691336], [0.2891163521084861, 0.3481679613840573], [0.33875089164369676, 0.39886313481813096], [0.38021678342328386, 0.42774408879250564], [0.36868751121561877, 0.4112820106677451]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,1,2
49,B,clean,"[0.3687448267300779, 0.3192980232886281, 0.3417899195864156, 0.38361171801425953, 0.3611914715758006]","[[0.3340291497300795, 0.40346050373007625], [0.284009756252695, 0.3545862903245612], [0.3010169571716805, 0.38256288200115074], [0.3439206985447739, 0.4233027374837451], [0.3194285994317527, 0.4029543437198485]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,1,2
49,B,brightness_dark,"[0.34841611482293955, 0.35249727932067487, 0.3635392409494729, 0.3412647645209941, 0.3454977622875166]","[[0.29298321846910846, 0.4038490111767706], [0.30078444336005383, 0.40421011528129586], [0.28436823225239205, 0.44271024964655376], [0.2953644428169651, 0.3871650862250231], [0.29524803944510114, 0.39574748512993213]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",3,8,1,2
49,B,contrast_low,"[0.3506169566378597, 0.3232228362569906, 0.35628222173035173, 0.36666955391160894, 0.3651141330382096]","[[0.35936979952799925, 0.34186411374772013], [0.33066224093214514, 0.3157834315818361], [0.3367100448738266, 0.37585439858687686], [0.37016230738313827, 0.3631768004400796], [0.35275804246867215, 0.37747022360774707]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,1,2
49,B,gaussian_noise,"[0.32774545201341043, 0.30532658397785783, 0.29042149845662146, 0.34637523214036803, 0.3165925504375553]","[[0.32492864153044765, 0.3305622624963732], [0.2977258696486199, 0.31292729830709576], [0.2772035004240248, 0.30363949648921806], [0.3356212763121559, 0.35712918796858023], [0.3118255657033008, 0.3213595351718098]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,1,2
49,B,gaussian_blur,"[0.39947239617797503, 0.32142637936488105, 0.3632492155536783, 0.40525158439730397, 0.3897717973894912]","[[0.3810053006490367, 0.41793949170691336], [0.29370376516499397, 0.34914899356476814], [0.33940037434122594, 0.3870980567661307], [0.38098234433903866, 0.4295208244555693], [0.3685966922664886, 0.4109469025124938]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,1,2
50,A,clean,"[0.51472198225517, 0.4927920231040489, 0.4575438505029058, 0.5065622216086961, 0.5084792943285074]","[[0.30693274590972097, 0.722511218600619], [0.25245282029205085, 0.733131225916047], [0.2664901800725449, 0.6485975209332667], [0.3119297981272394, 0.7011946450901528], [0.3174334379208035, 0.6995251507362112]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,2,4
50,A,brightness_dark,"[0.5115334994516827, 0.4581790822217463, 0.4682450014595829, 0.4964733539132431, 0.4944128971061499]","[[0.3648187978734799, 0.6582482010298853], [0.3296028164249244, 0.5867553480185682], [0.33321188343143865, 0.6032781194877271], [0.3373938640614746, 0.6555528437650116], [0.3388529754429459, 0.6499728187693539]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,2,4
50,A,contrast_low,"[0.8967101579854648, 0.560854232317209, 0.8452561420414209, 1.0338592969991518, 0.8418302505701113]","[[0.8068153042518856, 0.986605011719044], [0.28228878899439236, 0.8394196756400257], [0.5746864995634752, 1.1158257845193664], [1.0063997388630732, 1.0613188551352304], [0.513997964836191, 1.1696625363040316]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,2,4
50,A,gaussian_noise,"[0.4412964653502569, 0.439163300333592, 0.3986270106054589, 0.4391630028073561, 0.43968470527799497]","[[0.3051388605755345, 0.5774540701249793], [0.26511216314176067, 0.6132144375254234], [0.28674977542739605, 0.5105042457835218], [0.29353036349249323, 0.584795642122219], [0.3185886509961929, 0.560780759559797]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,2,4
50,A,gaussian_blur,"[0.571581057555584, 0.6298906111067649, 0.5716142595889308, 0.551945141270415, 0.5832754251051872]","[[0.4118431252561887, 0.7313189898549792], [0.33280348420276484, 0.926977738010765], [0.4289868330449341, 0.7142416861329274], [0.3902620912652951, 0.7136281912755349], [0.4238155265701405, 0.7427353236402339]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",3,8,2,4
50,B,clean,"[0.51472198225517, 0.4910903433758185, 0.43358564251291654, 0.5066873922901535, 0.5063679689679117]","[[0.30693274590972097, 0.722511218600619], [0.2478803208082189, 0.7343003659434182], [0.25905912987784613, 0.6081121551479869], [0.31043563329365426, 0.7029391512866527], [0.31458714808341637, 0.6981487898524069]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,2,4
