client,bank,context,iterations,converged,cap_hit,L,eta,max_step,projected_gradient_residual,objective,initial_objective,active_classes,L1_change,differs_from_BBSE,direct_KKT,reference_KKT,reference_objective,objective_error,unique,prevalence_error,reference_agreement,objective_dominance
11,B,gaussian_blur,4935,True,False,1.4217813424999686,0.70334303180661,9.965639424791561e-13,1.4116080638439492e-12,0.00042772140756908384,0.003459299721145183,5,0.6724429953801478,True,1.4115629238392602e-12,1.691355389077387e-17,0.00042772140756908346,3.7947076036992655e-19,True,2.6206858905197805e-10,True,True
12,A,clean,1,True,False,1.402645915671683,0.7129383038349572,0.0,0.0,0.009864515273023969,0.009864515273023969,1,0.0,False,0.0,0.0,0.009864515273023969,0.0,True,0.0,True,True
12,A,brightness_dark,3016,True,False,1.396424043036843,0.7161148542138186,9.974243653232406e-13,1.3839904147372349e-12,0.005196785340803971,0.005205834640225508,3,0.06389095541645637,True,1.384015298200314e-12,1.0191500421363742e-17,0.005196785340803969,1.734723475976807e-18,True,1.5732759539588415e-10,True,True
12,A,contrast_low,6245,True,False,1.426515536053912,0.7010088391790269,9.995337890700284e-13,1.4210992277398916e-12,0.0047080637166093614,0.005821151726818782,3,0.9162771545672912,True,1.4210525117741568e-12,3.9898639947466563e-17,0.0047080637166093614,0.0,True,2.951571209663939e-10,True,True
12,A,gaussian_noise,483,True,False,1.4056969542547841,0.7113908847658703,9.887646257311644e-13,1.3322866510339282e-12,0.007843200566126574,0.007860247681105543,2,0.034221372822875656,True,1.332259823294546e-12,9.107298248878237e-18,0.007843200566126574,0.0,True,2.2881113670436548e-11,True,True
12,A,gaussian_blur,1,True,False,1.4124928147032678,0.7079682031586666,0.0,0.0,0.009411993126282445,0.009411993126282445,1,0.0,False,0.0,0.0,0.009411993126282445,0.0,True,0.0,True,True
12,B,clean,1,True,False,1.402645915671683,0.7129383038349572,0.0,0.0,0.009864515273023969,0.009864515273023969,1,0.0,False,0.0,0.0,0.009864515273023969,0.0,True,0.0,True,True
12,B,brightness_dark,2819,True,False,1.389117977312582,0.7198812601465442,9.983125437429408e-13,1.3779831861446732e-12,0.005333602616242586,0.005337146338105689,3,0.03057141476944876,True,1.3778676550418867e-12,1.452830911130576e-17,0.005333602616242587,8.673617379884035e-19,True,1.5446199874702415e-10,True,True
12,B,contrast_low,6161,True,False,1.453338481019011,0.6880709573580189,9.967027203572343e-13,1.4435444751144757e-12,0.005023526371585334,0.005983263007990333,3,0.8658617141509644,True,1.4436143253027112e-12,1.214306433183765e-17,0.005023526371585335,8.673617379884035e-19,True,2.908720486693994e-10,True,True
12,B,gaussian_noise,490,True,False,1.407692434305954,0.7103824497664776,9.63895629979561e-13,1.3006303134762709e-12,0.00780099003377318,0.00783074183636732,2,0.04516957515628213,True,1.3005729306014846e-12,8.239936510889834e-18,0.007800990033773181,8.673617379884035e-19,True,2.2297205748422755e-11,True,True
12,B,gaussian_blur,1,True,False,1.4234840158884847,0.7025017413882501,0.0,0.0,0.009572837740775815,0.009572837740775815,1,0.0,False,0.0,0.0,0.009572837740775815,0.0,True,0.0,True,True
13,A,clean,3704,True,False,1.4005181386825971,0.7140214556168861,9.959602587095162e-13,1.3868235830469166e-12,0.000293591864519091,0.011278084239611888,3,1.1572016756610095,True,1.386854606849619e-12,2.211772431870429e-17,0.0002935918645190913,3.2526065174565133e-19,True,1.7232428678459755e-10,True,True
13,A,brightness_dark,5361,True,False,1.3949625909397982,0.7168651019711514,9.992562333138721e-13,1.3886013406561146e-12,0.00030303571377086435,0.029177876802459247,3,1.415803318014547,True,1.388607924392854e-12,1.1102230246251565e-16,0.00030303571377086506,7.047314121155779e-19,True,2.598970483269625e-10,True,True
13,A,contrast_low,1180,True,False,1.425116678266893,0.7016969313811666,9.632294961647858e-13,1.2622770450236044e-12,0.00037871901642504147,0.0221223499326734,2,1.1708253687913848,True,1.2621707064924825e-12,2.168404344971009e-18,0.00037871901642504147,0.0,True,1.0996675792185329e-11,True,True
13,A,gaussian_noise,13932,True,False,1.4041773166031957,0.7121607707059895,9.993746281911076e-13,1.4011589767684395e-12,0.00019503313700070763,0.008221337923535238,4,1.2845228712446148,True,1.401187542729443e-12,1.1102230246251565e-16,0.0001950331370007075,1.3552527156068805e-19,True,6.768495170806146e-10,True,True
13,A,gaussian_blur,3847,True,False,1.4102884296492402,0.7090748097881757,9.9866642733204e-13,1.4000750632636814e-12,0.00045202632129926276,0.005334564589381172,3,1.1709907606075625,True,1.4000799217900317e-12,5.637851296924623e-18,0.0004520263212992626,1.6263032587282567e-19,True,1.6830196611361536e-10,True,True
13,B,clean,3704,True,False,1.4005181386825971,0.7140214556168861,9.959602587095162e-13,1.3868235830469166e-12,0.000293591864519091,0.011278084239611888,3,1.1572016756610095,True,1.386854606849619e-12,2.211772431870429e-17,0.0002935918645190913,3.2526065174565133e-19,True,1.7232428678459755e-10,True,True
13,B,brightness_dark,5062,True,False,1.3876521528030277,0.7206416953845539,9.980211101989767e-13,1.3793407124355848e-12,0.0003037588736292191,0.0307238975525193,3,1.418149308845302,True,1.379315335992698e-12,1.089623183347932e-17,0.0003037588736292194,3.2526065174565133e-19,True,2.4515903196409283e-10,True,True
13,B,contrast_low,1487,True,False,1.4516688469483408,0.6888623408170349,9.50794998288984e-13,1.2637958749889726e-12,0.0002768373455649779,0.026891612506079726,2,1.2389234424460116,True,1.2637397638765036e-12,1.951563910473908e-18,0.00027683734556497794,5.421010862427522e-20,True,1.031202900847461e-11,True,True
13,B,gaussian_noise,14238,True,False,1.4061102588230854,0.711181782314141,9.98590099499097e-13,1.4020593310853743e-12,0.0001816828860092395,0.00798454460506371,5,1.2594488028845472,True,1.4020794074365295e-12,2.6454533008646308e-17,0.00018168288600923938,1.3552527156068805e-19,True,6.923830415256349e-10,True,True
13,B,gaussian_blur,3787,True,False,1.421168001801042,0.7036465771342325,9.981009074788716e-13,1.4098921770448618e-12,0.00046288441686812123,0.005469331353356407,3,1.1616956361026007,True,1.4099105997283923e-12,1.9434323941802667e-17,0.00046288441686812107,1.6263032587282567e-19,True,1.6531316766876802e-10,True,True
14,A,clean,871,True,False,1.399940847693042,0.7143158953093602,9.902079156631771e-13,1.352194509133205e-12,0.0011707773073508399,0.001436094581006156,3,0.20155889988387737,True,1.3522013370126373e-12,2.5153490401663703e-17,0.0011707773073508395,4.336808689942018e-19,True,3.920685998082263e-11,True,True
14,A,brightness_dark,1044,True,False,1.3948499791246396,0.7169229773567233,9.978684545330907e-13,1.3604403233513596e-12,0.0005932568731052461,0.002166008044534885,3,0.3707448557661024,True,1.3604234926078984e-12,2.2985086056692694e-17,0.0005932568731052455,6.505213034913027e-19,True,4.308253753748659e-11,True,True
14,A,contrast_low,2183,True,False,1.4245241826565564,0.7019887848692938,9.907630271754897e-13,1.3946015722982611e-12,0.0005825536323483213,0.001649234914445941,3,0.5018402423469543,True,1.394561983253384e-12,8.239936510889834e-18,0.0005825536323483203,9.75781955236954e-19,True,8.179756871840027e-11,True,True
14,A,gaussian_noise,1070,True,False,1.4034770702231976,0.7125160939330261,9.924283617124274e-13,1.3648033434604508e-12,0.0018179643428944481,0.0021641715451547745,3,0.2398625431829456,True,1.3648422669820803e-12,2.3418766925686896e-17,0.0018179643428944481,0.0,True,4.8222537074593674e-11,True,True
14,A,gaussian_blur,1040,True,False,1.4102378279884882,0.7091002525626217,9.847678228425139e-13,1.363236275897047e-12,0.0008857171263951815,0.001152274473165541,3,0.09626639851272642,True,1.3630849921009158e-12,1.214306433183765e-17,0.0008857171263951818,3.2526065174565133e-19,True,5.2096549296720696e-11,True,True
14,B,clean,871,True,False,1.399940847693042,0.7143158953093602,9.902079156631771e-13,1.352194509133205e-12,0.0011707773073508399,0.001436094581006156,3,0.20155889988387737,True,1.3522013370126373e-12,2.5153490401663703e-17,0.0011707773073508395,4.336808689942018e-19,True,3.920685998082263e-11,True,True
14,B,brightness_dark,1031,True,False,1.387521422551251,0.7207095931976956,9.882095142188518e-13,1.3397365230458903e-12,0.0006376683124386923,0.0022511313905613436,3,0.387227972016814,True,1.3398245186924118e-12,9.107298248878237e-18,0.000637668312438692,3.2526065174565133e-19,True,4.216460514072651e-11,True,True
14,B,contrast_low,2844,True,False,1.4512467066933887,0.6890627178603302,9.940936962493652e-13,1.4260797654922701e-12,0.000509058324058465,0.002849144022594471,3,0.8180542871418588,True,1.4259524550724878e-12,1.0625181290357943e-17,0.0005090583240584652,2.168404344971009e-19,True,8.514566829376236e-11,True,True
