client,bank,context,salt,label,count,real_regret_exact,repair_regret_exact,regret_reduction_exact,recovery_fraction_exact,recovery_fraction,zero_gap,prevalence_L1_change,DU_change,actual_optimal_agreement,repair_optimal_agreement,enters_optimal_set,repaired_states,best_utility_class
0,B,gaussian_blur,T013-S0,7,17,17786377/825616800,0,17786377/825616800,1,1.0,False,-0.6262538324362228,-0.07686107244555634,0.5,1.0,True,"[2, 1]",True
0,B,gaussian_blur,T013-S1,1,2,18722579/683624400,333194677/15386963200,1310948324669/228671814900480,6554741623345/31313438487184,0.20932679194677814,False,0.2834245953700357,0.024186698980385585,0.5,0.5,False,"[1, 1]",False
0,B,gaussian_blur,T013-S1,6,1,18722579/683624400,37123863301127/571679537251200,-57779601/1538696320,-21467144057535/15656719243592,-1.3711138153238007,False,0.09159829311301604,0.0222936301668146,0.5,0.0,False,"[4, 4]",False
0,B,gaussian_blur,T013-S1,7,17,18722579/683624400,0,18722579/683624400,1,1.0,False,-0.6262538324362228,-0.0769005360643536,0.5,1.0,True,"[1, 2]",True
0,B,gaussian_blur,T013-S2,1,2,353995933/15301906040,8234059/1010279600,5790951811176261/386480087833219600,5790951811176261/8940871739821670,0.6476943165825757,False,0.2834245953700357,0.024295836817919664,0.5,0.5,False,"[1, 1]",True
0,B,gaussian_blur,T013-S2,6,1,353995933/15301906040,9949303220010687/193240043916609800,-3580513/126284950,-5478867350099852/4470435869910835,-1.2255778876007297,False,0.09159829311301604,0.022314370261672045,0.5,0.0,False,"[4, 4]",False
0,B,gaussian_blur,T013-S2,7,17,353995933/15301906040,8234059/1010279600,5790951811176261/386480087833219600,5790951811176261/8940871739821670,0.6476943165825757,False,-0.6262538324362228,-0.07688903743057479,0.5,0.5,False,"[1, 1]",False
0,B,gaussian_blur,T013-S3,1,2,117667391/4970151880,1733557/182891200,322607218955551/22724926037886400,322607218955551/538008258521480,0.5996324663158882,False,0.2834245953700357,0.02432951146027594,0.5,0.5,False,"[1, 1]",True
0,B,gaussian_blur,T013-S3,6,1,117667391/4970151880,120037915703111/2272492603788640,-533079/18289120,-66237089850963/53800825852148,-1.2311537750924408,False,0.09159829311301604,0.022266241662640088,0.5,0.0,False,"[4, 4]",False
0,B,gaussian_blur,T013-S3,7,17,117667391/4970151880,1733557/182891200,322607218955551/22724926037886400,322607218955551/538008258521480,0.5996324663158882,False,-0.6262538324362228,-0.07685232046098701,0.5,0.5,False,"[1, 1]",False
1,A,clean,T013-S0,1,3,0,0,0,,,True,-0.019596371051374212,0.0066093805062212435,1.0,1.0,False,"[1, 1]",True
1,A,clean,T013-S0,7,17,0,0,0,,,True,-0.1431193612714891,-0.014201556676736175,1.0,1.0,False,"[1, 1]",False
1,A,clean,T013-S1,1,3,0,0,0,,,True,-0.019596371051374212,0.006624018753339761,1.0,1.0,False,"[1, 1]",True
1,A,clean,T013-S1,7,17,0,0,0,,,True,-0.1431193612714891,-0.014543773752105619,1.0,1.0,False,"[1, 1]",False
1,A,clean,T013-S2,1,3,0,0,0,,,True,-0.019596371051374212,0.006655308109887955,1.0,1.0,False,"[1, 1]",True
1,A,clean,T013-S2,7,17,0,0,0,,,True,-0.1431193612714891,-0.01442299138097106,1.0,1.0,False,"[1, 1]",False
1,A,clean,T013-S3,1,3,0,0,0,,,True,-0.019596371051374212,0.006608803873108013,1.0,1.0,False,"[1, 1]",True
1,A,clean,T013-S3,7,17,0,0,0,,,True,-0.1431193612714891,-0.014505796395008649,1.0,1.0,False,"[1, 1]",False
1,A,brightness_dark,T013-S0,1,3,0,0,0,,,True,-0.09031218073324626,-0.022534889904571503,1.0,1.0,False,"[1, 1]",True
1,A,brightness_dark,T013-S0,7,17,0,0,0,,,True,-0.17798386284795986,-0.032202537153338415,1.0,1.0,False,"[1, 1]",False
1,A,brightness_dark,T013-S1,1,3,0,0,0,,,True,-0.09031218073324626,-0.022537345363446315,1.0,1.0,False,"[1, 1]",True
1,A,brightness_dark,T013-S1,7,17,0,0,0,,,True,-0.17798386284795986,-0.032203222493149594,1.0,1.0,False,"[1, 1]",False
1,A,brightness_dark,T013-S2,1,3,0,0,0,,,True,-0.09031218073324626,-0.022539991108464677,1.0,1.0,False,"[1, 1]",True
1,A,brightness_dark,T013-S2,7,17,0,0,0,,,True,-0.17798386284795986,-0.03219886418785681,1.0,1.0,False,"[1, 1]",False
1,A,brightness_dark,T013-S3,1,3,0,0,0,,,True,-0.09031218073324626,-0.022549830268430833,1.0,1.0,False,"[1, 1]",True
1,A,brightness_dark,T013-S3,7,17,0,0,0,,,True,-0.17798386284795986,-0.03220573036272099,1.0,1.0,False,"[1, 1]",False
1,A,contrast_low,T013-S0,1,3,0,0,0,,,True,0.04984449999405982,-0.033423051860336214,1.0,1.0,False,"[2, 2]",True
1,A,contrast_low,T013-S0,7,17,0,0,0,,,True,-0.5000295061995312,-0.07910446463597441,1.0,1.0,False,"[2, 2]",False
1,A,contrast_low,T013-S1,1,3,0,0,0,,,True,0.04984449999405982,-0.033423944896180904,1.0,1.0,False,"[2, 2]",True
1,A,contrast_low,T013-S1,7,17,0,0,0,,,True,-0.5000295061995312,-0.07910198671481061,1.0,1.0,False,"[2, 2]",False
1,A,contrast_low,T013-S2,1,3,0,0,0,,,True,0.04984449999405982,-0.03341349395633282,1.0,1.0,False,"[2, 2]",True
1,A,contrast_low,T013-S2,7,17,0,0,0,,,True,-0.5000295061995312,-0.07911341959524665,1.0,1.0,False,"[2, 2]",False
1,A,contrast_low,T013-S3,1,3,0,0,0,,,True,0.04984449999405982,-0.0334187188406606,1.0,1.0,False,"[2, 2]",True
1,A,contrast_low,T013-S3,7,17,0,0,0,,,True,-0.5000295061995312,-0.07916589004296601,1.0,1.0,False,"[2, 2]",False
1,A,gaussian_noise,T013-S0,1,3,0,0,0,,,True,-0.03995706499542839,-0.006769977493654447,1.0,1.0,False,"[1, 1]",True
1,A,gaussian_noise,T013-S0,7,17,0,0,0,,,True,-0.3421658778232326,-0.04617648717625212,1.0,1.0,False,"[1, 1]",False
1,A,gaussian_noise,T013-S1,1,3,0,0,0,,,True,-0.03995706499542839,-0.006744814094022403,1.0,1.0,False,"[1, 1]",True
1,A,gaussian_noise,T013-S1,7,17,0,0,0,,,True,-0.3421658778232326,-0.04613877890088337,1.0,1.0,False,"[1, 1]",False
1,A,gaussian_noise,T013-S2,1,3,0,0,0,,,True,-0.03995706499542839,-0.006769969559891176,1.0,1.0,False,"[1, 1]",True
1,A,gaussian_noise,T013-S2,7,17,0,0,0,,,True,-0.3421658778232326,-0.046161293138757435,1.0,1.0,False,"[1, 1]",False
1,A,gaussian_noise,T013-S3,1,3,0,0,0,,,True,-0.03995706499542839,-0.006764804427424977,1.0,1.0,False,"[1, 1]",True
1,A,gaussian_noise,T013-S3,7,17,0,0,0,,,True,-0.3421658778232326,-0.0461456909769428,1.0,1.0,False,"[1, 1]",False
1,A,gaussian_blur,T013-S0,1,3,0,0,0,,,True,-0.02136081149153196,0.004308239388851873,1.0,1.0,False,"[2, 2]",True
1,A,gaussian_blur,T013-S0,7,17,0,35377/7015920,-35377/7015920,,,True,-0.2113343948195913,-0.022594054432928785,1.0,0.5,False,"[2, 1]",False
1,A,gaussian_blur,T013-S1,1,3,0,0,0,,,True,-0.02136081149153196,0.004333899698467564,1.0,1.0,False,"[2, 2]",True
1,A,gaussian_blur,T013-S1,7,17,0,15049/10181040,-15049/10181040,,,True,-0.2113343948195913,-0.02260389132719404,1.0,0.5,False,"[1, 2]",False
1,A,gaussian_blur,T013-S2,1,3,0,0,0,,,True,-0.02136081149153196,0.004354009285773577,1.0,1.0,False,"[2, 2]",True
1,A,gaussian_blur,T013-S2,7,17,0,0,0,,,True,-0.2113343948195913,-0.02249734394471936,1.0,1.0,False,"[2, 2]",False
1,A,gaussian_blur,T013-S3,1,3,0,0,0,,,True,-0.02136081149153196,0.0043296318414277335,1.0,1.0,False,"[2, 2]",True
1,A,gaussian_blur,T013-S3,7,17,0,0,0,,,True,-0.2113343948195913,-0.022580028310533413,1.0,1.0,False,"[2, 2]",False
1,B,clean,T013-S0,1,3,0,0,0,,,True,-0.019596371051374212,0.007003245255907769,1.0,1.0,False,"[1, 1]",True
1,B,clean,T013-S0,7,17,0,0,0,,,True,-0.1431193612714891,-0.014260122970327135,1.0,1.0,False,"[1, 1]",False
1,B,clean,T013-S1,1,3,0,0,0,,,True,-0.019596371051374212,0.007012323545706831,1.0,1.0,False,"[1, 1]",True
1,B,clean,T013-S1,7,17,0,0,0,,,True,-0.1431193612714891,-0.014273156086076934,1.0,1.0,False,"[1, 1]",False
1,B,clean,T013-S2,1,3,0,0,0,,,True,-0.019596371051374212,0.0070479297798964335,1.0,1.0,False,"[1, 1]",True
1,B,clean,T013-S2,7,17,0,0,0,,,True,-0.1431193612714891,-0.014165062412607964,1.0,1.0,False,"[1, 1]",False
