client,bank,context,salt,valid_positive_P00_gain,P00_gain_contribution_exact,actual_macro_contribution_exact,capture_deficit_actual,capture_deficit_null_median,capture_deficit_null_p95,capture_deficit_percentile,capture_deficit_above_p95
42,A,clean,T013-S1,True,162923/13153953,409749175/342002778,1.0,0.5,8.457930102894288,0.7734375,False
43,A,clean,T013-S1,True,16815/282734,42925/282734,0.0,0.0,0.0,0.984375,False
44,A,clean,T013-S1,True,5/758,137180/1146777,-0.009320905459387484,0.0,4.027962716378163,0.0,False
45,A,clean,T013-S1,True,10/1509,17535/377753,0.0,0.0,0.0,0.984375,False
46,A,clean,T013-S1,True,14/75,4/15,0.0,0.0,0.0,0.984375,False
47,A,clean,T013-S1,False,0,15053882/112948147,,,,,
48,A,clean,T013-S1,True,9345/281242,5680/142883,0.4012841091492777,0.5997690410545055,1.0,0.2109375,False
49,A,clean,T013-S1,True,340/17043,5147/17043,1.0,3.6735294117647057,4.0323529411764705,0.2421875,False
50,A,clean,T013-S1,True,1501/25150,18074813/56662950,0.9890478068504311,0.0,0.9890478068504311,1.0,False
51,A,clean,T013-S1,False,0,0,,,,,
52,A,clean,T013-S1,False,0,83345/1143822,,,,,
53,A,clean,T013-S1,True,811/17342,4051/17342,0.7053020961775586,0.0,0.7053020961775586,0.953125,False
54,A,clean,T013-S1,True,5408098935/73163811682,37182086705/73163811682,0.5492671246160674,0.0,0.5492671246160674,0.984375,False
55,A,clean,T013-S1,True,7615/569258,857787155/859010322,0.0,0.0,0.0,0.9921875,False
56,A,clean,T013-S1,False,0,21293425/189716007,,,,,
57,A,clean,T013-S1,False,-73786/2891629,44247243/144581450,,,,,
58,A,clean,T013-S1,False,0,2/299,,,,,
59,A,clean,T013-S1,True,30040343/4326029175,67749351/221847650,0.0,0.0,1.5448489344812006,0.53125,False
60,A,clean,T013-S1,True,75/379,575/758,0.0,0.0,0.0,0.96875,False
61,A,clean,T013-S1,True,1133/56850,1890/142883,0.6690203000882613,0.0,0.6690203000882613,0.984375,False
62,A,clean,T013-S1,True,527/76350,349012/4822775,1.9316888045540797,0.0,1.9316888045540797,0.9609375,False
63,A,clean,T013-S1,False,0,9429473/18858450,,,,,
64,A,clean,T013-S1,True,852829453/14162695950,598913678/2360449325,0.0,0.0,1.5525020252789041,0.640625,False
65,A,clean,T013-S1,True,19/50,46/75,0.0,0.0,0.0,0.9921875,False
66,A,clean,T013-S1,True,50705/214728267,9492765/288223286,28.733162410018735,28.733162410018735,112.39425354170642,0.7421875,False
67,A,clean,T013-S1,True,3481543087/32754962630,3083634/12522925,0.0,0.0,0.8752626101086461,0.8359375,False
68,A,clean,T013-S1,True,43006/494247,3943/8671,0.0,0.0,1.3074803515788496,0.5078125,False
69,A,clean,T013-S1,True,49551049/497212482,74267266/248606241,0.0,0.0,0.8005099750764106,0.640625,False
70,A,clean,T013-S1,True,3775/142883,853693187/2468018059,0.0,0.0,0.0,0.96875,False
71,A,clean,T013-S1,True,1/56325,1501/56325,0.0,-376.51340482573727,0.0,0.9765625,False
72,A,clean,T013-S1,True,764649/14231450,11076766/21347175,0.3797738134316094,0.0,0.3797738134316093,0.96875,True
73,A,clean,T013-S1,True,656103593/2515717230,78949162/110338475,0.0,0.0,0.9741214293273959,0.90625,False
74,A,clean,T013-S1,False,0,2237298/2891629,,,,,
75,A,clean,T013-S1,True,26263/993738,3198959/6459297,5.815847975654548,1.1283012954756473,5.815847975654548,1.0,False
76,A,clean,T013-S1,False,0,383076289/662030850,,,,,
77,A,clean,T013-S1,True,8820/190637,88340/190637,0.0,0.0,0.0,0.9921875,False
78,A,clean,T013-S1,True,1/6,30037/112650,0.0,0.0,1.04,0.8984375,False
79,A,clean,T013-S1,True,20/1509,26938/451191,0.0,0.0,0.0,0.9609375,False
80,A,clean,T013-S1,False,0,443215/1146777,,,,,
81,A,clean,T013-S1,True,5/754,15/754,0.0,0.0,1.0,0.9296875,False
82,A,clean,T013-S1,True,767/5510,153421/537225,0.0,0.0,0.9047236987263063,0.9140625,False
83,A,clean,T013-S1,True,3653465/32276478,11316710/5379413,0.0,0.0,0.45899317497224634,0.9453125,False
84,A,clean,T013-S1,False,-4950/256027,811870/768081,,,,,
85,A,clean,T013-S1,True,4297/76350,35716/38175,0.0,0.0,1.4845357225971585,0.84375,False
86,A,clean,T013-S1,True,2518/37725,1268027/38404050,1.0,0.0,1.0,1.0,False
87,A,clean,T013-S1,False,-94631/13912275,7455247/27824550,,,,,
88,A,clean,T013-S1,False,0,589167/2891629,,,,,
89,A,clean,T013-S1,True,98925640559/1343841070975,1795084822/10808373225,0.9095582189365361,0.0,0.9095582189365361,0.9765625,False
90,A,clean,T013-S1,True,232224269/3475641975,23498974243/79939765425,0.0,0.0,0.8053894035510991,0.8671875,False
91,A,clean,T013-S1,True,275/42978,1010/21489,-0.03636363636363636,1.018181818181818,3.1454545454545455,0.1875,False
92,A,clean,T013-S1,True,6022/224549,279122/556491,-0.5011624045167719,0.0,1.0,0.0,False
93,A,clean,T013-S1,False,-3348/42268733,3374931/42268733,,,,,
94,A,clean,T013-S1,True,27799/44850,517559/451191,0.0,0.0,0.0,0.96875,False
95,A,clean,T013-S1,True,102697/7609550,946071/5666050,0.0,0.0,0.6443226189664657,0.9453125,False
96,A,clean,T013-S1,True,60769/8674887,268/5681,2.8697033026707697,1.0,2.8697033026707697,1.0,False
97,A,clean,T013-S1,True,40/1509,670/1509,0.0,0.0,0.6499999999999915,0.9453125,False
98,A,clean,T013-S1,True,5099/76350,1726440662/10808373225,0.0,0.0,0.10211811438556373,0.9375,False
99,A,clean,T013-S1,True,488682650903/3493510782450,3479208297369/12733593649075,0.0,0.0,0.8579331780456834,0.7109375,False
0,A,clean,T013-S2,True,2628625/26481234,497327/1151358,0.4650602501307718,0.0,1.043667107327975,0.859375,False
1,A,clean,T013-S2,True,4129/28275,62191/260130,0.0,0.0,0.9549843629892489,0.78125,False
2,A,clean,T013-S2,True,5/377,865/42978,0.5,1.5087719298245614,1.5175438596491229,0.3515625,False
3,A,clean,T013-S2,True,95/758,125/379,0.0,0.0,0.0,0.984375,False
4,A,clean,T013-S2,True,2128/18775,3129/18775,0.0,0.0,0.9411810776942355,0.9140625,False
5,A,clean,T013-S2,True,409752/4765925,9287329/28595550,0.9153784891023513,0.0,0.9153784891023513,0.9921875,False
6,A,clean,T013-S2,False,0,39085745/47649017,,,,,
7,A,clean,T013-S2,True,113/17043,1642/5681,-1.0884955752212389,-1.088495575221239,3.0088495575221237,0.546875,False
8,A,clean,T013-S2,True,20083/56850,2037701/3399630,0.0,0.0,0.0,0.953125,False
9,A,clean,T013-S2,True,39384554/371179497,12216575/32276478,0.0,0.0,0.8747570557736923,0.7890625,False
10,A,clean,T013-S2,True,106422718/3197590617,1490387371/6395181234,1.9920382976875295,0.0,4.383257022245946,0.8359375,False
11,A,clean,T013-S2,True,22565/1133259,903335/1133259,0.0,0.0,0.0,0.9921875,False
