method,context,lr,steps,n,accuracy,accuracy_sd,gain_pp,support_loss_before,support_loss_after,query_loss_before,query_loss_after,worst_class_accuracy,gamma_norm,beta_norm
bn,shuffled,0.0,0,5,45.19999980926514,0.37267757419769854,3.5666680335998535,4.783578300476075,8.05237798690796,2.0441701412200928,2.711888313293457,17.222222983837128,0.0,0.0
prior,shuffled,0.0,0,5,41.23333394527435,0.0,-0.3999978303909302,4.783578300476075,4.7752961158752445,2.0441701412200928,2.0500497817993164,17.85714328289032,0.0,0.0
affine,shuffled,0.001,1,5,41.69999957084656,0.0,0.06666779518127441,4.783578300476075,4.780800437927246,2.0441701412200928,2.043313980102539,18.65079402923584,0.0010790893575176597,0.0012549252482131124
affine,shuffled,0.001,3,5,41.66666567325592,0.03333389759063721,0.03333389759063721,4.783578300476075,4.775256252288818,2.0441701412200928,2.041615438461304,18.65079402923584,0.0032353839371353386,0.0037620543502271176
affine,shuffled,0.001,5,5,41.679999232292175,0.03800649085561591,0.04666745662689209,4.783578300476075,4.769729995727539,2.0441701412200928,2.0399351119995117,18.571428954601288,0.00538796903565526,0.006266249995678663
affine,shuffled,0.001,10,5,41.6266655921936,0.07601174014039908,-0.0066661834716796875,4.783578300476075,4.756023788452149,2.0441701412200928,2.0358017444610597,18.412698805332184,0.010750062949955463,0.01249761413782835
affine,shuffled,0.01,1,5,41.63333237171173,0.08164982356234705,5.960464477539062e-07,4.783578300476075,4.755921745300293,2.0441701412200928,2.0357728004455566,18.412698805332184,0.010790892317891121,0.01254925150424242
affine,shuffled,0.01,3,5,41.679999232292175,0.12823612780215016,0.04666745662689209,4.783578300476075,4.702280807495117,2.0441701412200928,2.020140838623047,17.698413133621216,0.032092480733990666,0.03721355125308037
affine,shuffled,0.01,5,5,41.81333243846893,0.21029053725751626,0.1800006628036499,4.783578300476075,4.650138187408447,2.0441701412200928,2.005910038948059,17.619048058986664,0.053073567897081377,0.061474011093378064
affine,shuffled,0.01,10,5,42.00666606426239,0.1706203153753052,0.37333428859710693,4.783578300476075,4.525326919555664,2.0441701412200928,1.9747944355010987,16.90476268529892,0.104243965446949,0.12085670828819275
affine,shuffled,0.1,1,5,42.0199990272522,0.19804572619054467,0.38666725158691406,4.783578300476075,4.5187712669372555,2.0441701412200928,1.9753980398178101,16.507937014102936,0.10790892988443375,0.12549251914024354
affine,shuffled,0.1,3,5,42.44666635990143,0.4604347337093709,0.813334584236145,4.783578300476075,4.041871976852417,2.0441701412200928,1.8927630186080933,15.87301641702652,0.30243279933929446,0.35806630849838256
affine,shuffled,0.1,5,5,40.84666609764099,1.7853724019645865,-0.786665678024292,4.783578300476075,3.5542087078094484,2.0441701412200928,1.863663911819458,13.514124155044556,0.4773333430290222,0.6067296266555786
affine,shuffled,0.1,10,5,34.519999623298645,2.2199341575829528,-7.113332152366638,4.783578300476075,2.690088224411011,2.0441701412200928,1.9655710220336915,4.519774056971073,0.7789011478424073,1.1804554462432861
bn,noise,0.0,0,5,23.166666328907013,0.047140459806466986,-18.46666544675827,7.036696815490723,7.012856960296631,2.0441701412200928,7.289331912994385,0.0,0.0,0.0
prior,noise,0.0,0,5,41.23333394527435,0.0,-0.3999978303909302,7.036696815490723,7.058849143981933,2.0441701412200928,2.0500497817993164,17.85714328289032,0.0,0.0
affine,noise,0.001,1,5,41.600000858306885,0.0,-0.03333091735839844,7.036696815490723,7.014063739776612,2.0441701412200928,2.0431554317474365,18.65079402923584,0.004439214197918773,0.0016872936859726906
affine,noise,0.001,3,5,41.606667041778564,0.014906039393161326,-0.02666473388671875,7.036696815490723,6.969581031799317,2.0441701412200928,2.0411839485168457,19.04762089252472,0.013244731537997722,0.0050223484635353085
affine,noise,0.001,5,5,41.526665687561035,0.0641177927655327,-0.10666608810424805,7.036696815490723,6.925926971435547,2.0441701412200928,2.0392807960510253,19.04762089252472,0.0219739343971014,0.0083102285861969
affine,noise,0.001,10,5,41.49333357810974,0.06831285271273826,-0.139998197555542,7.036696815490723,6.820426177978516,2.0441701412200928,2.0347244262695314,19.365081191062927,0.04344628900289536,0.01634997148066759
affine,noise,0.01,1,5,41.46000027656555,0.0862813880863509,-0.17333149909973145,7.036696815490723,6.815659713745117,2.0441701412200928,2.034690999984741,19.365081191062927,0.04439213797450066,0.016872935555875303
affine,noise,0.01,3,5,41.28666579723358,0.20083121997960038,-0.34666597843170166,7.036696815490723,6.436655044555664,2.0441701412200928,2.019398307800293,19.44444477558136,0.12688462436199188,0.0471869133412838
affine,noise,0.01,5,5,41.15999937057495,0.1689838125558325,-0.47333240509033203,7.036696815490723,6.12571907043457,2.0441701412200928,2.006618070602417,19.44444477558136,0.20139735341072082,0.0736663319170475
affine,noise,0.01,10,5,41.0999995470047,0.25055531524432884,-0.5333322286605835,7.036696815490723,5.492751884460449,2.0441701412200928,1.9775041103363038,19.222222566604614,0.36836878061294553,0.1321238785982132
affine,noise,0.1,1,5,40.4666668176651,0.3711848869633909,-1.166664958000183,7.036696815490723,5.321397399902343,2.0441701412200928,2.011156129837036,18.555555939674377,0.4439213931560516,0.16872936487197876
affine,noise,0.1,3,5,41.03333294391632,0.3519792009651664,-0.5999988317489624,7.036696815490723,3.8502329349517823,2.0441701412200928,1.8760120153427124,17.853107452392578,0.9286505222320557,0.3534200191497803
affine,noise,0.1,5,5,41.43999934196472,0.43037502446364484,-0.19333243370056152,7.036696815490723,3.1546318531036377,2.0441701412200928,1.8133411884307862,17.853107452392578,1.2367603302001953,0.5368222594261169
affine,noise,0.1,10,5,40.833333134651184,0.5201491887812185,-0.7999986410140991,7.036696815490723,2.607304000854492,2.0441701412200928,1.793636679649353,13.129943311214447,1.6281030893325805,0.8169906973838806
full,correct,0.001,1,5,42.54000008106232,0.10645843854477702,0.9066683053970337,2.467725896835327,2.3648598194122314,2.0441701412200928,1.9984477519989015,19.523811042308807,0.0,0.0
full,correct,0.001,3,5,42.839999198913574,0.2100260591372094,1.206667423248291,2.467725896835327,2.2327573776245115,2.0441701412200928,1.9515278816223145,20.952382683753967,0.0,0.0
full,correct,0.001,5,5,42.85333335399628,0.3905840655777545,1.2200015783309937,2.467725896835327,2.1449708461761476,2.0441701412200928,1.9241068840026856,22.063493728637695,0.0,0.0
full,correct,0.001,10,5,42.91333258152008,0.6727219954113627,1.2800008058547974,2.467725896835327,2.004299211502075,2.0441701412200928,1.8822815656661986,24.52381134033203,0.0,0.0
