salt,bank,target1,target2,orientation,same_valid,same_mean,same_median,control_mean,control_min,control_max
T013-S2,A,clean,gaussian_blur,0,97,0.4971513320344247,0.6488856845230502,0.037366300956471615,-0.03956239704644611,0.08844569488011096
T013-S2,A,clean,gaussian_blur,1,96,0.5074645022022072,0.6668859288553503,0.019019707754725675,-0.03710127525897606,0.09282493941641147
T013-S2,A,brightness_dark,contrast_low,0,91,0.4269039455825228,0.5642880936468347,0.0924952016952424,0.015539011056158018,0.21316001244598293
T013-S2,A,brightness_dark,contrast_low,1,91,0.47987677099224063,0.7,0.14139734632499107,0.058180084796189156,0.20633540699351166
T013-S2,A,brightness_dark,gaussian_noise,0,90,0.15680273282027837,0.19576733427100665,-0.03233194416288075,-0.08733729939558961,0.02012648659551666
T013-S2,A,brightness_dark,gaussian_noise,1,94,0.15111967662173534,0.2397078669352809,-0.011237262030856792,-0.06458833803530177,0.05539949986770891
T013-S2,A,brightness_dark,gaussian_blur,0,92,0.3981513385286231,0.5498775324054113,0.017695281119101867,-0.052358028073706486,0.12986158937799194
T013-S2,A,brightness_dark,gaussian_blur,1,94,0.3952748211006468,0.5131578947368421,0.06493550142578702,-0.08243944542048251,0.1813714443331981
T013-S2,A,contrast_low,gaussian_noise,0,91,-0.0190589521698284,0.05129891760425771,-0.1836698190751062,-0.2499682408022152,-0.06902793242358621
T013-S2,A,contrast_low,gaussian_noise,1,94,0.0061403805307361494,0.025649458802128853,-0.2251891839511988,-0.2837207972407292,-0.15164342842787926
T013-S2,A,contrast_low,gaussian_blur,0,93,0.38194902059070546,0.5407380704358752,-0.02011237580247887,-0.09166628526712853,0.036340017455918916
T013-S2,A,contrast_low,gaussian_blur,1,96,0.4235366586117764,0.6668859288553501,-0.024607236823449643,-0.11023025688135459,0.06789811321107334
T013-S2,A,gaussian_noise,gaussian_blur,0,95,0.38498550834292966,0.49999999999999994,0.03769512492391246,-0.01796301363956797,0.10043686273812868
T013-S2,A,gaussian_noise,gaussian_blur,1,94,0.38999617156777333,0.45302253162054074,0.030667545616097216,-0.07620247398675405,0.09497285444799687
T013-S2,B,clean,brightness_dark,0,95,0.28446785435085503,0.39999999999999997,0.019740907023345453,-0.06531510485510426,0.09094662012801644
T013-S2,B,clean,brightness_dark,1,91,0.24855881441353317,0.3,0.021729189119788606,-0.026068980428717952,0.07344183673580265
T013-S2,B,clean,contrast_low,0,96,0.1386991628907589,0.22651126581027037,-0.1975458450890128,-0.294548843854238,-0.1361932453338214
T013-S2,B,clean,contrast_low,1,93,0.13388041799918887,0.22360679774997896,-0.15737148127598682,-0.2737507523200161,-0.0643570382289819
T013-S2,B,clean,gaussian_noise,0,95,0.70109702564253,0.8720815992723809,0.32412407070678223,0.2864942466614285,0.39689754253417636
T013-S2,B,clean,gaussian_noise,1,94,0.6951264760816948,0.8661953006434937,0.3172633819428773,0.27063375362087116,0.4043168387819757
T013-S2,B,clean,gaussian_blur,0,97,0.5047098301413052,0.6668859288553503,0.0573262084982294,-0.032425843910392216,0.128365750667327
T013-S2,B,clean,gaussian_blur,1,96,0.5553511408549945,0.7,0.08306347106523686,0.009165557293306408,0.15158965950706907
T013-S2,B,brightness_dark,contrast_low,0,91,0.41680710234356655,0.6,0.04818899396124281,-0.0352219270796423,0.1587116645870187
T013-S2,B,brightness_dark,contrast_low,1,92,0.47965568472762005,0.6668859288553503,0.10735485041392387,0.024821913377579777,0.1803758347331608
T013-S2,B,brightness_dark,gaussian_noise,0,91,0.1674829352425969,0.19999999999999998,0.017287691960298834,-0.026669735314783238,0.052019910981674675
T013-S2,B,brightness_dark,gaussian_noise,1,94,0.18712250362702423,0.2567615691736824,0.011438796889591311,-0.01076333102185059,0.06378868153508804
T013-S2,B,brightness_dark,gaussian_blur,0,92,0.3650043923600851,0.39999999999999997,0.031060242482030678,-0.03601775269901949,0.13890162011313342
T013-S2,B,brightness_dark,gaussian_blur,1,95,0.3946910213329839,0.49999999999999994,0.05124007323653,-0.04963525798454748,0.1608650102195407
T013-S2,B,contrast_low,gaussian_noise,0,91,0.007612209284195671,0.05129891760425771,-0.17403124658293917,-0.24694158340311217,-0.05720896093133069
T013-S2,B,contrast_low,gaussian_noise,1,94,0.03372317765362839,0.051965248275813065,-0.19355111418759668,-0.2435863497922153,-0.1363158751458301
T013-S2,B,contrast_low,gaussian_blur,0,93,0.3678017381661004,0.46169025843831935,-0.034635809492605356,-0.09901058318202202,0.023485371497531958
T013-S2,B,contrast_low,gaussian_blur,1,96,0.4047320992583325,0.5867696673382021,-0.059152279544246844,-0.14650801718643455,0.026895348230619197
T013-S2,B,gaussian_noise,gaussian_blur,0,95,0.40918466899894007,0.49999999999999994,0.060427233622304274,-0.002737665444247027,0.11257023393135102
