salt,client,half,n,normalized_entropy,max_class_fraction,represented_classes,halves_histogram_L1,halves_histogram_JS
T013-S0,66,0,97,0.19021040689524632,0.8969072164948454,4,0.08247422680412378,0.0053525734505381894
T013-S0,66,1,97,0.2543047323845536,0.8556701030927835,5,0.08247422680412378,0.0053525734505381894
T013-S0,67,0,41,0.5137056519449076,0.5609756097560976,5,0.2926829268292683,0.04141022067093125
T013-S0,67,1,41,0.5025278151076683,0.6097560975609756,5,0.2926829268292683,0.04141022067093125
T013-S0,68,0,115,0.4054304248797328,0.6347826086956522,4,0.28665141113653697,0.016151853863130228
T013-S0,68,1,114,0.48706158543066613,0.5,5,0.28665141113653697,0.016151853863130228
T013-S0,69,0,71,0.2577885973531451,0.8309859154929577,4,0.056338028169014065,0.0044239385058021385
T013-S0,69,1,71,0.28031514761945747,0.8169014084507042,4,0.056338028169014065,0.0044239385058021385
T013-S0,70,0,39,0.25393899705310813,0.7948717948717948,3,0.2199730094466936,0.023166760987114787
T013-S0,70,1,38,0.2996040799775297,0.7105263157894737,3,0.2199730094466936,0.023166760987114787
T013-S0,71,0,18,0.18494363163137295,0.8888888888888888,3,0.22222222222222215,0.016387896698565774
T013-S0,71,1,18,0.2843193793447327,0.7777777777777778,3,0.22222222222222215,0.016387896698565774
T013-S0,72,0,81,0.5222862270419115,0.48148148148148145,5,0.14475308641975312,0.007806413062366513
T013-S0,72,1,80,0.47573719575832074,0.525,4,0.14475308641975312,0.007806413062366513
T013-S0,73,0,114,0.49344333754215575,0.4473684210526316,5,0.2631578947368421,0.011877418630747316
T013-S0,73,1,114,0.47942347404602087,0.4473684210526316,4,0.2631578947368421,0.011877418630747316
T013-S0,74,0,82,0.14885647717169764,0.9146341463414634,3,0.024390243902439032,0.00035964462284276966
T013-S0,74,1,82,0.13390979177420503,0.926829268292683,3,0.024390243902439032,0.00035964462284276966
T013-S0,75,0,100,0.41172257087099057,0.47,3,0.15999999999999995,0.00723366831091965
T013-S0,75,1,100,0.4514622505831018,0.42,3,0.15999999999999995,0.00723366831091965
T013-S0,76,0,84,0.40459483910781013,0.5952380952380952,4,0.20252438324727484,0.0061904943299542214
T013-S0,76,1,83,0.4504865826912605,0.4939759036144578,4,0.20252438324727484,0.0061904943299542214
T013-S0,77,0,86,0.29997217321483627,0.5348837209302325,2,0.06976744186046507,0.0006093026496203358
T013-S0,77,1,86,0.30102999566398114,0.5,2,0.06976744186046507,0.0006093026496203358
T013-S0,78,0,49,0.31071411071914407,0.7142857142857143,3,0.16326530612244894,0.005490649245324275
T013-S0,78,1,49,0.3700686315862762,0.6326530612244898,3,0.16326530612244894,0.005490649245324275
T013-S0,79,0,9,0.2300484792806848,0.7777777777777778,2,0.2222222222222222,0.047947012075296724
T013-S0,79,1,9,0.29694403387268065,0.7777777777777778,3,0.2222222222222222,0.047947012075296724
T013-S0,80,0,40,0.25004785166954263,0.8,3,0.1499999999999999,0.028182264095824916
T013-S0,80,1,40,0.2468632406035038,0.825,3,0.1499999999999999,0.028182264095824916
T013-S0,81,0,9,-0.0,1.0,1,0.25,0.04540657807824092
