client,bank,context,max_error,objective,iterations
24,B,gaussian_noise,8.779459572510811e-16,5.422696499665311e-33,1
24,B,gaussian_blur,7.369432298514284e-16,4.1142678436972326e-32,1
25,A,clean,5.551115123125783e-16,3.659266894335748e-33,1
25,A,brightness_dark,9.43689570931383e-16,1.1579653790628256e-31,1
25,A,contrast_low,7.216449660063518e-16,2.6048202497837365e-32,1
25,A,gaussian_noise,5.551115123125783e-16,2.42245875817457e-32,1
25,A,gaussian_blur,1.3322676295501878e-15,2.91056162845521e-32,1
25,B,clean,5.551115123125783e-16,3.659266894335748e-33,1
25,B,brightness_dark,1.6653345369377348e-15,8.042262150585762e-33,1
25,B,contrast_low,7.494005416219807e-16,3.057564249991642e-32,1
25,B,gaussian_noise,1.3322676295501878e-15,3.171765877162729e-32,1
25,B,gaussian_blur,3.885780586188048e-16,2.4031994587306977e-32,1
26,A,clean,1.8110513089197866e-15,3.705760046899471e-32,1
26,A,brightness_dark,7.632783294297951e-17,6.142663279656946e-34,1
26,A,contrast_low,1.695254412968551e-15,1.6816151985123316e-32,1
26,A,gaussian_noise,1.0412012236595151e-15,2.8696356171369814e-32,1
26,A,gaussian_blur,8.396061623727746e-16,8.437980568846577e-33,1
26,B,clean,1.8110513089197866e-15,3.705760046899471e-32,1
26,B,brightness_dark,4.718447854656915e-16,4.463116951202061e-33,1
26,B,contrast_low,1.5193861666172869e-15,1.7415823375229201e-31,1
26,B,gaussian_noise,1.7694179454963432e-15,2.6898320012352043e-32,1
26,B,gaussian_blur,1.0017536870510962e-15,3.8963970187384265e-32,1
27,A,clean,4.440892098500626e-16,2.5771726226523963e-32,1
27,A,brightness_dark,1.2212453270876722e-15,1.862946016674697e-31,1
27,A,contrast_low,1.4432899320127035e-15,1.1606285790640485e-31,1
27,A,gaussian_noise,1.5543122344752192e-15,3.2756758161934966e-31,1
27,A,gaussian_blur,3.3306690738754696e-16,2.643940701779102e-32,1
27,B,clean,4.440892098500626e-16,2.5771726226523963e-32,1
27,B,brightness_dark,8.637372604890587e-16,7.01301810491538e-32,1
