client,bank,context,iterations,updates,trace,converged,cap_hit,direct_KKT,objective,initial_objective,active_classes,clipped_coordinates,L1_change,differs_from_BBSE,reference_KKT,reference_objective,prevalence_error,objective_error,old_PGD_cap,old_PGD_iterations,old_PGD_prevalence_error,reference_agreement
3,A,brightness_dark,2,2,"[{'active': [0, 4], 'minimum': -0.09593479376632807, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 8}, {'active': [0, 8], 'minimum': 0.07819565377079563, 'action': 'accept'}]",True,False,3.469446951953614e-18,0.0012488618010332542,0.0022354950332949697,2,0,0.15639130754159136,True,1.734723475976807e-18,0.001248861801033254,5.551115123125783e-16,2.168404344971009e-19,False,2107,1.0455070142967315e-10,True
3,A,contrast_low,3,3,"[{'active': [0, 4], 'minimum': -0.2038530369195004, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 1}, {'active': [0, 1], 'minimum': 0.1324221590340877, 'action': 'add', 'coordinate': 8}, {'active': [0, 1, 8], 'minimum': 0.07638756817568693, 'action': 'accept'}]",True,False,1.5543122344752192e-15,0.0018154849353222019,0.016330184359204306,3,0,1.005588009251066,True,2.949029909160572e-17,0.0018154849353221912,1.4432899320127035e-15,1.0625181290357943e-17,False,3466,1.6110907052890866e-10,True
3,A,gaussian_noise,2,2,"[{'active': [0, 4], 'minimum': -0.05933599406424106, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 1}, {'active': [0, 1], 'minimum': 0.037183434457492524, 'action': 'accept'}]",True,False,0.0,0.0010667850587098447,0.0015474136620069747,2,0,0.07436686891498498,True,8.673617379884035e-19,0.0010667850587098447,2.0816681711721685e-17,0.0,False,400,1.8057888517830634e-11,True
3,A,gaussian_blur,2,2,"[{'active': [0, 4], 'minimum': -0.09453702645054907, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 1}, {'active': [0, 1], 'minimum': 0.09514677963958204, 'action': 'accept'}]",True,False,1.5612511283791264e-17,0.0012068372108653168,0.002579692251936324,2,0,0.1902935592791641,True,2.0816681711721685e-17,0.0012068372108653164,1.1102230246251565e-16,4.336808689942018e-19,False,416,1.7859047574120268e-11,True
3,B,clean,0,0,"[{'active': [0, 1], 'minimum': 0.036947599343639656, 'action': 'accept'}]",True,False,2.949029909160572e-17,0.0012454556225911387,0.0013121878419906574,2,0,0.05548796514756198,True,2.7755575615628914e-17,0.0012454556225911385,1.1102230246251565e-16,2.168404344971009e-19,False,334,1.4768311573654103e-11,True
3,B,brightness_dark,2,2,"[{'active': [0, 4], 'minimum': -0.09765470691964329, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 8}, {'active': [0, 8], 'minimum': 0.08508217919566363, 'action': 'accept'}]",True,False,1.214306433183765e-17,0.0012511644917237513,0.0023717283284796662,2,0,0.17016435839132726,True,6.938893903907228e-18,0.0012511644917237537,3.885780586188048e-16,2.3852447794681098e-18,False,2058,1.0134550143536813e-10,True
3,B,contrast_low,3,3,"[{'active': [0, 4], 'minimum': -0.21976974832698315, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 1}, {'active': [0, 1], 'minimum': 0.15088941055015193, 'action': 'add', 'coordinate': 8}, {'active': [0, 1, 8], 'minimum': 0.08190710319638539, 'action': 'accept'}]",True,False,8.881784197001252e-16,0.0016580289358103465,0.018914651745961415,3,0,1.167329357506504,True,1.5612511283791264e-17,0.0016580289358103517,8.881784197001252e-16,5.204170427930421e-18,False,3945,1.8286205882844797e-10,True
3,B,gaussian_noise,2,2,"[{'active': [0, 4], 'minimum': -0.06361937288745967, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 1}, {'active': [0, 1], 'minimum': 0.038749642784662565, 'action': 'accept'}]",True,False,1.1102230246251565e-16,0.0010792557251520806,0.0016165531400456744,2,0,0.07749928556932525,True,1.9081958235744878e-17,0.0010792557251520808,2.220446049250313e-16,2.168404344971009e-19,False,410,1.919528425098349e-11,True
3,B,gaussian_blur,2,2,"[{'active': [0, 4], 'minimum': -0.09259256009146255, 'action': 'remove', 'coordinate': 4}, {'active': [0], 'minimum': 1.0, 'action': 'add', 'coordinate': 1}, {'active': [0, 1], 'minimum': 0.09240648294684739, 'action': 'accept'}]",True,False,2.0816681711721685e-17,0.0011967793071478974,0.002539304483501177,2,0,0.18481296589369467,True,0.0,0.0011967793071478976,1.249000902703301e-16,2.168404344971009e-19,False,409,1.766931045921183e-11,True
4,A,clean,3,3,"[{'active': [9], 'minimum': 1.0, 'action': 'add', 'coordinate': 5}, {'active': [5, 9], 'minimum': 0.3526801789204562, 'action': 'add', 'coordinate': 8}, {'active': [5, 8, 9], 'minimum': 0.1735694990886789, 'action': 'add', 'coordinate': 7}, {'active': [5, 7, 8, 9], 'minimum': 0.15288632821732495, 'action': 'accept'}]",True,False,8.881784197001252e-16,0.0013778670351558006,0.05603194750175027,4,0,1.6293307345038464,True,1.3010426069826053e-17,0.0013778670351558052,3.3861802251067274e-15,4.553649124439119e-18,False,3691,1.784566106000085e-10,True
