salt,bank,target,policy,zero,accuracy,gain_pp,capture_vs_P00,capture_vs_T014_class_context
T013-S1,B,gaussian_noise,zero_hard,30.67664385146025,32.59599729163483,1.9193534401745835,0.2782631072011056,0.2737756082888112
T013-S1,B,gaussian_noise,uniform,30.67664385146025,32.40677112345036,1.7301272719901184,0.25082956608218643,0.2467844829366454
T013-S1,B,gaussian_blur,P00,30.901579176174376,39.85306844360787,8.951489267433493,1.0,0.9956968656507457
T013-S1,B,gaussian_blur,P01,30.901579176174376,34.11592404547969,3.2143448693053114,0.35908492690701793,0.35753973622374485
T013-S1,B,gaussian_blur,P10,30.901579176174376,39.85306844360787,8.951489267433493,1.0,0.9956968656507457
T013-S1,B,gaussian_blur,P11,30.901579176174376,32.66213415749613,1.7605549813217558,0.1966773269479135,0.19583099798660442
T013-S1,B,gaussian_blur,zero_soft,30.901579176174376,33.066818709106684,2.165239532932308,0.24188595531356874,0.24084508755065673
T013-S1,B,gaussian_blur,zero_hard,30.901579176174376,33.93046594756012,3.028886771385748,0.33836679918783713,0.3369107613916047
T013-S1,B,gaussian_blur,uniform,30.901579176174376,31.71666431644708,0.8150851402727047,0.09105581383402586,0.09066398843381736
T013-S2,A,clean,P00,34.13868991976854,40.29823385122877,6.159543931460231,1.0,0.9822309167872634
T013-S2,A,clean,P01,34.13868991976854,36.201220335562375,2.0625304157938347,0.33485115760914375,0.3289011595257057
T013-S2,A,clean,P10,34.13868991976854,40.1614370662707,6.022747146502164,0.977791085430957,0.9604166342692624
T013-S2,A,clean,P11,34.13868991976854,35.357370358992064,1.218680439223528,0.19785238205689976,0.19433672661629253
T013-S2,A,clean,zero_soft,34.13868991976854,35.52989155618546,1.391201636416921,0.2258611436004665,0.22184779814530597
T013-S2,A,clean,zero_hard,34.13868991976854,35.72627268443967,1.587582764671132,0.25774355736996374,0.2531636906515101
T013-S2,A,clean,uniform,34.13868991976854,34.32098622560271,0.18229630583417034,0.029595747325233172,0.02906985802826798
T013-S2,A,brightness_dark,P00,17.54602645421106,35.47784430706145,17.93181785285039,1.0,1.0001831616726689
T013-S2,A,brightness_dark,P01,17.54602645421106,32.296535703287994,14.75050924907693,0.8225886170671889,0.8227392837742094
T013-S2,A,brightness_dark,P10,17.54602645421106,35.47784430706145,17.93181785285039,1.0,1.0001831616726689
T013-S2,A,brightness_dark,P11,17.54602645421106,32.296535703287994,14.75050924907693,0.8225886170671889,0.8227392837742094
T013-S2,A,brightness_dark,zero_soft,17.54602645421106,30.43421293820736,12.8881864839963,0.7187328462600701,0.7188644905703931
T013-S2,A,brightness_dark,zero_hard,17.54602645421106,22.312081315227672,4.766054861016611,0.2657876016880805,0.2658362837897804
T013-S2,A,brightness_dark,uniform,17.54602645421106,32.296535703287994,14.75050924907693,0.8225886170671889,0.8227392837742094
T013-S2,A,contrast_low,P00,19.95526398771052,33.560956770536656,13.605692782826138,1.0,0.9846933307423936
T013-S2,A,contrast_low,P01,19.95526398771052,28.561473420506015,8.606209432795497,0.632544742128731,0.6228625889703286
T013-S2,A,contrast_low,P10,19.95526398771052,33.560956770536656,13.605692782826138,1.0,0.9846933307423936
T013-S2,A,contrast_low,P11,19.95526398771052,28.561473420506015,8.606209432795497,0.632544742128731,0.6228625889703286
T013-S2,A,contrast_low,zero_soft,19.95526398771052,28.073049031840807,8.117785044130285,0.5966462107961901,0.5875135445837287
T013-S2,A,contrast_low,zero_hard,19.95526398771052,23.189116042199977,3.2338520544894567,0.23768374798021344,0.23404560146197206
T013-S2,A,contrast_low,uniform,19.95526398771052,28.561473420506015,8.606209432795497,0.632544742128731,0.6228625889703286
T013-S2,A,gaussian_noise,P00,30.67664385146025,37.51092142377216,6.8342775723119145,1.0,0.9892692589550682
T013-S2,A,gaussian_noise,P01,30.67664385146025,33.02757394612326,2.3509300946630187,0.34399101730773585,0.34029973877922387
T013-S2,A,gaussian_noise,P10,30.67664385146025,37.51092142377216,6.8342775723119145,1.0,0.9892692589550682
T013-S2,A,gaussian_noise,P11,30.67664385146025,33.02757394612326,2.3509300946630187,0.34399101730773585,0.34029973877922387
T013-S2,A,gaussian_noise,zero_soft,30.67664385146025,32.888528017070634,2.211884165610386,0.3236456439187536,0.3201726863235413
T013-S2,A,gaussian_noise,zero_hard,30.67664385146025,32.80100652919445,2.124362677734203,0.3108393908875973,0.3075038538774182
T013-S2,A,gaussian_noise,uniform,30.67664385146025,32.499557590179315,1.8229137387190708,0.2667310069617807,0.26386878559741994
T013-S2,A,gaussian_blur,P00,30.901579176174376,39.97721179808982,9.07563262191544,1.0,0.9933681565962087
T013-S2,A,gaussian_blur,P01,30.901579176174376,34.03587063389056,3.134291457716182,0.34535239451491595,0.34306207151536866
T013-S2,A,gaussian_blur,P10,30.901579176174376,39.97721179808982,9.07563262191544,1.0,0.9933681565962087
T013-S2,A,gaussian_blur,P11,30.901579176174376,32.17717725840336,1.2755980822289854,0.14055197421155272,0.139619855528488
T013-S2,A,gaussian_blur,zero_soft,30.901579176174376,33.32466646022182,2.423087284047444,0.2669882513970739,0.2652176271231564
T013-S2,A,gaussian_blur,zero_hard,30.901579176174376,33.8494682336512,2.9478890574768273,0.3248136168886336,0.3226595038460091
T013-S2,A,gaussian_blur,uniform,30.901579176174376,31.263384887993965,0.3618057118195894,0.03986561894825016,0.03960123640619014
T013-S2,B,clean,P00,34.13868991976854,40.24125654614955,6.102566626381009,1.0,0.9928766690504502
T013-S2,B,clean,P01,34.13868991976854,36.00231582822951,1.8636259084609723,0.3053839511402687,0.30320860018961543
T013-S2,B,clean,P10,34.13868991976854,40.065013405952186,5.926323486183648,0.9711198335081712,0.964202225542421
