bank,target,estimator,stratum,n,L1_mean,L1_median,JS_mean,JS_median,top_class_agreement,top_class_in_true_argmax,spearman_mean,spearman_median,spearman_valid
A,brightness_dark,pi_oracle_state_soft,all,100,1.3102288398129815,1.3031007279830151,0.34127296168195925,0.3272405535155867,0.29,0.29,0.23798756090498707,0.30707458353037853,100
A,brightness_dark,pi_oracle_state_soft,quartile_1,25,1.4455322285773413,1.5348260662972586,0.3857866565072035,0.41101902378571387,0.48,0.48,0.29060692208008043,0.354649519006916,25
A,brightness_dark,pi_oracle_state_soft,quartile_2,25,1.4673935373111926,1.4661682784899193,0.3967749379836432,0.3988069193815069,0.12,0.12,0.22596107672714943,0.3027495893961478,25
A,brightness_dark,pi_oracle_state_soft,quartile_3,25,1.2227144206028173,1.2731222922972458,0.3116038918810763,0.3161330454996889,0.32,0.32,0.2334340315046414,0.29081003317657983,25
A,brightness_dark,pi_oracle_state_soft,quartile_4,25,1.1052751727605759,1.1726234605858397,0.27092636035591416,0.27301728012938487,0.24,0.24,0.2019482133080771,0.24580394711961082,25
A,brightness_dark,pi_source_state_soft,all,100,1.3102288398129815,1.3031007279830151,0.34127296168195925,0.3272405535155867,0.29,0.29,0.23798756090498707,0.30707458353037853,100
A,brightness_dark,pi_source_state_soft,quartile_1,25,1.4455322285773413,1.5348260662972586,0.3857866565072035,0.41101902378571387,0.48,0.48,0.29060692208008043,0.354649519006916,25
A,brightness_dark,pi_source_state_soft,quartile_2,25,1.4673935373111926,1.4661682784899193,0.3967749379836432,0.3988069193815069,0.12,0.12,0.22596107672714943,0.3027495893961478,25
A,brightness_dark,pi_source_state_soft,quartile_3,25,1.2227144206028173,1.2731222922972458,0.3116038918810763,0.3161330454996889,0.32,0.32,0.2334340315046414,0.29081003317657983,25
A,brightness_dark,pi_source_state_soft,quartile_4,25,1.1052751727605759,1.1726234605858397,0.27092636035591416,0.27301728012938487,0.24,0.24,0.2019482133080771,0.24580394711961082,25
A,brightness_dark,pi_source_state_soft,context_True,100,1.3102288398129815,1.3031007279830151,0.34127296168195925,0.3272405535155867,0.29,0.29,0.23798756090498707,0.30707458353037853,100
A,brightness_dark,pi_source_state_soft,context_False,0,,,,,,,,,0
A,contrast_low,pi_zero_soft,all,100,1.451653724970962,1.4703784504810051,0.38808321575027477,0.38032162017992877,0.24,0.24,0.12812836064940378,0.1692137165282319,100
