client,bank,target,role,candidate,delta_J,delta_accuracy,zero_accuracy,candidate_accuracy
32,B,gaussian_noise,selected,gaussian_noise,19.112098100215654,5.05050505050505,25.252525252525253,30.303030303030305
32,B,gaussian_noise,true,gaussian_noise,19.112098100215654,5.05050505050505,25.252525252525253,30.303030303030305
32,A,gaussian_blur,selected,gaussian_blur,15.144722975514298,-3.535353535353536,32.323232323232325,28.78787878787879
32,A,gaussian_blur,true,gaussian_blur,15.144722975514298,-3.535353535353536,32.323232323232325,28.78787878787879
32,B,gaussian_blur,selected,gaussian_blur,15.115592973728099,-4.545454545454547,32.323232323232325,27.77777777777778
32,B,gaussian_blur,true,gaussian_blur,15.115592973728099,-4.545454545454547,32.323232323232325,27.77777777777778
33,A,clean,selected,clean,0.0,0.0,20.454545454545457,20.454545454545457
33,A,clean,true,clean,0.0,0.0,20.454545454545457,20.454545454545457
33,B,clean,selected,clean,0.0,0.0,20.454545454545457,20.454545454545457
33,B,clean,true,clean,0.0,0.0,20.454545454545457,20.454545454545457
33,A,brightness_dark,selected,brightness_dark,171.82645063198254,17.803030303030305,1.5151515151515151,19.318181818181817
33,A,brightness_dark,true,brightness_dark,171.82645063198254,17.803030303030305,1.5151515151515151,19.318181818181817
33,B,brightness_dark,selected,brightness_dark,170.9029991082952,19.696969696969695,1.5151515151515151,21.21212121212121
33,B,brightness_dark,true,brightness_dark,170.9029991082952,19.696969696969695,1.5151515151515151,21.21212121212121
33,A,contrast_low,selected,contrast_low,97.75218015696134,9.090909090909092,5.303030303030303,14.393939393939394
33,A,contrast_low,true,contrast_low,97.75218015696134,9.090909090909092,5.303030303030303,14.393939393939394
33,B,contrast_low,selected,contrast_low,97.54124484000275,6.4393939393939394,5.303030303030303,11.742424242424242
33,B,contrast_low,true,contrast_low,97.54124484000275,6.4393939393939394,5.303030303030303,11.742424242424242
33,A,gaussian_noise,selected,gaussian_noise,19.13323767254716,4.924242424242426,13.257575757575758,18.181818181818183
33,A,gaussian_noise,true,gaussian_noise,19.13323767254716,4.924242424242426,13.257575757575758,18.181818181818183
33,B,gaussian_noise,selected,gaussian_noise,19.44550888994636,4.924242424242426,13.257575757575758,18.181818181818183
33,B,gaussian_noise,true,gaussian_noise,19.44550888994636,4.924242424242426,13.257575757575758,18.181818181818183
33,A,gaussian_blur,selected,gaussian_blur,17.140922607914945,2.2727272727272734,16.666666666666664,18.939393939393938
33,A,gaussian_blur,true,gaussian_blur,17.140922607914945,2.2727272727272734,16.666666666666664,18.939393939393938
33,B,gaussian_blur,selected,gaussian_blur,17.92488694765195,1.5151515151515165,16.666666666666664,18.181818181818183
33,B,gaussian_blur,true,gaussian_blur,17.92488694765195,1.5151515151515165,16.666666666666664,18.181818181818183
34,A,clean,selected,clean,0.0,0.0,23.52941176470588,23.52941176470588
34,A,clean,true,clean,0.0,0.0,23.52941176470588,23.52941176470588
34,B,clean,selected,clean,0.0,0.0,23.52941176470588,23.52941176470588
34,B,clean,true,clean,0.0,0.0,23.52941176470588,23.52941176470588
34,A,brightness_dark,selected,brightness_dark,164.85323218336475,11.764705882352944,15.686274509803921,27.450980392156865
34,A,brightness_dark,true,brightness_dark,164.85323218336475,11.764705882352944,15.686274509803921,27.450980392156865
34,B,brightness_dark,selected,brightness_dark,163.24230060548012,12.745098039215685,15.686274509803921,28.431372549019606
34,B,brightness_dark,true,brightness_dark,163.24230060548012,12.745098039215685,15.686274509803921,28.431372549019606
34,A,contrast_low,selected,contrast_low,97.64368725620628,3.9215686274509802,11.76470588235294,15.686274509803921
34,A,contrast_low,true,contrast_low,97.64368725620628,3.9215686274509802,11.76470588235294,15.686274509803921
34,B,contrast_low,selected,contrast_low,97.62664023635746,2.941176470588236,11.76470588235294,14.705882352941178
34,B,contrast_low,true,contrast_low,97.62664023635746,2.941176470588236,11.76470588235294,14.705882352941178
34,A,gaussian_noise,selected,gaussian_noise,18.29638904742309,5.882352941176469,18.627450980392158,24.509803921568626
34,A,gaussian_noise,true,gaussian_noise,18.29638904742309,5.882352941176469,18.627450980392158,24.509803921568626
34,B,gaussian_noise,selected,gaussian_noise,19.118536346750894,5.882352941176469,18.627450980392158,24.509803921568626
34,B,gaussian_noise,true,gaussian_noise,19.118536346750894,5.882352941176469,18.627450980392158,24.509803921568626
34,A,gaussian_blur,selected,gaussian_blur,18.70372866907489,-1.9607843137254888,24.509803921568626,22.54901960784314
34,A,gaussian_blur,true,gaussian_blur,18.70372866907489,-1.9607843137254888,24.509803921568626,22.54901960784314
34,B,gaussian_blur,selected,gaussian_blur,18.989584881283804,-0.9803921568627444,24.509803921568626,23.52941176470588
34,B,gaussian_blur,true,gaussian_blur,18.989584881283804,-0.9803921568627444,24.509803921568626,23.52941176470588
35,A,clean,selected,clean,0.0,0.0,70.28571428571428,70.28571428571428
35,A,clean,true,clean,0.0,0.0,70.28571428571428,70.28571428571428
35,B,clean,selected,clean,0.0,0.0,70.28571428571428,70.28571428571428
35,B,clean,true,clean,0.0,0.0,70.28571428571428,70.28571428571428
35,A,brightness_dark,selected,brightness_dark,147.85608250545758,55.99999999999999,11.428571428571429,67.42857142857143
35,A,brightness_dark,true,brightness_dark,147.85608250545758,55.99999999999999,11.428571428571429,67.42857142857143
35,B,brightness_dark,selected,brightness_dark,142.95297298811153,56.57142857142857,11.428571428571429,68.0
35,B,brightness_dark,true,brightness_dark,142.95297298811153,56.57142857142857,11.428571428571429,68.0
35,A,contrast_low,selected,contrast_low,66.05236941824717,36.57142857142857,30.857142857142854,67.42857142857143
35,A,contrast_low,true,contrast_low,66.05236941824717,36.57142857142857,30.857142857142854,67.42857142857143
35,B,contrast_low,selected,contrast_low,66.0061800104373,35.42857142857142,30.857142857142854,66.28571428571428
35,B,contrast_low,true,contrast_low,66.0061800104373,35.42857142857142,30.857142857142854,66.28571428571428
35,A,gaussian_noise,selected,gaussian_noise,22.294650695681135,5.142857142857138,65.71428571428571,70.85714285714285
35,A,gaussian_noise,true,gaussian_noise,22.294650695681135,5.142857142857138,65.71428571428571,70.85714285714285
35,B,gaussian_noise,selected,gaussian_noise,25.80366583954649,4.0000000000000036,65.71428571428571,69.71428571428572
35,B,gaussian_noise,true,gaussian_noise,25.80366583954649,4.0000000000000036,65.71428571428571,69.71428571428572
35,A,gaussian_blur,selected,gaussian_blur,9.59533451006158,5.1428571428571495,66.28571428571428,71.42857142857143
35,A,gaussian_blur,true,gaussian_blur,9.59533451006158,5.1428571428571495,66.28571428571428,71.42857142857143
35,B,gaussian_blur,selected,gaussian_blur,7.608191231167581,4.0000000000000036,66.28571428571428,70.28571428571428
35,B,gaussian_blur,true,gaussian_blur,7.608191231167581,4.0000000000000036,66.28571428571428,70.28571428571428
36,A,clean,selected,clean,0.0,0.0,16.666666666666664,16.666666666666664
36,A,clean,true,clean,0.0,0.0,16.666666666666664,16.666666666666664
36,B,clean,selected,clean,0.0,0.0,16.666666666666664,16.666666666666664
36,B,clean,true,clean,0.0,0.0,16.666666666666664,16.666666666666664
36,A,brightness_dark,selected,brightness_dark,154.86622673779144,11.11111111111111,5.555555555555555,16.666666666666664
36,A,brightness_dark,true,brightness_dark,154.86622673779144,11.11111111111111,5.555555555555555,16.666666666666664
36,B,brightness_dark,selected,brightness_dark,153.10842299042324,11.11111111111111,5.555555555555555,16.666666666666664
36,B,brightness_dark,true,brightness_dark,153.10842299042324,11.11111111111111,5.555555555555555,16.666666666666664
36,A,contrast_low,selected,contrast_low,76.70610256223938,5.555555555555555,5.555555555555555,11.11111111111111
36,A,contrast_low,true,contrast_low,76.70610256223938,5.555555555555555,5.555555555555555,11.11111111111111
36,B,contrast_low,selected,contrast_low,79.23179279581196,5.555555555555555,5.555555555555555,11.11111111111111
36,B,contrast_low,true,contrast_low,79.23179279581196,5.555555555555555,5.555555555555555,11.11111111111111
36,A,gaussian_noise,selected,gaussian_noise,24.639281811548397,0.0,16.666666666666664,16.666666666666664
36,A,gaussian_noise,true,gaussian_noise,24.639281811548397,0.0,16.666666666666664,16.666666666666664
36,B,gaussian_noise,selected,gaussian_noise,26.213967768154557,0.0,16.666666666666664,16.666666666666664
36,B,gaussian_noise,true,gaussian_noise,26.213967768154557,0.0,16.666666666666664,16.666666666666664
36,A,gaussian_blur,selected,gaussian_blur,12.65224376285239,5.555555555555555,11.11111111111111,16.666666666666664
36,A,gaussian_blur,true,gaussian_blur,12.65224376285239,5.555555555555555,11.11111111111111,16.666666666666664
36,B,gaussian_blur,selected,gaussian_blur,12.462234756487774,5.555555555555555,11.11111111111111,16.666666666666664
36,B,gaussian_blur,true,gaussian_blur,12.462234756487774,5.555555555555555,11.11111111111111,16.666666666666664
37,A,clean,selected,clean,0.0,0.0,26.25,26.25
37,A,clean,true,clean,0.0,0.0,26.25,26.25
37,B,clean,selected,clean,0.0,0.0,26.25,26.25
37,B,clean,true,clean,0.0,0.0,26.25,26.25
37,A,brightness_dark,selected,brightness_dark,148.22994103159164,-11.249999999999998,38.75,27.500000000000004
37,A,brightness_dark,true,brightness_dark,148.22994103159164,-11.249999999999998,38.75,27.500000000000004
37,B,brightness_dark,selected,brightness_dark,145.2480768996192,-10.000000000000004,38.75,28.749999999999996
37,B,brightness_dark,true,brightness_dark,145.2480768996192,-10.000000000000004,38.75,28.749999999999996
37,A,contrast_low,selected,contrast_low,102.86163220704711,-8.750000000000002,32.5,23.75
37,A,contrast_low,true,contrast_low,102.86163220704711,-8.750000000000002,32.5,23.75
37,B,contrast_low,selected,contrast_low,101.59560898345238,-4.999999999999999,32.5,27.500000000000004
37,B,contrast_low,true,contrast_low,101.59560898345238,-4.999999999999999,32.5,27.500000000000004
37,A,gaussian_noise,selected,gaussian_noise,22.639395199207385,2.4999999999999996,20.0,22.5
37,A,gaussian_noise,true,gaussian_noise,22.639395199207385,2.4999999999999996,20.0,22.5
37,B,gaussian_noise,selected,gaussian_noise,23.72763002225431,2.4999999999999996,20.0,22.5
37,B,gaussian_noise,true,gaussian_noise,23.72763002225431,2.4999999999999996,20.0,22.5
37,A,gaussian_blur,selected,gaussian_blur,16.046761930960177,-6.249999999999997,28.749999999999996,22.5
37,A,gaussian_blur,true,gaussian_blur,16.046761930960177,-6.249999999999997,28.749999999999996,22.5
37,B,gaussian_blur,selected,gaussian_blur,15.959076646113266,-7.499999999999998,28.749999999999996,21.25
37,B,gaussian_blur,true,gaussian_blur,15.959076646113266,-7.499999999999998,28.749999999999996,21.25
38,A,clean,selected,clean,0.0,0.0,68.0,68.0
38,A,clean,true,clean,0.0,0.0,68.0,68.0
38,B,clean,selected,clean,0.0,0.0,68.0,68.0
38,B,clean,true,clean,0.0,0.0,68.0,68.0
38,A,brightness_dark,selected,brightness_dark,172.2953335016845,56.00000000000001,12.0,68.0
38,A,brightness_dark,true,brightness_dark,172.2953335016845,56.00000000000001,12.0,68.0
38,B,brightness_dark,selected,brightness_dark,168.39901818909556,52.0,12.0,64.0
38,B,brightness_dark,true,brightness_dark,168.39901818909556,52.0,12.0,64.0
38,A,contrast_low,selected,contrast_low,89.7357182095724,12.0,60.0,72.0
38,A,contrast_low,true,contrast_low,89.7357182095724,12.0,60.0,72.0
38,B,contrast_low,selected,contrast_low,88.38453344099725,8.000000000000007,60.0,68.0
38,B,contrast_low,true,contrast_low,88.38453344099725,8.000000000000007,60.0,68.0
38,A,gaussian_noise,selected,gaussian_noise,15.255991345346608,0.0,72.0,72.0
38,A,gaussian_noise,true,gaussian_noise,15.255991345346608,0.0,72.0,72.0
38,B,gaussian_noise,selected,gaussian_noise,18.26660508450351,-3.9999999999999925,72.0,68.0
38,B,gaussian_noise,true,gaussian_noise,18.26660508450351,-3.9999999999999925,72.0,68.0
38,A,gaussian_blur,selected,gaussian_blur,16.678929609566772,0.0,76.0,76.0
38,A,gaussian_blur,true,gaussian_blur,16.678929609566772,0.0,76.0,76.0
38,B,gaussian_blur,selected,gaussian_blur,15.661235295161738,0.0,76.0,76.0
38,B,gaussian_blur,true,gaussian_blur,15.661235295161738,0.0,76.0,76.0
39,A,clean,selected,clean,0.0,0.0,51.24999999999999,51.24999999999999
39,A,clean,true,clean,0.0,0.0,51.24999999999999,51.24999999999999
39,B,clean,selected,clean,0.0,0.0,51.24999999999999,51.24999999999999
39,B,clean,true,clean,0.0,0.0,51.24999999999999,51.24999999999999
39,A,brightness_dark,selected,brightness_dark,157.52020932484274,-29.374999999999996,84.375,55.00000000000001
39,A,brightness_dark,true,brightness_dark,157.52020932484274,-29.374999999999996,84.375,55.00000000000001
39,B,brightness_dark,selected,brightness_dark,156.19213044685358,-29.374999999999996,84.375,55.00000000000001
39,B,brightness_dark,true,brightness_dark,156.19213044685358,-29.374999999999996,84.375,55.00000000000001
39,A,contrast_low,selected,contrast_low,80.02214207881899,-20.0,59.375,39.375
39,A,contrast_low,true,contrast_low,80.02214207881899,-20.0,59.375,39.375
39,B,contrast_low,selected,contrast_low,81.02985024060062,-19.374999999999996,59.375,40.0
39,B,contrast_low,true,contrast_low,81.02985024060062,-19.374999999999996,59.375,40.0
39,A,gaussian_noise,selected,gaussian_noise,19.679553657918028,12.5,35.0,47.5
39,A,gaussian_noise,true,gaussian_noise,19.679553657918028,12.5,35.0,47.5
39,B,gaussian_noise,selected,gaussian_noise,19.91748577439076,11.250000000000004,35.0,46.25
39,B,gaussian_noise,true,gaussian_noise,19.91748577439076,11.250000000000004,35.0,46.25
39,A,gaussian_blur,selected,gaussian_blur,14.550137951108049,-10.000000000000004,58.75,48.75
39,A,gaussian_blur,true,gaussian_blur,14.550137951108049,-10.000000000000004,58.75,48.75
39,B,gaussian_blur,selected,gaussian_blur,15.009902822326215,-13.125000000000004,58.75,45.625
39,B,gaussian_blur,true,gaussian_blur,15.009902822326215,-13.125000000000004,58.75,45.625
40,A,clean,selected,clean,0.0,0.0,0.8,0.8
40,A,clean,true,clean,0.0,0.0,0.8,0.8
40,B,clean,selected,clean,0.0,0.0,0.8,0.8
40,B,clean,true,clean,0.0,0.0,0.8,0.8
40,A,brightness_dark,selected,brightness_dark,154.21970631559537,0.8,0.4,1.2
40,A,brightness_dark,true,brightness_dark,154.21970631559537,0.8,0.4,1.2
40,B,brightness_dark,selected,brightness_dark,149.97169504341787,0.8,0.4,1.2
40,B,brightness_dark,true,brightness_dark,149.97169504341787,0.8,0.4,1.2
40,A,contrast_low,selected,contrast_low,80.71638855274297,0.8,0.0,0.8
40,A,contrast_low,true,contrast_low,80.71638855274297,0.8,0.0,0.8
40,B,contrast_low,selected,contrast_low,78.57461131305553,0.0,0.0,0.0
40,B,contrast_low,true,contrast_low,78.57461131305553,0.0,0.0,0.0
40,A,gaussian_noise,selected,gaussian_noise,28.707358249830737,0.8,0.4,1.2
40,A,gaussian_noise,true,gaussian_noise,28.707358249830737,0.8,0.4,1.2
40,B,gaussian_noise,selected,gaussian_noise,30.962265502550125,0.8,0.4,1.2
40,B,gaussian_noise,true,gaussian_noise,30.962265502550125,0.8,0.4,1.2
40,A,gaussian_blur,selected,gaussian_blur,9.0177145868249,0.0,1.2,1.2
40,A,gaussian_blur,true,gaussian_blur,9.0177145868249,0.0,1.2,1.2
40,B,gaussian_blur,selected,gaussian_blur,7.602961225292043,0.0,1.2,1.2
40,B,gaussian_blur,true,gaussian_blur,7.602961225292043,0.0,1.2,1.2
41,A,clean,selected,clean,0.0,0.0,10.0,10.0
41,A,clean,true,clean,0.0,0.0,10.0,10.0
41,B,clean,selected,clean,0.0,0.0,10.0,10.0
41,B,clean,true,clean,0.0,0.0,10.0,10.0
41,A,brightness_dark,selected,brightness_dark,150.69337714915764,6.999999999999999,2.0,9.0
41,A,brightness_dark,true,brightness_dark,150.69337714915764,6.999999999999999,2.0,9.0
41,B,brightness_dark,selected,brightness_dark,148.96063848744583,8.0,2.0,10.0
41,B,brightness_dark,true,brightness_dark,148.96063848744583,8.0,2.0,10.0
41,A,contrast_low,selected,contrast_low,92.61079739526919,8.0,1.0,9.0
41,A,contrast_low,true,contrast_low,92.61079739526919,8.0,1.0,9.0
41,B,contrast_low,selected,contrast_low,91.75730467343463,10.0,1.0,11.0
41,B,contrast_low,true,contrast_low,91.75730467343463,10.0,1.0,11.0
41,A,gaussian_noise,selected,gaussian_noise,22.644344965473827,4.000000000000001,6.0,10.0
41,A,gaussian_noise,true,gaussian_noise,22.644344965473827,4.000000000000001,6.0,10.0
41,B,gaussian_noise,selected,gaussian_noise,23.466784167194234,4.000000000000001,6.0,10.0
41,B,gaussian_noise,true,gaussian_noise,23.466784167194234,4.000000000000001,6.0,10.0
41,A,gaussian_blur,selected,gaussian_blur,9.334356039824637,-1.9999999999999991,12.0,10.0
41,A,gaussian_blur,true,gaussian_blur,9.334356039824637,-1.9999999999999991,12.0,10.0
41,B,gaussian_blur,selected,gaussian_blur,9.25779973204326,-1.9999999999999991,12.0,10.0
41,B,gaussian_blur,true,gaussian_blur,9.25779973204326,-1.9999999999999991,12.0,10.0
42,A,clean,selected,clean,0.0,0.0,56.25,56.25
42,A,clean,true,clean,0.0,0.0,56.25,56.25
42,B,clean,selected,clean,0.0,0.0,56.25,56.25
42,B,clean,true,clean,0.0,0.0,56.25,56.25
42,A,brightness_dark,selected,brightness_dark,173.75145878774242,6.562499999999993,54.0625,60.62499999999999
42,A,brightness_dark,true,brightness_dark,173.75145878774242,6.562499999999993,54.0625,60.62499999999999
42,B,brightness_dark,selected,brightness_dark,172.0476469768167,5.625000000000002,54.0625,59.68750000000001
42,B,brightness_dark,true,brightness_dark,172.0476469768167,5.625000000000002,54.0625,59.68750000000001
42,A,contrast_low,selected,contrast_low,97.22053579756926,8.437499999999998,38.4375,46.875
42,A,contrast_low,true,contrast_low,97.22053579756926,8.437499999999998,38.4375,46.875
42,B,contrast_low,selected,contrast_low,96.27297931056462,10.312499999999996,38.4375,48.75
42,B,contrast_low,true,contrast_low,96.27297931056462,10.312499999999996,38.4375,48.75
42,A,gaussian_noise,selected,gaussian_noise,18.082760825225634,3.125,50.31250000000001,53.43750000000001
42,A,gaussian_noise,true,gaussian_noise,18.082760825225634,3.125,50.31250000000001,53.43750000000001
42,B,gaussian_noise,selected,gaussian_noise,19.134817309261493,2.8124999999999956,50.31250000000001,53.125
42,B,gaussian_noise,true,gaussian_noise,19.134817309261493,2.8124999999999956,50.31250000000001,53.125
42,A,gaussian_blur,selected,gaussian_blur,20.922955914146556,1.874999999999999,49.6875,51.5625
42,A,gaussian_blur,true,gaussian_blur,20.922955914146556,1.874999999999999,49.6875,51.5625
42,B,gaussian_blur,selected,gaussian_blur,21.637503931737232,0.6250000000000033,49.6875,50.31250000000001
42,B,gaussian_blur,true,gaussian_blur,21.637503931737232,0.6250000000000033,49.6875,50.31250000000001
43,A,clean,selected,clean,0.0,0.0,7.07070707070707,7.07070707070707
43,A,clean,true,clean,0.0,0.0,7.07070707070707,7.07070707070707
43,B,clean,selected,clean,0.0,0.0,7.07070707070707,7.07070707070707
43,B,clean,true,clean,0.0,0.0,7.07070707070707,7.07070707070707
43,A,brightness_dark,selected,brightness_dark,160.8476531810766,7.575757575757576,0.0,7.575757575757576
43,A,brightness_dark,true,brightness_dark,160.8476531810766,7.575757575757576,0.0,7.575757575757576
43,B,brightness_dark,selected,brightness_dark,158.59871857982336,7.575757575757576,0.0,7.575757575757576
43,B,brightness_dark,true,brightness_dark,158.59871857982336,7.575757575757576,0.0,7.575757575757576
43,A,contrast_low,selected,contrast_low,62.95581009726291,2.02020202020202,3.0303030303030303,5.05050505050505
43,A,contrast_low,true,contrast_low,62.95581009726291,2.02020202020202,3.0303030303030303,5.05050505050505
43,B,contrast_low,selected,contrast_low,70.62746356043579,0.5050505050505049,3.0303030303030303,3.535353535353535
43,B,contrast_low,true,contrast_low,70.62746356043579,0.5050505050505049,3.0303030303030303,3.535353535353535
43,A,gaussian_noise,selected,gaussian_noise,14.191006790058898,3.03030303030303,4.040404040404041,7.07070707070707
43,A,gaussian_noise,true,gaussian_noise,14.191006790058898,3.03030303030303,4.040404040404041,7.07070707070707
43,B,gaussian_noise,selected,gaussian_noise,15.389600642336303,3.03030303030303,4.040404040404041,7.07070707070707
43,B,gaussian_noise,true,gaussian_noise,15.389600642336303,3.03030303030303,4.040404040404041,7.07070707070707
43,A,gaussian_blur,selected,gaussian_blur,20.578279403743565,-0.5050505050505041,7.07070707070707,6.565656565656567
43,A,gaussian_blur,true,gaussian_blur,20.578279403743565,-0.5050505050505041,7.07070707070707,6.565656565656567
43,B,gaussian_blur,selected,gaussian_blur,21.08378804448718,-0.5050505050505041,7.07070707070707,6.565656565656567
