target,context,layer,restoration_ratio,mse_before,mse_after,gamma_abs_mean,beta_abs_mean,negative_scale_fraction,cap_fraction,gamma_abs_max_max,beta_abs_max_max,cap_fraction_max,clients_cap_gt10pct
contrast_low,high_semantic_derangement,1,0.6951654354398785,0.14418782100381805,0.10019875201850047,0.9618931174278259,0.25225368291139605,0.363125,0.0,1.3340153694152832,0.8576291799545288,0.0,0
contrast_low,high_semantic_derangement,2,0.8522823424423658,0.1965188093402034,0.16734355890534702,1.060644444823265,0.5990673004090786,0.143125,0.00171875,8.218730926513672,10.33729076385498,0.03125,0
contrast_low,random_derangement_0,1,0.6921490199524254,0.1449670053762836,0.10037772519690667,0.9716408854722977,0.2534242253005505,0.38,0.0,1.245842695236206,1.0291175842285156,0.0,0
contrast_low,random_derangement_0,2,0.852363565462585,0.19709840289089603,0.16787439023440925,1.1002525144815445,0.6125436109304429,0.1621875,0.00234375,9.0,11.049755096435547,0.03125,0
contrast_low,random_derangement_1,1,0.6939930040979686,0.14468228538782824,0.10032804746169914,0.9683436954021454,0.2527108071744442,0.3771875,0.0,1.3034175634384155,0.9976434707641602,0.0,0
contrast_low,random_derangement_1,2,0.852034495287605,0.19696304331682526,0.16771433070132855,1.1510917875170708,0.6457640355825425,0.17125,0.00296875,9.0,11.30797004699707,0.046875,0
contrast_low,random_derangement_2,1,0.6883007337407178,0.1457900494202961,0.10032123465898507,0.9801612120866775,0.25499392941594123,0.4140625,0.0,1.318235158920288,0.8555938601493835,0.0,0
contrast_low,random_derangement_2,2,0.8519768702902835,0.19691406044381346,0.16763469758906052,1.1564172637462615,0.6549888908863067,0.16796875,0.0034375,9.0,20.261919021606445,0.09375,0
contrast_low,random_derangement_3,1,0.6913989354321269,0.14509211665154842,0.10027588248125877,0.9747770190238952,0.25445844620466235,0.426875,0.0,1.3340153694152832,0.9191962480545044,0.0,0
contrast_low,random_derangement_3,2,0.8519568977017056,0.1967880079971288,0.16752683318821152,1.0992659094929695,0.6106411798298359,0.1628125,0.00171875,9.0,13.879502296447754,0.046875,0
contrast_low,random_derangement_4,1,0.692703911808265,0.14504719822767384,0.10030952985086213,0.975088220834732,0.25344863161444664,0.39,0.0,1.2963190078735352,0.8420959711074829,0.0,0
contrast_low,random_derangement_4,2,0.8522104899778022,0.19689863525971757,0.16766308901916463,1.0833766809105874,0.6056285881996155,0.16046875,0.0028125,9.0,9.13792896270752,0.0625,0
contrast_low,random_derangement_5,1,0.690418436312376,0.14537141669476028,0.10031942142687227,0.9771027946472168,0.25435889691114427,0.41875,0.0,1.3493884801864624,0.9081634283065796,0.0,0
contrast_low,random_derangement_5,2,0.8511850204091482,0.1970150390042155,0.1675500926980064,1.1907991775870324,0.6742435412108898,0.1725,0.0028125,8.577057838439941,11.163982391357422,0.046875,0
contrast_low,random_derangement_6,1,0.6904753704863786,0.14551156805098217,0.10037056241069323,0.9746065920591355,0.25446462526917457,0.408125,0.0,1.2681100368499756,0.9545373320579529,0.0,0
contrast_low,random_derangement_6,2,0.8519216479739997,0.19713953002995613,0.16782738961418095,1.1904527905583382,0.6719015046954155,0.173125,0.0034375,9.0,12.782434463500977,0.078125,0
contrast_low,random_derangement_7,1,0.6933390727184822,0.14459143401390967,0.10024512801494655,0.9685656750202178,0.2528467997908592,0.370625,0.0,1.4775536060333252,0.9248236417770386,0.0,0
contrast_low,random_derangement_7,2,0.8529513605536095,0.19666967003031094,0.16763895006998691,1.022330523133278,0.5686855845153331,0.17421875,0.00078125,8.361481666564941,11.285067558288574,0.015625,0
gaussian_noise,correct_pair,1,0.5638881781666469,0.023556953702715808,0.013246882122442166,0.23577795088291167,0.018219580100849272,0.0,0.0,0.6889671087265015,0.07098618149757385,0.0,0
gaussian_noise,correct_pair,2,0.8192566598460487,0.011959061221674134,0.00978039721968756,0.121457801759243,0.06831897139549255,0.0034375,0.0,1.0007048845291138,0.46428704261779785,0.0,0
gaussian_noise,low_semantic_derangement,1,0.46382448417378724,0.2157258730955052,0.1003282411887107,0.9888041198253632,0.25278096958994867,0.3928125,0.0,1.2005255222320557,0.8600070476531982,0.0,0
gaussian_noise,low_semantic_derangement,2,0.8559629762564106,0.19636620269740757,0.1680065644476334,1.2424835094809532,0.7205513696372509,0.17421875,0.00375,8.97856330871582,11.718932151794434,0.078125,0
gaussian_noise,high_semantic_derangement,1,0.4705324482514212,0.21243968963388501,0.10025718453845474,0.9786393928527832,0.24909317567944528,0.273125,0.0,1.1202150583267212,0.79842209815979,0.0,0
gaussian_noise,high_semantic_derangement,2,0.8569356182496842,0.19588764960493268,0.16777783747309374,1.1011325532197953,0.6369972226023674,0.1546875,0.00140625,8.205326080322266,10.918675422668457,0.03125,0
gaussian_noise,random_derangement_0,1,0.4680048071474662,0.21372142471540356,0.10033570650822243,0.9827891761064529,0.2504823227226734,0.3203125,0.0,1.130136489868164,0.9354168772697449,0.0,0
gaussian_noise,random_derangement_0,2,0.8565338415909325,0.19631417301488946,0.1680816051623574,1.1792460930347444,0.6831420618295669,0.1825,0.004375,7.890514850616455,17.274351119995117,0.078125,0
gaussian_noise,random_derangement_1,1,0.4701022705338553,0.21276043375861106,0.10027360046687014,0.9796371591091156,0.2492694625258446,0.2903125,0.0,1.119465947151184,0.913786768913269,0.0,0
gaussian_noise,random_derangement_1,2,0.8566643691931692,0.1960352912116586,0.16786717234542414,1.1993857404589654,0.6999153871834278,0.17015625,0.00515625,7.645155906677246,11.269791603088379,0.140625,2
gaussian_noise,random_derangement_2,1,0.4660782809551218,0.21458312394691764,0.1003038521459658,0.9855697917938232,0.25153495207428933,0.34125,0.0,1.1920759677886963,0.8475595116615295,0.0,0
