client,target,context,centered_acc,centered_same_label
33,brightness_dark,random_derangement_4,-0.28409091755747795,-0.03125
33,brightness_dark,random_derangement_5,-0.6628788076341152,-0.0625
33,brightness_dark,random_derangement_6,-0.28409091755747795,0.0625
33,brightness_dark,random_derangement_7,-0.6628788076341152,0.0
34,brightness_dark,random_derangement_0,1.2254903092980385,0.013671875
34,brightness_dark,random_derangement_1,0.24509821087121964,0.060546875
34,brightness_dark,random_derangement_2,-0.7352942600846291,-0.033203125
34,brightness_dark,random_derangement_3,0.24509821087121964,-0.064453125
34,brightness_dark,random_derangement_4,-0.7352942600846291,0.013671875
34,brightness_dark,random_derangement_5,2.2058824077248573,0.044921875
34,brightness_dark,random_derangement_6,-1.715686358511448,0.029296875
34,brightness_dark,random_derangement_7,-0.7352942600846291,-0.064453125
35,brightness_dark,random_derangement_0,2.9999978840351105,0.01171875
35,brightness_dark,random_derangement_1,2.428574115037918,0.08984375
35,brightness_dark,random_derangement_2,1.8571443855762482,-0.05078125
35,brightness_dark,random_derangement_3,0.1428551971912384,-0.01953125
35,brightness_dark,random_derangement_4,-6.714283674955368,-0.01953125
35,brightness_dark,random_derangement_5,0.1428551971912384,-0.05078125
35,brightness_dark,random_derangement_6,0.7142849266529083,0.02734375
35,brightness_dark,random_derangement_7,-1.5714280307292938,0.01171875
36,brightness_dark,random_derangement_0,0.0,0.0092592592592593
36,brightness_dark,random_derangement_1,0.0,-0.027777777777777735
36,brightness_dark,random_derangement_2,0.0,0.08333333333333337
36,brightness_dark,random_derangement_3,0.0,-0.009259259259259245
36,brightness_dark,random_derangement_4,0.0,-0.04629629629629628
36,brightness_dark,random_derangement_5,0.0,-0.04629629629629628
36,brightness_dark,random_derangement_6,0.0,-0.04629629629629628
36,brightness_dark,random_derangement_7,0.0,0.08333333333333337
37,brightness_dark,random_derangement_0,2.187499590218067,-0.04296875
37,brightness_dark,random_derangement_1,5.937500484287739,0.12890625
