client,target,n_query,correct,low,high,random_mean,same_label_low,same_label_high,same_label_random_mean,correct_low,correct_high,high_low,correct_random_mean
94,brightness_dark,293,18.430033326148987,0.0,0.0,0.0,0.8125,0.875,0.837890625,18.430033326148987,18.430033326148987,0.0,18.430033326148987
95,brightness_dark,38,63.15789222717285,57.894736528396606,57.894736528396606,57.894736528396606,0.328125,0.53125,0.435546875,5.263155698776245,5.263155698776245,0.0,5.263155698776245
96,brightness_dark,215,4.1860464960336685,0.4651162773370743,0.4651162773370743,0.4651162773370743,0.71875,0.78125,0.744140625,3.7209302186965942,3.7209302186965942,0.0,3.7209302186965942
97,brightness_dark,170,40.58823585510254,69.41176652908325,65.8823549747467,67.94117763638496,0.71875,0.859375,0.751953125,-28.823530673980713,-25.294119119644165,-3.529411554336548,-27.352941781282425
98,brightness_dark,66,13.636364042758942,6.060606241226196,6.060606241226196,5.871212296187878,0.375,0.5625,0.458984375,7.575757801532745,7.575757801532745,0.0,7.765151746571064
99,brightness_dark,145,5.517241358757019,0.6896551698446274,0.6896551698446274,0.6896551698446274,0.15625,0.359375,0.283203125,4.827586188912392,4.827586188912392,0.0,4.827586188912392
0,contrast_low,178,19.662921130657196,6.179775297641754,5.056179687380791,5.33707863651216,0.515625,0.671875,0.587890625,13.483145833015442,14.606741443276405,-1.1235956102609634,14.325842494145036
1,contrast_low,99,7.070706784725189,0.0,0.0,0.3787878784351051,0.8125,0.859375,0.822265625,7.070706784725189,7.070706784725189,0.0,6.691918906290084
2,contrast_low,140,0.7142857182770967,0.0,0.0,0.0,0.90625,0.9375,0.908203125,0.7142857182770967,0.7142857182770967,0.0,0.7142857182770967
3,contrast_low,216,6.94444477558136,0.0,0.0,0.0,1.0,1.0,1.0,6.94444477558136,6.94444477558136,0.0,6.94444477558136
4,contrast_low,105,4.76190485060215,0.0,0.0,0.0,0.34375,0.5625,0.470703125,4.76190485060215,4.76190485060215,0.0,4.76190485060215
5,contrast_low,158,20.253165066242218,10.126582533121109,17.721518874168396,12.26265849545598,0.265625,0.46875,0.3671875,10.126582533121109,2.531646192073822,7.594936341047287,7.990506570786238
6,contrast_low,261,46.74329459667206,54.7892689704895,54.7892689704895,54.501913487911224,0.375,0.625,0.48046875,-8.045974373817444,-8.045974373817444,0.0,-7.758618891239166
7,contrast_low,197,16.243654489517212,5.5837564170360565,8.121827244758606,9.581218147650361,0.53125,0.6875,0.603515625,10.659898072481155,8.121827244758606,2.5380708277225494,6.662436341866851
8,contrast_low,193,9.84455943107605,0.0,0.0,0.0,0.75,0.84375,0.767578125,9.84455943107605,9.84455943107605,0.0,9.84455943107605
9,contrast_low,176,15.340909361839294,0.0,0.5681818351149559,0.14204545877873898,0.65625,0.765625,0.716796875,15.340909361839294,14.772727526724339,0.5681818351149559,15.198863903060555
10,contrast_low,282,13.120566308498383,10.283687710762024,10.638297349214554,11.43616996705532,0.359375,0.515625,0.423828125,2.8368785977363586,2.4822689592838287,0.3546096384525299,1.6843963414430618
11,contrast_low,180,44.44444477558136,68.88889074325562,76.11111402511597,54.2361119762063,0.40625,0.625,0.48828125,-24.444445967674255,-31.666669249534607,7.222223281860352,-9.791667200624943
12,contrast_low,164,9.756097197532654,6.097560748457909,5.487804859876633,6.6310972440987825,0.625,0.734375,0.681640625,3.658536449074745,4.268292337656021,-0.6097558885812759,3.1249999534338713
13,contrast_low,80,56.25,76.2499988079071,75.0,76.09374895691872,0.46875,0.65625,0.548828125,-19.999998807907104,-18.75,-1.2499988079071045,-19.843748956918716
14,contrast_low,71,50.70422291755676,81.69013857841492,91.54929518699646,78.52112576365471,0.875,0.9375,0.8828125,-30.985915660858154,-40.8450722694397,9.859156608581543,-27.816902846097946
15,contrast_low,236,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
16,contrast_low,21,52.3809552192688,9.5238097012043,9.5238097012043,12.500000279396772,0.3770491803278688,0.5409836065573771,0.444672131147541,42.8571455180645,42.8571455180645,0.0,39.880954939872026
17,contrast_low,87,47.12643623352051,73.56321811676025,60.919541120529175,69.2528747022152,0.4375,0.65625,0.525390625,-26.436781883239746,-13.793104887008667,-12.643676996231079,-22.126438468694687
18,contrast_low,10,10.000000149011612,0.0,0.0,0.0,0.4,0.6666666666666666,0.5333333333333333,10.000000149011612,10.000000149011612,0.0,10.000000149011612
19,contrast_low,91,36.263737082481384,65.93406796455383,60.43956279754639,60.0274745374918,0.25,0.484375,0.375,-29.67033088207245,-24.175825715065002,-5.494505167007446,-23.763737455010414
20,contrast_low,152,67.1052634716034,100.0,100.0,99.9177634716034,1.0,1.0,1.0,-32.894736528396606,-32.894736528396606,0.0,-32.8125
21,contrast_low,242,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
22,contrast_low,175,58.28571319580078,52.57142782211304,52.57142782211304,52.49999910593033,0.40625,0.625,0.50390625,5.714285373687744,5.714285373687744,0.0,5.785714089870453
23,contrast_low,140,30.000001192092896,23.571428656578064,25.0,27.053572610020638,0.390625,0.59375,0.50390625,6.4285725355148315,5.0000011920928955,1.428571343421936,2.946428582072258
24,contrast_low,179,0.5586592014878988,0.5586592014878988,0.5586592014878988,0.5586592014878988,0.515625,0.65625,0.587890625,0.0,0.0,0.0,0.0
25,contrast_low,36,36.11111044883728,8.33333358168602,25.0,21.180555690079927,0.1875,0.359375,0.279296875,27.77777686715126,11.11111044883728,16.66666641831398,14.930554758757353
26,contrast_low,284,72.53521084785461,94.71830725669861,94.71830725669861,94.71830725669861,0.84375,0.875,0.853515625,-22.183096408843994,-22.183096408843994,0.0,-22.183096408843994
27,contrast_low,195,76.4102578163147,98.46154451370239,98.46154451370239,98.46154451370239,1.0,1.0,1.0,-22.051286697387695,-22.051286697387695,0.0,-22.051286697387695
28,contrast_low,26,11.538462340831757,0.0,0.0,0.0,0.265625,0.421875,0.341796875,11.538462340831757,11.538462340831757,0.0,11.538462340831757
29,contrast_low,382,69.1099464893341,100.0,100.0,100.0,1.0,1.0,1.0,-30.890053510665894,-30.890053510665894,0.0,-30.890053510665894
30,contrast_low,275,21.090909838676453,22.545455396175385,26.181817054748535,26.500000059604645,0.375,0.625,0.48828125,-1.4545455574989319,-5.0909072160720825,3.6363616585731506,-5.409090220928192
31,contrast_low,202,52.970296144485474,88.61386179924011,83.16831588745117,90.03712758421898,0.9375,0.953125,0.939453125,-35.64356565475464,-30.1980197429657,-5.44554591178894,-37.066831439733505
32,contrast_low,198,24.242424964904785,23.232322931289673,26.26262605190277,22.664141282439232,0.140625,0.359375,0.234375,1.0101020336151123,-2.020201086997986,3.030303120613098,1.5782836824655533
33,contrast_low,264,11.742424964904785,0.37878789007663727,0.0,0.14204545877873898,0.34375,0.59375,0.5,11.363637074828148,11.742424964904785,-0.37878789007663727,11.600379506126046
34,contrast_low,102,17.64705926179886,3.9215687662363052,5.882353335618973,6.740196282044053,0.390625,0.53125,0.470703125,13.725490495562553,11.764705926179886,1.9607845693826675,10.906862979754806
35,contrast_low,175,65.71428775787354,53.71428728103638,59.99999642372131,64.78571370244026,0.5,0.671875,0.58203125,12.000000476837158,5.714291334152222,6.2857091426849365,0.9285740554332733
36,contrast_low,18,11.11111119389534,5.55555559694767,16.66666716337204,17.36111156642437,0.24074074074074073,0.5,0.3796296296296296,5.55555559694767,-5.5555559694767,11.11111156642437,-6.25000037252903
37,contrast_low,80,27.500000596046448,3.750000149011612,13.750000298023224,13.281250093132257,0.3125,0.53125,0.40234375,23.750000447034836,13.750000298023224,10.000000149011612,14.21875050291419
38,contrast_low,25,68.00000071525574,95.99999785423279,95.99999785423279,92.99999624490738,0.90625,0.9375,0.91015625,-27.99999713897705,-27.99999713897705,0.0,-24.999995529651642
39,contrast_low,160,43.75,60.00000238418579,60.00000238418579,75.2343762665987,1.0,1.0,1.0,-16.25000238418579,-16.25000238418579,0.0,-31.4843762665987
40,contrast_low,250,0.0,0.0,0.0,0.0,0.9375,0.953125,0.9375,0.0,0.0,0.0,0.0
41,contrast_low,100,10.999999940395355,63.999998569488525,75.99999904632568,59.99999865889549,0.59375,0.734375,0.642578125,-52.99999862909317,-64.99999910593033,12.000000476837158,-48.99999871850014
42,contrast_low,320,48.12500178813934,29.062500596046448,56.87500238418579,39.921875298023224,0.34375,0.546875,0.41015625,19.062501192092896,-8.750000596046448,27.812501788139343,8.20312649011612
43,contrast_low,198,2.0202020183205605,0.0,0.0,0.0,0.40625,0.65625,0.4765625,2.0202020183205605,2.0202020183205605,0.0,2.0202020183205605
44,contrast_low,74,17.56756752729416,0.0,4.054054245352745,1.520270318724215,0.4375,0.625,0.5,17.56756752729416,13.513513281941414,4.054054245352745,16.047297208569944
45,contrast_low,13,15.384615957736969,23.076924681663513,23.076924681663513,32.69230900332332,0.47368421052631576,0.6578947368421053,0.555921052631579,-7.692308723926544,-7.692308723926544,0.0,-17.307693045586348
46,contrast_low,79,5.0632912665605545,0.0,0.0,0.0,0.6875,0.84375,0.708984375,5.0632912665605545,5.0632912665605545,0.0,5.0632912665605545
47,contrast_low,32,56.25,21.875,34.375,33.984375,0.28125,0.53125,0.41015625,34.375,21.875,12.5,22.265625
48,contrast_low,161,1.2422360479831696,0.0,0.0,0.0,0.359375,0.5625,0.44140625,1.2422360479831696,1.2422360479831696,0.0,1.2422360479831696
49,contrast_low,202,22.772276401519775,0.4950494971126318,4.950495064258575,3.712871199240908,0.78125,0.84375,0.80859375,22.277226904407144,17.8217813372612,4.455445567145944,19.059405202278867
50,contrast_low,121,34.71074104309082,39.66941833496094,27.272725105285645,35.537188686430454,0.5,0.65625,0.53515625,-4.958677291870117,7.438015937805176,-12.396693229675293,-0.8264476433396339
51,contrast_low,12,0.0,0.0,0.0,0.0,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.0,0.0,0.0,0.0
52,contrast_low,24,33.33333432674408,83.33333730697632,79.16666865348816,78.12500298023224,0.625,0.71875,0.677734375,-50.00000298023224,-45.83333432674408,-4.166668653488159,-44.79166865348816
