client,bank,context,max_abs_error,L1
20,A,gaussian_noise,4.440892098500626e-16,7.875644580934704e-16
20,A,gaussian_blur,1.6653345369377348e-16,2.7755575615628914e-16
20,B,clean,7.771561172376096e-16,1.5705029869176692e-15
20,B,brightness_dark,2.581268532253489e-15,5.134781488891349e-15
20,B,contrast_low,1.0269562977782698e-15,2.0261570199409107e-15
20,B,gaussian_noise,2.7998436902265667e-15,5.575401251789458e-15
20,B,gaussian_blur,3.3306690738754696e-16,6.661338147750939e-16
21,A,clean,0.0,0.0
21,A,brightness_dark,1.5543122344752192e-15,3.0253577421035516e-15
21,A,contrast_low,1.3322676295501878e-15,2.7783331191244545e-15
21,A,gaussian_noise,4.440892098500626e-16,8.696747026230394e-16
21,A,gaussian_blur,6.661338147750939e-16,1.1768364061026659e-15
21,B,clean,0.0,0.0
21,B,brightness_dark,1.7763568394002505e-15,3.566591466608315e-15
21,B,contrast_low,3.885780586188048e-16,7.216449660063518e-16
21,B,gaussian_noise,1.5543122344752192e-15,3.1628965319845705e-15
21,B,gaussian_blur,0.0,0.0
22,A,clean,1.1102230246251565e-15,2.5780469029409605e-15
22,A,brightness_dark,3.885780586188048e-16,7.123931074678088e-16
22,A,contrast_low,9.992007221626409e-16,1.9984014443252818e-15
22,A,gaussian_noise,3.885780586188048e-16,8.511709855459534e-16
22,A,gaussian_blur,7.771561172376096e-16,2.1788126858268697e-15
22,B,clean,1.1102230246251565e-15,2.5780469029409605e-15
22,B,brightness_dark,3.3306690738754696e-16,7.216449660063518e-16
22,B,contrast_low,2.7755575615628914e-15,6.183942247162122e-15
22,B,gaussian_noise,5.551115123125783e-16,8.881784197001252e-16
22,B,gaussian_blur,2.220446049250313e-16,3.5619655373390436e-16
23,A,clean,3.925431408496089e-16,1.1389698707984865e-15
23,A,brightness_dark,1.1102230246251565e-15,3.400058012914542e-15
23,A,contrast_low,1.4155343563970746e-15,3.247402347028583e-15
23,A,gaussian_noise,2.4054832200211723e-16,8.095376221225099e-16
23,A,gaussian_blur,1.1518563880486e-15,4.095929944420666e-15
23,B,clean,3.925431408496089e-16,1.1389698707984865e-15
23,B,brightness_dark,6.38378239159465e-16,3.521874150338691e-15
23,B,contrast_low,1.6653345369377348e-15,6.689093723366568e-15
23,B,gaussian_noise,4.440892098500626e-16,1.8596235662471372e-15
23,B,gaussian_blur,5.551115123125783e-16,1.687114953913888e-15
24,A,clean,9.228728892196614e-16,2.671474153004283e-15
24,A,brightness_dark,5.689893001203927e-16,1.97758476261356e-15
24,A,contrast_low,1.5765166949677222e-15,4.755917881738014e-15
24,A,gaussian_noise,9.228728892196614e-16,2.5604518505417673e-15
24,A,gaussian_blur,7.137148015447435e-16,2.9034314635063247e-15
24,B,clean,9.228728892196614e-16,2.671474153004283e-15
24,B,brightness_dark,1.1032841307212493e-15,3.1710745140856034e-15
24,B,contrast_low,7.7021722333370235e-16,2.6020852139652106e-15
24,B,gaussian_noise,8.770761894538737e-16,1.920685832601521e-15
24,B,gaussian_blur,8.437694987151189e-16,2.1038726316646716e-15
25,A,clean,5.551115123125783e-16,1.7416623698807143e-15
25,A,brightness_dark,1.1102230246251565e-15,3.622102617839573e-15
25,A,contrast_low,7.771561172376096e-16,1.5543122344752192e-15
25,A,gaussian_noise,6.106226635438361e-16,1.8412850609296683e-15
25,A,gaussian_blur,1.3877787807814457e-15,4.7488055154865094e-15
25,B,clean,5.551115123125783e-16,1.7416623698807143e-15
25,B,brightness_dark,1.6653345369377348e-15,4.2208300346909965e-15
25,B,contrast_low,8.604228440844963e-16,2.0816681711721685e-15
25,B,gaussian_noise,1.3322676295501878e-15,3.7192471324942744e-15
25,B,gaussian_blur,4.440892098500626e-16,8.049116928532385e-16
26,A,clean,1.824929096727601e-15,4.44505543484297e-15
26,A,brightness_dark,8.326672684688674e-17,8.326672684688674e-17
26,A,contrast_low,1.6745863954762778e-15,3.374615401933549e-15
26,A,gaussian_noise,1.0505485370515544e-15,2.2912227670701667e-15
26,A,gaussian_blur,8.534839501805891e-16,1.6537697137645562e-15
26,B,clean,1.824929096727601e-15,4.44505543484297e-15
26,B,brightness_dark,4.926614671774132e-16,1.1612238948188748e-15
26,B,contrast_low,1.6653345369377348e-15,3.858025010572419e-15
26,B,gaussian_noise,1.7832957333041577e-15,3.9621084191310274e-15
26,B,gaussian_blur,9.93649607039515e-16,2.890743200367751e-15
27,A,clean,3.5157062446463294e-16,8.696747026230394e-16
27,A,brightness_dark,1.3322676295501878e-15,2.7200464103316335e-15
27,A,contrast_low,1.6653345369377348e-15,3.4416913763379853e-15
27,A,gaussian_noise,1.609823385706477e-15,3.164135620181696e-15
27,A,gaussian_blur,3.3306690738754696e-16,7.41073868937292e-16
27,B,clean,3.5157062446463294e-16,8.696747026230394e-16
27,B,brightness_dark,9.159339953157541e-16,1.8041124150158794e-15
27,B,contrast_low,9.992007221626409e-16,1.9984014443252818e-15
27,B,gaussian_noise,6.106226635438361e-16,1.1657341758564144e-15
27,B,gaussian_blur,1.27675647831893e-15,2.4980018054066022e-15
28,A,clean,9.159339953157541e-16,3.4843160103191295e-15
28,A,brightness_dark,2.1371793224034263e-15,5.909955065013557e-15
28,A,contrast_low,9.71445146547012e-16,3.984907641958151e-15
28,A,gaussian_noise,7.771561172376096e-16,2.6789912880668494e-15
28,A,gaussian_blur,1.1934897514720433e-15,3.3009309571444387e-15
28,B,clean,9.159339953157541e-16,3.4843160103191295e-15
28,B,brightness_dark,1.0824674490095276e-15,3.737288256644433e-15
28,B,contrast_low,1.3322676295501878e-15,3.913536161803677e-15
28,B,gaussian_noise,9.43689570931383e-16,2.517083763642347e-15
28,B,gaussian_blur,6.661338147750939e-16,2.519396728276983e-15
29,A,clean,9.992007221626409e-16,1.942890293094024e-15
29,A,brightness_dark,7.771561172376096e-16,1.3525060701032507e-15
29,A,contrast_low,1.3322676295501878e-15,2.6645352591003757e-15
29,A,gaussian_noise,1.1102230246251565e-16,1.6653345369377348e-16
29,A,gaussian_blur,1.3322676295501878e-15,2.6645352591003757e-15
29,B,clean,9.992007221626409e-16,1.942890293094024e-15
29,B,brightness_dark,1.3322676295501878e-15,2.6367796834847468e-15
29,B,contrast_low,5.551115123125783e-16,9.992007221626409e-16
29,B,gaussian_noise,4.440892098500626e-16,8.326672684688674e-16
29,B,gaussian_blur,5.551115123125783e-16,1.0732155904709848e-15
30,A,clean,1.8318679906315083e-15,3.858025010572419e-15
30,A,brightness_dark,1.4988010832439613e-15,3.226585665316861e-15
30,A,contrast_low,9.992007221626409e-16,2.345346139520643e-15
30,A,gaussian_noise,1.1102230246251565e-15,3.469446951953614e-15
30,A,gaussian_blur,4.371503159461554e-16,9.020562075079397e-16
30,B,clean,1.8318679906315083e-15,3.858025010572419e-15
30,B,brightness_dark,1.5404344466674047e-15,4.6629367034256575e-15
30,B,contrast_low,2.0539125955565396e-15,4.121702978920894e-15
30,B,gaussian_noise,1.4155343563970746e-15,3.4035274598664955e-15
30,B,gaussian_blur,7.771561172376096e-16,1.837419105754634e-15
31,A,clean,7.771561172376096e-16,1.7222334669497742e-15
31,A,brightness_dark,8.881784197001252e-16,1.8041124150158794e-15
31,A,contrast_low,6.661338147750939e-16,1.2212453270876722e-15
31,A,gaussian_noise,1.3322676295501878e-15,2.6645352591003757e-15
31,A,gaussian_blur,3.3306690738754696e-16,6.661338147750939e-16
31,B,clean,7.771561172376096e-16,1.7222334669497742e-15
31,B,brightness_dark,1.4432899320127035e-15,2.914335439641036e-15
31,B,contrast_low,0.0,0.0
31,B,gaussian_noise,5.551115123125783e-16,1.2212453270876722e-15
31,B,gaussian_blur,3.3306690738754696e-16,5.551115123125783e-16
32,A,clean,1.0547118733938987e-15,3.0303140948920568e-15
32,A,brightness_dark,7.494005416219807e-16,2.4702462297909733e-15
32,A,contrast_low,8.881784197001252e-16,2.8171909249863347e-15
32,A,gaussian_noise,7.154770603139898e-16,2.3380217515109634e-15
32,A,gaussian_blur,1.304512053934559e-15,3.2285131358457247e-15
32,B,clean,1.0547118733938987e-15,3.0303140948920568e-15
32,B,brightness_dark,7.494005416219807e-16,1.8989439650359446e-15
32,B,contrast_low,7.771561172376096e-16,2.400857290751901e-15
32,B,gaussian_noise,4.718447854656915e-16,9.783840404509192e-16
32,B,gaussian_blur,1.3322676295501878e-15,2.6691611883696473e-15
33,A,clean,6.661338147750939e-16,1.2212453270876722e-15
33,A,brightness_dark,1.2212453270876722e-15,2.3100734288424482e-15
33,A,contrast_low,1.7763568394002505e-15,5.657511496319028e-15
33,A,gaussian_noise,4.440892098500626e-16,1.2490009027033011e-15
33,A,gaussian_blur,5.828670879282072e-16,1.0547118733938987e-15
33,B,clean,6.661338147750939e-16,1.2212453270876722e-15
33,B,brightness_dark,1.2559397966072083e-15,3.0600522116230877e-15
33,B,contrast_low,1.4432899320127035e-15,3.552713678800501e-15
33,B,gaussian_noise,6.661338147750939e-16,1.304512053934559e-15
33,B,gaussian_blur,9.635149820854037e-16,2.6986101845213482e-15
34,A,clean,3.3306690738754696e-16,8.949004731695354e-16
34,A,brightness_dark,2.9976021664879227e-15,6.827871601444713e-15
34,A,contrast_low,9.992007221626409e-16,2.192690473634684e-15
34,A,gaussian_noise,6.661338147750939e-16,2.2514232541784704e-15
34,A,gaussian_blur,8.187894806610529e-16,2.3717139363554907e-15
34,B,clean,3.3306690738754696e-16,8.949004731695354e-16
