client,bank,context,max_error,iterations,updates,trace,converged,cap_hit,direct_KKT,sum_error,objective,initial_objective,active_classes,clipped_coordinates,L1_change,differs_from_BBSE
82,A,gaussian_noise,5.967448757360216e-16,0,0,"[{'active': [3, 7], 'minimum': 0.0500000000000006, 'action': 'accept'}]",True,False,1.4503111418036924e-17,0.0,3.689359549716799e-33,6.235198194953676e-33,2,0,1.2587153541687715e-15,False
82,A,gaussian_blur,6.661338147750939e-16,0,0,"[{'active': [3, 7], 'minimum': 0.04999999999999938, 'action': 'accept'}]",True,False,1.9331531585413183e-17,0.0,4.556028024691055e-33,9.026743371376831e-32,2,0,3.4856377043960643e-15,False
82,B,clean,4.85722573273506e-16,0,0,"[{'active': [3, 7], 'minimum': 0.05000000000000049, 'action': 'accept'}]",True,False,1.0170893675405756e-17,0.0,3.009265538105056e-33,1.6626192098030435e-33,2,0,1.314226505400029e-15,False
82,B,brightness_dark,1.1102230246251565e-15,0,0,"[{'active': [3, 7], 'minimum': 0.049999999999998934, 'action': 'accept'}]",True,False,2.0870889221936364e-17,0.0,8.955574241400647e-33,8.867101834580358e-32,2,0,2.9976021664879227e-15,False
82,B,contrast_low,1.0408340855860843e-15,0,0,"[{'active': [3, 7], 'minimum': 0.050000000000001044, 'action': 'accept'}]",True,False,8.396271697120683e-18,0.0,3.468178532666077e-33,4.3213053127188604e-32,2,0,4.84751128126959e-15,False
82,B,gaussian_noise,3.039235529911366e-15,0,0,"[{'active': [3, 7], 'minimum': 0.05000000000000304, 'action': 'accept'}]",True,False,7.852617098204926e-17,0.0,8.322424772183343e-32,8.42744813946321e-33,2,0,8.051429893167022e-15,False
82,B,gaussian_blur,4.440892098500626e-16,0,0,"[{'active': [3, 7], 'minimum': 0.0499999999999996, 'action': 'accept'}]",True,False,1.1031728536837817e-17,0.0,1.7589157070224052e-33,5.917570217406687e-32,2,0,4.492239913389539e-15,False
83,A,clean,7.216449660063518e-16,0,0,"[{'active': [4, 7, 8], 'minimum': 0.05000000000000068, 'action': 'accept'}]",True,False,2.1970989611357854e-17,0.0,5.193992318769327e-33,2.632505492734303e-32,3,0,4.121702978920894e-15,False
83,A,brightness_dark,5.134781488891349e-16,0,0,"[{'active': [4, 7, 8], 'minimum': 0.050000000000000516, 'action': 'accept'}]",True,False,2.922149623585683e-17,0.0,4.6523245219104166e-33,1.411225166749747e-31,3,0,3.094746681142624e-15,False
83,A,contrast_low,5.412337245047638e-16,0,0,"[{'active': [4, 7, 8], 'minimum': 0.04999999999999946, 'action': 'accept'}]",True,False,6.278752212012275e-18,0.0,2.505213560472459e-33,1.0126178535723514e-33,3,0,1.609823385706477e-15,False
83,A,gaussian_noise,1.4988010832439613e-15,0,0,"[{'active': [4, 7, 8], 'minimum': 0.049999999999998684, 'action': 'accept'}]",True,False,2.2414567720437113e-17,0.0,1.293984181385174e-32,2.1937545772785858e-32,3,0,5.447031714567174e-15,False
