client,bank,target,alpha,prediction_key,reused_key,query_accuracy,class_total,class_correct,source_J,source_C,source_agreement,DeltaAcc_vs_alpha0
1,B,brightness_dark,0.5,B|brightness_dark|0.5|c1,,3.0303030303030303,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",170.74972187925772,0.0020446620312773753,0.9,3.0303030303030303
1,B,brightness_dark,0.75,B|brightness_dark|0.75|c1,,7.07070707070707,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 4, 0, 0]",143.65022585757262,0.00300432112937291,0.8500000000000001,7.07070707070707
1,B,brightness_dark,1.0,B|brightness_dark|1.0|c1,r65,14.14141414141414,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 11, 0, 0]",134.85975880197918,0.004162135036713086,0.8,14.14141414141414
1,B,brightness_dark,1.25,B|brightness_dark|1.25|c1,,21.21212121212121,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 18, 0, 0]",154.4207271303219,0.005472929163605266,0.8,21.21212121212121
1,B,brightness_dark,1.5,B|brightness_dark|1.5|c1,,27.27272727272727,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 24, 0, 0]",155.67186670764207,0.006979513865809298,0.9500000000000001,27.27272727272727
1,A,contrast_low,0.0,A|contrast_low|0.0|c1,r70,1.0101010101010102,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",112.89892865744173,0.0003804901622054503,1.0,0.0
1,A,contrast_low,0.25,A|contrast_low|0.25|c1,,3.0303030303030303,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",69.68806959345552,0.0005496444922697686,0.9,2.02020202020202
1,A,contrast_low,0.5,A|contrast_low|0.5|c1,,3.0303030303030303,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",40.697952384992064,0.0007740053560590457,0.9500000000000001,2.02020202020202
1,A,contrast_low,0.75,A|contrast_low|0.75|c1,,3.0303030303030303,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",22.02640093323783,0.0010379603779275123,1.0,2.02020202020202
1,A,contrast_low,1.0,A|contrast_low|1.0|c1,r72,5.05050505050505,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 1, 0, 1, 0, 0]",12.333580264092099,0.0013391230839297245,1.0,4.04040404040404
1,A,contrast_low,1.25,A|contrast_low|1.25|c1,,6.0606060606060606,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 1, 0, 2, 0, 0]",10.915555415672786,0.0016759226552668012,0.9,5.05050505050505
1,A,contrast_low,1.5,A|contrast_low|1.5|c1,,6.0606060606060606,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 1, 0, 2, 0, 0]",17.13687218207859,0.002038433261272846,0.9500000000000001,5.05050505050505
1,B,contrast_low,0.0,B|contrast_low|0.0|c1,r77,1.0101010101010102,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",113.73745836998219,0.0003804901622054503,1.0,0.0
1,B,contrast_low,0.25,B|contrast_low|0.25|c1,,3.0303030303030303,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",71.03790923647789,0.0005480013131362566,0.9,2.02020202020202
