method,context,support_seed,lr,steps,checkpoint_sha256,source_tensor_sha256,baseline_accuracy,query_loss_before,gain_pp,accuracy,loss,worst_class_accuracy,gamma_norm,beta_norm,support_loss_trajectory,prediction_key,support_loss_before,support_loss_after
affine,wrong_USPS,11,0.001,3,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.0441701412200928,18.65079402923584,7.77669993112795e-06,1.1711016668414231e-05,,r0033,0.0009361339616589248,0.0009360717376694083
affine,wrong_USPS,11,0.001,5,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.0441701412200928,18.65079402923584,1.2960533240402583e-05,1.9517154214554466e-05,,r0034,0.0009361339616589248,0.0009360256954096258
affine,wrong_USPS,11,0.001,10,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.0441691875457764,18.65079402923584,2.591593874967657e-05,3.9023874705890194e-05,,r0035,0.0009361339616589248,0.0009359156247228384
affine,wrong_USPS,11,0.01,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.0441691875457764,18.65079402923584,2.592366399767343e-05,3.903924152837135e-05,,r0036,0.0009361339616589248,0.0009359156247228384
affine,wrong_USPS,11,0.01,3,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.04416823387146,18.65079402923584,7.771168748149648e-05,0.0001169862734968774,,r0037,0.0009361339616589248,0.0009354788344353437
affine,wrong_USPS,11,0.01,5,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.0441670417785645,18.65079402923584,0.00012944158515892923,0.00019481085473671556,,r0038,0.0009361339616589248,0.0009350391337648034
affine,wrong_USPS,11,0.01,10,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.0441651344299316,18.65079402923584,0.00025852766702882946,0.0003888687933795154,,r0039,0.0009361339616589248,0.0009339516400359571
affine,wrong_USPS,11,0.1,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.0441648960113525,18.65079402923584,0.0002592366363387555,0.00039039243711158633,,r0040,0.0009361339616589248,0.0009339458774775267
affine,wrong_USPS,11,0.1,3,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.10000169277191162,41.733333468437195,2.044158697128296,18.65079402923584,0.0007735287072136998,0.0011627261992543936,,r0041,0.0009361339616589248,0.0009296589996665716
affine,wrong_USPS,11,0.1,5,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.13333559036254883,41.76666736602783,2.044159412384033,18.65079402923584,0.0012812369968742132,0.0019211710896342993,,r0042,0.0009361339616589248,0.0009255053009837866
