K,bank,context,L1_mean,L1_median,L1_p05,L1_p95,JS_mean,JS_median,JS_p05,JS_p95,projection_L1_mean,projection_L1_median,projection_L1_p05,projection_L1_p95,dominant_class_agreement,negative_entry_fraction
80,A,gaussian_noise,0.39630358213088934,0.35709376265079457,0.03241125930443596,0.8925847490705571,0.07703034031621313,0.06310739056576598,0.0012889763194394116,0.20194085184454147,0.5876134811003056,0.5327800832535505,0.16858236924881725,1.1934567466385604,0.88546875,0.39809375
80,A,gaussian_blur,0.3890914129285541,0.35432838452869847,0.03750818354029655,0.8563841227916629,0.07513670392691153,0.06211656279582359,0.0015649544498717186,0.19164607440256182,0.567845079313781,0.5153842331217712,0.16651153365755736,1.1351979633528477,0.89265625,0.39703125
80,B,clean,0.37792094582148245,0.3415380111949259,0.033652995891272686,0.8431130360205096,0.07273366498243423,0.05942802594296415,0.00144283235394625,0.1876103015033337,0.5453466148144115,0.4961551790079186,0.15645330781434705,1.1121451025713718,0.9009375,0.3949921875
80,B,brightness_dark,0.43675738115739926,0.39742060053202777,0.043736962380569865,0.9707353578733128,0.08788078410949651,0.07207428872243582,0.0024885637391037275,0.22942903931736217,0.6971160279386734,0.6280346709383535,0.20428832827512305,1.426024156525993,0.870390625,0.398953125
80,B,contrast_low,0.4702011305873289,0.422301722164359,0.06103761287231899,1.0517881917765437,0.09759348061036842,0.07945959509940287,0.0038589471975303607,0.25222146880554325,0.7806854756271158,0.7155542812479226,0.24030892982401814,1.5680658122543687,0.86109375,0.40138281249999996
80,B,gaussian_noise,0.3986630417628821,0.36009510313324355,0.037365943928414816,0.8999999999999999,0.07717600515566789,0.06318588586822085,0.0017913869029125417,0.19946229419976738,0.5907907256227813,0.5333091437411323,0.17283715712478137,1.2021977289447585,0.8846875,0.3974609375
80,B,gaussian_blur,0.3871736469871607,0.3517605096476265,0.028702376126286146,0.8657207265058924,0.07486370923501683,0.061444580472329036,0.0013804888930872873,0.1921434567608962,0.568393903677745,0.5221053518006082,0.1706517893936789,1.1298974561506816,0.892890625,0.39714062499999997
160,A,clean,0.2799112156464974,0.25205771932394516,0.0252553506872277,0.6138700215143627,0.04952018004693359,0.04047347592417322,0.0007528035266711366,0.12812139021783908,0.38102929676416,0.34523719804331865,0.09731876525615443,0.7917595622535207,0.9340625,0.3846640625
160,A,brightness_dark,0.31988824326406784,0.2892148703816071,0.03148168060327813,0.7170116184786366,0.05968809870363849,0.048187338255309076,0.001130814339616021,0.15421323676199863,0.4805718369040278,0.43675408606162935,0.12826590513491692,0.9855050812272893,0.918515625,0.38757031249999996
160,A,contrast_low,0.34076805897535734,0.30725028464057746,0.038121785744526376,0.7454429237534614,0.0643664627772881,0.05360302642595467,0.0015954896479203025,0.16392970740201632,0.5126647139178216,0.47064674831505254,0.1444568889115823,1.0316736815877103,0.91625,0.38840625
160,A,gaussian_noise,0.2927482158662005,0.2637022894346073,0.025093562709292905,0.6517655231810372,0.05240209351251538,0.042192659099026586,0.0008286289156226373,0.13667462788133303,0.40753609357594917,0.37055577902489373,0.11215422898308829,0.8422391069154045,0.933046875,0.3851484375
160,A,gaussian_blur,0.28422006694358815,0.25722871348111764,0.0210443420769203,0.6191995070063202,0.050376518075767686,0.04163667422858752,0.0005944406653262364,0.12780180503014635,0.3941819812201014,0.3584205911711846,0.11093733105568733,0.7966739705780365,0.932890625,0.3861640625
160,B,clean,0.28032732758159373,0.25357154506207435,0.023096938848877473,0.6161232326803888,0.049696649271242066,0.04061179405421887,0.0007564279759805116,0.1290585249972023,0.38358477517338085,0.34597989784094446,0.10034290541178051,0.7955849114550017,0.933046875,0.384140625
160,B,brightness_dark,0.3267167519024396,0.29270752273086903,0.03458979065883749,0.7326290435788579,0.06107340005140206,0.049628198348744296,0.0014896426028000126,0.15848823878335916,0.4862493621809986,0.4401812562088424,0.13431657305915834,1.0006673578012593,0.92140625,0.387609375
160,B,contrast_low,0.3534384139751163,0.31781104108691355,0.04442956660902871,0.7818630298750632,0.06742973476111086,0.05535757316261371,0.0023331698124361166,0.1743401761849119,0.5366544027509215,0.4896537002094171,0.15730621420500637,1.0798000640520646,0.911875,0.39103125
160,B,gaussian_noise,0.2977329475421394,0.26838324554869286,0.026307096727218857,0.6708563954767144,0.053378112935370085,0.04303242619263288,0.0007877255806807239,0.14007021728802369,0.4075650331568623,0.3669547214450134,0.10910373563681698,0.8427689119905135,0.927265625,0.38521875
160,B,gaussian_blur,0.28356283968689927,0.25793407411853037,0.023831971093937622,0.6251162240320614,0.0505336392235439,0.04140626209932552,0.0007866055546513042,0.13072991835483136,0.39254413178714687,0.3586978094555173,0.10964238544189847,0.7863106988289473,0.934609375,0.38670312500000004
