bank,context,stratum,n,actual_true_regret_pp,actual_canonical_agreement,actual_optimal_set_agreement,actual_L1,actual_DU_pp,boot_true_regret_mean_pp,boot_canonical_agreement,boot_optimal_set_agreement,boot_L1_mean,boot_DU_mean_pp
B,gaussian_noise,legacy_quartile_1,264,1.4745930162641345,0.5568181818181818,0.5606060606060606,0.7107708619992391,8.605411750524922,1.2116290855491,0.49372632575757575,0.5201822916666666,0.6602128909030043,8.733408125093732
B,gaussian_noise,legacy_quartile_2,171,1.9384902437323723,0.5906432748538012,0.5906432748538012,0.6858965027306675,9.332429653769703,1.3941702602761297,0.6616410818713451,0.6616410818713451,0.6749394585532001,9.030388263979965
B,gaussian_noise,legacy_quartile_3,210,1.698841967548314,0.7952380952380952,0.7952380952380952,0.7728975541056287,9.666658642072194,1.2465230678882628,0.8644345238095238,0.8644345238095238,0.689700492448012,9.44539821585553
B,gaussian_noise,legacy_quartile_4,155,6.813096916088371,0.6387096774193548,0.6387096774193548,0.9313662644278143,15.166528400881871,3.9550605581833502,0.7928931451612903,0.7928931451612903,0.7869851418484463,13.140854343009003
B,gaussian_noise,best_tied,11,0.0,0.9090909090909091,1.0,1.2728096848574944,6.53638509876292,0.0,0.3650568181818182,1.0,0.4376741780556308,4.490306393832461
B,gaussian_noise,singleton,789,2.704133362675299,0.6387832699619772,0.6387832699619772,0.7574159193280153,10.3632245295547,1.8163211962828076,0.6893516318124208,0.6893516318124208,0.6992601204727125,9.912279868604841
B,gaussian_blur,all,800,3.2464359259121425,0.5775,0.57875,0.743365251603958,9.786853777982758,2.139579992066576,0.654404296875,0.656357421875,0.6765125083089591,9.068319161192784
B,gaussian_blur,legacy_quartile_1,228,0.9824512591452822,0.4166666666666667,0.42105263157894735,0.7351489503372233,7.568630902885979,1.2023120786858155,0.4868078399122807,0.4936609100877193,0.6183714545386166,7.014919812729929
B,gaussian_blur,legacy_quartile_2,224,2.210255994041299,0.6205357142857143,0.6205357142857143,0.6648888921597814,7.467181684541592,2.009750151733484,0.6028180803571429,0.6028180803571429,0.697352085228267,8.255061538776175
B,gaussian_blur,legacy_quartile_3,198,3.926886486938174,0.6262626262626263,0.6262626262626263,0.736811587541182,10.07707625153696,2.426300152468532,0.7688604797979798,0.7688604797979798,0.6837088671679166,9.493975096750834
B,gaussian_blur,legacy_quartile_4,150,7.336859910437202,0.6933333333333334,0.6933333333333334,0.8816962295288961,16.23950254257712,3.3796358369054995,0.8351041666666666,0.8351041666666666,0.7242672814798902,12.84208505206184
B,gaussian_blur,best_tied,3,0.0,0.6666666666666666,1.0,0.17376886586547602,2.0610854994528935,0.22869089363577608,0.4010416666666667,0.921875,0.49152617917849684,5.338145976295976
B,gaussian_blur,singleton,797,3.258655885482703,0.5771643663739021,0.5771643663739021,0.7455092781500253,9.815934461590775,2.1467727992124885,0.6553579830614805,0.6553579830614805,0.6772088182053096,9.082359963645347
