client,bank,context,D_actual,p50,p90,p95,maximum,percentile,above_p95
20,B,contrast_low,0.11987144658705572,0.11265868283938638,0.20324280211957063,0.22451528998379408,0.28529378937683025,0.5390625,False
20,B,gaussian_noise,0.12241350675233362,0.11167208555565675,0.1836815430425433,0.21812971149681207,0.3189114388647933,0.59375,False
20,B,gaussian_blur,0.1324577395661069,0.10977672404414651,0.1713153783755125,0.1970939149065981,0.27949011817064384,0.7109375,False
21,A,clean,0.2278044792645238,0.14094407967911562,0.2338941270549013,0.26838100152531386,0.3442898388284272,0.8828125,False
21,A,brightness_dark,0.2064640691141273,0.1463086031031533,0.22705023196535581,0.25267401753283897,0.41735415935189696,0.828125,False
21,A,contrast_low,0.1963420594363399,0.13453042497142387,0.22531002996384736,0.256382290310697,0.32734705576817946,0.8046875,False
21,A,gaussian_noise,0.2282363455255616,0.14360183223548334,0.2177195676628979,0.2457692677646333,0.32644429976570216,0.921875,False
21,A,gaussian_blur,0.22890692565028842,0.14448524294854687,0.23953396055230383,0.2589056093862471,0.3685081927810367,0.875,False
21,B,clean,0.2278044792645238,0.13249677066389398,0.20785404409775582,0.22764036389899858,0.2808881792849272,0.953125,True
21,B,brightness_dark,0.20717733064428137,0.1500024801722084,0.23252008468192023,0.2568565858425798,0.2943399640343627,0.8203125,False
21,B,contrast_low,0.2044478954606595,0.1346655156103214,0.21343710402045515,0.23792455880238497,0.28430400730396627,0.859375,False
21,B,gaussian_noise,0.22494439159015245,0.13865559972929134,0.23243899418071998,0.256815459414757,0.3617831946969076,0.890625,False
21,B,gaussian_blur,0.23102655696177363,0.13383967774286826,0.21636884998208727,0.24253418590989015,0.31470517900269396,0.9140625,False
