client,bank,context,salt,train_half,argmax_size,best_tied,legacy_margin_pp,distinct_level_margin_pp,legacy_margin_quartile,actual_state,actual_true_regret_pp,actual_canonical_agreement,actual_optimal_set_agreement,actual_L1,actual_DU_pp,boot_true_regret_mean_pp,boot_true_regret_p05_pp,boot_true_regret_median_pp,boot_true_regret_p95_pp,boot_canonical_agreement,boot_optimal_set_agreement,boot_L1_mean,boot_DU_mean_pp,boot_DU_median_pp,boot_query_oracle_regret_mean_pp,boot_query_oracle_regret_p95_pp
0,B,contrast_low,T013-S0,0,1,False,5.826852133749393,5.826852133749393,3,2,0.0,True,True,1.0178721056567421,7.711992128921905,4.848475082821096,0.0,5.826852133749393,10.15450078741443,0.296875,0.296875,0.7738269180077666,8.630289480087079,6.806196982435591,4.924508426966293,14.606741573033707
0,B,contrast_low,T013-S0,1,1,False,5.436897924880728,5.436897924880728,3,4,6.129241273514137,False,False,1.0178721056567421,7.414881153338708,4.987506496216424,0.0,5.436897924880728,9.80741840524563,0.234375,0.234375,0.7738269180077666,8.735323957880897,6.718861699717311,12.658005617977526,19.10112359550562
0,B,contrast_low,T013-S1,0,1,False,5.135930995813704,5.135930995813704,3,4,6.543399323317946,False,False,1.0178721056567421,7.754288764721232,5.057057473946286,0.0,5.135930995813704,10.215888485495304,0.1875,0.1875,0.7738269180077666,8.916725040703863,7.0181999399783095,7.364817415730336,13.48314606741573
0,B,contrast_low,T013-S1,1,1,False,6.14396162330459,6.14396162330459,3,4,6.4065699071796045,False,False,1.0178721056567421,7.404718868055306,3.9932204175325836,0.0,6.143961623304591,9.766305504649546,0.4609375,0.4609375,0.7738269180077666,8.462074938842495,6.558576839834464,8.137289325842698,20.224719101123597
0,B,contrast_low,T013-S2,0,1,False,5.1215035430971705,5.1215035430971705,3,4,5.926213437917568,False,False,1.0178721056567421,7.249190263356445,4.927483285605118,0.0,5.1215035430971705,9.458315168167115,0.203125,0.203125,0.7738269180077666,8.96860868766747,6.7579867423784705,10.48981741573034,15.730337078651685
0,B,contrast_low,T013-S2,1,1,False,6.129714256000682,6.129714256000682,3,2,0.0,True,True,1.0178721056567421,7.878650915503488,4.874438069132875,0.0,6.129714256000682,10.489005947792407,0.328125,0.328125,0.7738269180077666,8.416104717920234,6.730732288289874,7.04880617977528,17.97752808988764
0,B,contrast_low,T013-S3,0,1,False,4.757910714129494,4.757910714129494,3,1,4.757910714129494,False,False,1.0178721056567421,7.456219127343577,4.711080617875545,0.0,4.757910714129493,9.81063386319298,0.203125,0.203125,0.7738269180077666,8.746659709861571,6.623255636266845,5.916432584269662,13.48314606741573
0,B,contrast_low,T013-S3,1,1,False,6.490327186272357,6.490327186272357,3,2,0.0,True,True,1.0178721056567421,7.672824788003181,4.106057099401792,0.0,6.490327186272357,10.144485993722457,0.46875,0.46875,0.7738269180077666,8.640996885383089,6.749614984948654,8.751755617977526,20.224719101123597
0,B,gaussian_noise,T013-S0,0,1,False,9.24026212503017,9.24026212503017,3,1,0.0,True,True,1.2082317528138873,5.520107466847838,0.87672869503858,0.0,0.0,9.24026212503017,0.90625,0.90625,0.6466462423193955,5.547750605180347,4.42285502741722,0.684691011235955,6.741573033707865
0,B,gaussian_noise,T013-S0,1,1,False,8.449182921988346,8.449182921988346,3,1,0.0,True,True,1.2082317528138873,4.772453357537241,0.8812216120698084,0.0,0.0,8.449182921988344,0.8984375,0.8984375,0.6466462423193955,5.3970143087681866,4.247868172277533,1.1587078651685394,11.235955056179776
