client,target,n_query,none,oracle_correct,oracle_wrong_clean,oracle_wrong_alt,oracle_noise_source,oracle_wrong_clean_delta,oracle_wrong_alt_delta,oracle_noise_source_delta
64,contrast_low,127,10.236220061779022,18.110236525535583,10.236220061779022,14.173227548599243,4.724409431219101,7.874016463756561,3.9370089769363403,13.385827094316483
65,contrast_low,152,0.0,15.789473056793213,0.0,1.9736841320991516,0.0,15.789473056793213,13.815788924694061,15.789473056793213
66,contrast_low,194,2.0618556067347527,3.0927833169698715,2.0618556067347527,2.0618556067347527,0.0,1.0309277102351189,1.0309277102351189,3.0927833169698715
67,contrast_low,82,7.31707289814949,20.73170691728592,7.31707289814949,10.975609719753265,4.878048598766327,13.414634019136429,9.756097197532654,15.853658318519592
68,contrast_low,229,1.7467249184846878,21.397380530834198,1.7467249184846878,8.296943455934525,29.694324731826782,19.65065561234951,13.100437074899673,-8.296944200992584
69,contrast_low,142,6.338027864694595,7.746478915214539,6.338027864694595,4.929577559232712,0.0,1.4084510505199432,2.816901355981827,7.746478915214539
70,contrast_low,77,38.96103799343109,57.14285969734192,38.96103799343109,55.84415793418884,70.1298713684082,18.181821703910828,1.2987017631530762,-12.987011671066284
71,contrast_low,36,2.777777798473835,11.11111119389534,2.777777798473835,5.55555559694767,0.0,8.333333395421505,5.55555559694767,11.11111119389534
72,contrast_low,161,23.60248565673828,37.88819909095764,23.60248565673828,31.05590045452118,50.31055808067322,14.28571343421936,6.832298636436462,-12.422358989715576
73,contrast_low,228,15.789473056793213,19.29824650287628,15.789473056793213,17.543859779834747,19.29824650287628,3.508773446083069,1.7543867230415344,0.0
74,contrast_low,164,68.90243887901306,71.95121645927429,68.90243887901306,78.04877758026123,92.07316637039185,3.0487775802612305,-6.0975611209869385,-20.121949911117554
75,contrast_low,200,3.999999910593033,37.00000047683716,3.999999910593033,18.50000023841858,42.49999821186066,33.000000566244125,18.50000023841858,-5.4999977350234985
76,contrast_low,167,44.31138038635254,46.706587076187134,44.31138038635254,50.89820623397827,54.4910192489624,2.3952066898345947,-4.191619157791138,-7.7844321727752686
77,contrast_low,172,36.62790656089783,27.906978130340576,36.62790656089783,30.2325576543808,51.744186878204346,-8.720928430557251,-2.325579524040222,-23.83720874786377
78,contrast_low,98,2.0408162847161293,12.244898080825806,2.0408162847161293,3.0612245202064514,0.0,10.204081796109676,9.183673560619354,12.244898080825806
79,contrast_low,18,50.0,33.33333432674408,50.0,38.88888955116272,11.11111119389534,-16.66666567325592,-5.55555522441864,22.22222313284874
80,contrast_low,80,73.7500011920929,75.0,73.7500011920929,78.75000238418579,81.25,1.2499988079071045,-3.750002384185791,-6.25
81,contrast_low,17,0.0,5.882352963089943,0.0,0.0,0.0,5.882352963089943,5.882352963089943,5.882352963089943
82,contrast_low,163,0.0,2.4539876729249954,0.0,0.0,0.0,2.4539876729249954,2.4539876729249954,2.4539876729249954
83,contrast_low,509,37.721022963523865,51.27701759338379,37.721022963523865,48.72298836708069,79.1748583316803,13.555994629859924,2.5540292263031006,-27.89784073829651
84,contrast_low,254,66.5354311466217,64.56692814826965,66.5354311466217,68.11023354530334,71.2598443031311,-1.9685029983520508,-3.5433053970336914,-6.69291615486145
85,contrast_low,222,52.70270109176636,55.40540814399719,52.70270109176636,58.55855941772461,63.9639675617218,2.702707052230835,-3.153151273727417,-8.55855941772461
86,contrast_low,40,10.000000149011612,5.000000074505806,10.000000149011612,7.500000298023224,7.500000298023224,-5.000000074505806,-2.500000223517418,-2.500000223517418
87,contrast_low,150,7.333333790302277,21.33333384990692,7.333333790302277,11.33333370089531,0.0,14.000000059604645,10.000000149011612,21.33333384990692
88,contrast_low,77,36.36363744735718,33.766233921051025,36.36363744735718,38.96103799343109,48.051947355270386,-2.5974035263061523,-5.194804072380066,-14.28571343421936
89,contrast_low,155,7.741935551166534,10.322580486536026,7.741935551166534,9.03225764632225,3.870967775583267,2.5806449353694916,1.2903228402137756,6.451612710952759
90,contrast_low,155,10.322580486536026,17.419354617595673,10.322580486536026,10.322580486536026,14.838708937168121,7.096774131059647,7.096774131059647,2.5806456804275513
