bank,context,salt,macro_class_p05,macro_class_median,macro_class_p95,capture_p05,capture_median,capture_p95,L1_p05,L1_median,L1_p95,JS_p05,JS_median,JS_p95,dominant_agreement_p05,dominant_agreement_median,dominant_agreement_p95,DU_p05,DU_median,DU_p95,true_template_regret_p05,true_template_regret_median,true_template_regret_p95,canonical_agreement_p05,canonical_agreement_median,canonical_agreement_p95,optimal_set_agreement_p05,optimal_set_agreement_median,optimal_set_agreement_p95
A,contrast_low,T013-S2,30.74058830590917,31.519937445312728,32.21142220556157,0.7927067360959738,0.8499878427506301,0.9008110364891861,0.7558757458687483,0.8237281571864172,0.8872214038958823,0.1852826531490486,0.2069378925239738,0.2301744546269828,0.57,0.65,0.72,0.09933966912421367,0.11266796702556872,0.1266711474614668,0.017612407893790483,0.024660343895842506,0.03143509319974848,0.575,0.635,0.685,0.59,0.645,0.695
A,contrast_low,T013-S3,30.70269388662871,31.5769827370068,32.30034411748861,0.7911853060648657,0.8555471579849343,0.908798298080262,0.7558757458687483,0.8237281571864172,0.8872214038958823,0.1852826531490486,0.2069378925239738,0.2301744546269828,0.57,0.65,0.72,0.09935027801529459,0.11265398806521708,0.12658991528722832,0.01688941679823863,0.024871804506733125,0.03247408499061307,0.57175,0.63,0.6932499999999999,0.58175,0.64,0.7032499999999999
A,gaussian_noise,T013-S0,35.853105683408984,36.54380888511981,36.9666679932375,0.7565383214390687,0.85748438417439,0.9192851141413584,0.6258196167677462,0.6884980901337655,0.7524881988797426,0.1444483777907558,0.1645636483356473,0.18268461620979282,0.66,0.73,0.8,0.08493499953485609,0.0948424503121219,0.10547408868097435,0.007101821765011734,0.011120271782474003,0.0170676452743955,0.6385000000000001,0.7,0.75325,0.6485000000000001,0.705,0.75825
A,gaussian_noise,T013-S1,35.875112193933155,36.535098827014735,36.922587970006994,0.7561461366503271,0.8521448635769011,0.9085073148154069,0.6258196167677462,0.6884980901337655,0.7524881988797426,0.1444483777907558,0.1645636483356473,0.18268461620979282,0.66,0.73,0.8,0.0848725037116149,0.09477553269421111,0.10539895553748821,0.006905769606190877,0.011057963942899332,0.0162358017586858,0.63525,0.6975,0.755,0.64525,0.705,0.765
A,gaussian_noise,T013-S2,35.91636848528105,36.50791406869438,36.92139439582021,0.7666830295346483,0.8532387155094021,0.9137396715725538,0.6258196167677462,0.6884980901337655,0.7524881988797426,0.1444483777907558,0.1645636483356473,0.18268461620979282,0.66,0.73,0.8,0.08490547690367892,0.09481139208567294,0.10539803100385543,0.00722046024889924,0.010973216725100413,0.016990455704133486,0.635,0.7,0.7615,0.645,0.71,0.765
A,gaussian_noise,T013-S3,35.884941069342446,36.54872186399683,36.92869559224293,0.7597291780868531,0.8565542278979832,0.9119806208587886,0.6258196167677462,0.6884980901337655,0.7524881988797426,0.1444483777907558,0.1645636483356473,0.18268461620979282,0.66,0.73,0.8,0.08493261602864514,0.09479900386783346,0.10542647155578662,0.0067948579635066396,0.010865088618126755,0.016560953452117853,0.63675,0.7,0.75325,0.64675,0.7075,0.76325
A,gaussian_blur,T013-S0,37.69250774280923,38.54546237281701,38.95711355532418,0.7422467551452455,0.8354744780107095,0.880467846954223,0.6229225100187247,0.693097455725429,0.7527824851830411,0.14526135551501237,0.16617471299311443,0.18628037061522068,0.65,0.73,0.7865,0.07750949393403124,0.09091119521622634,0.10206168110249628,0.012052846890403172,0.017109036122447265,0.024711827166053663,0.56,0.62,0.68,0.56,0.6225,0.68
A,gaussian_blur,T013-S1,37.62618615203722,38.47211160632703,38.99700526141792,0.7344527289102918,0.8268435943672443,0.8841717889744447,0.6229225100187247,0.693097455725429,0.7527824851830411,0.14526135551501237,0.16617471299311443,0.18628037061522068,0.65,0.73,0.7865,0.0775859991872821,0.09095487863702623,0.10213154467206143,0.011692125100281696,0.017086013506689268,0.024243188944858943,0.56,0.62,0.67,0.575,0.63,0.68
A,gaussian_blur,T013-S2,37.60331936459607,38.47230938877895,38.95002565144283,0.7384322909059389,0.834182092642568,0.8868193337656064,0.6229225100187247,0.693097455725429,0.7527824851830411,0.14526135551501237,0.16617471299311443,0.18628037061522068,0.65,0.73,0.7865,0.07762618295508746,0.09096660886379832,0.1020984638914814,0.012352534341211956,0.017167397857669082,0.024549795136271146,0.565,0.625,0.68325,0.565,0.6275,0.685
A,gaussian_blur,T013-S3,37.6655272877852,38.49509149117958,38.972364009500446,0.7441884177154207,0.835459382798325,0.88797023509457,0.6229225100187247,0.693097455725429,0.7527824851830411,0.14526135551501237,0.16617471299311443,0.18628037061522068,0.65,0.73,0.7865,0.07750829793151326,0.09091501914018522,0.10210894245264403,0.01205890157349764,0.017103917466737006,0.023619347993152573,0.5585,0.62,0.67,0.5635,0.625,0.675
