bank,context,salt,macro_class_delta_p05,macro_class_delta_median,macro_class_delta_p95,capture_delta_p05,capture_delta_median,capture_delta_p95,L1_delta_p05,L1_delta_median,L1_delta_p95,JS_delta_p05,JS_delta_median,JS_delta_p95,dominant_agreement_delta_p05,dominant_agreement_delta_median,dominant_agreement_delta_p95,DU_delta_p05,DU_delta_median,DU_delta_p95,true_template_regret_delta_p05,true_template_regret_delta_median,true_template_regret_delta_p95,canonical_agreement_delta_p05,canonical_agreement_delta_median,canonical_agreement_delta_p95,optimal_set_agreement_delta_p05,optimal_set_agreement_delta_median,optimal_set_agreement_delta_p95
B,brightness_dark,T013-S3,-0.03904046278071714,0.9154943125228101,2.0171730243276076,-0.002202018559992412,0.05163707917772403,0.11377560925019797,-0.09263330773544802,-0.007528808348665095,0.05397658632853088,-0.026818848347273626,0.002776800974935309,0.02504536037649522,-0.06649999999999995,0.020000000000000018,0.10999999999999999,-0.011182281571483444,0.007823391093103794,0.030504567733384502,-0.014883168879883732,-0.006130348801261645,0.0006367745505479036,-0.03499999999999999,0.030000000000000027,0.09649999999999989,-0.026500000000000017,0.03749999999999998,0.09999999999999998
B,contrast_low,T013-S0,-0.2413250939880589,0.7238092806616674,2.1986713298290077,-0.017996772139508704,0.05397793690354552,0.16396548853954224,-0.06963125037773313,0.03649679235065145,0.11140189048424842,-0.02010236411371059,0.015364964225107344,0.04532282421493595,-0.09000000000000004,-0.010000000000000009,0.07000000000000006,-0.010774288394619235,0.007614265890171605,0.023832207620160528,-0.023284367870985784,-0.007977017298387304,0.0025795067620058704,-0.06824999999999999,0.015000000000000013,0.09825000000000005,-0.06500000000000006,0.015000000000000013,0.10824999999999999
B,contrast_low,T013-S1,-0.2658709614262179,0.6826536702107617,2.2233248544275335,-0.020117563819107398,0.05165411334559794,0.16823153385995576,-0.06963125037773313,0.03649679235065145,0.11140189048424842,-0.02010236411371059,0.015364964225107344,0.04532282421493595,-0.09000000000000004,-0.010000000000000009,0.07000000000000006,-0.01067987720486926,0.007646057712687122,0.02389325006104193,-0.02392257412170118,-0.008427601341841909,0.0018601721753569327,-0.05500000000000001,0.015000000000000013,0.09000000000000004,-0.05499999999999994,0.01749999999999996,0.09000000000000004
B,contrast_low,T013-S2,-0.19093622342637298,0.7682769866650769,2.136196293359738,-0.014324166403180042,0.05763666633412762,0.1602589106814537,-0.06963125037773313,0.03649679235065145,0.11140189048424842,-0.02010236411371059,0.015364964225107344,0.04532282421493595,-0.09000000000000004,-0.010000000000000009,0.07000000000000006,-0.010738138697430828,0.007701042300321925,0.02384975327414778,-0.02285417480320342,-0.007970929224573785,0.001813569767840557,-0.05500000000000001,0.015000000000000013,0.09474999999999996,-0.050000000000000044,0.017500000000000016,0.09500000000000008
B,contrast_low,T013-S3,-0.2508075958292556,0.6571892150436511,2.231437181313123,-0.018620338915486846,0.04879073089973829,0.16566530390473297,-0.06963125037773313,0.03649679235065145,0.11140189048424842,-0.02010236411371059,0.015364964225107344,0.04532282421493595,-0.09000000000000004,-0.010000000000000009,0.07000000000000006,-0.010682538904630015,0.007694197189918796,0.024014854996069708,-0.023528992348360245,-0.0076272710045938216,0.0022170452370423987,-0.07149999999999998,0.010000000000000009,0.0915,-0.06500000000000002,0.012499999999999956,0.09500000000000008
B,gaussian_noise,T013-S0,-0.18412465006395598,0.4121362972778755,1.1375742347304025,-0.026694369584093304,0.05975147072775949,0.16492537550343062,-0.06495383990889428,-0.005815515095630108,0.05385589054712701,-0.01983167385558531,0.00048477453731317344,0.020489907711895208,-0.046499999999999965,0.020000000000000018,0.09000000000000008,-0.007635658269322527,0.002429362741382203,0.015234499847532643,-0.014068910387837596,-0.005416227416261213,0.0006366629927454773,-0.039999999999999925,0.014999999999999902,0.07500000000000007,-0.03500000000000003,0.010000000000000009,0.08000000000000003
B,gaussian_noise,T013-S1,-0.21487695902503068,0.4460288154228884,1.1677863617586346,-0.031152329233739708,0.06466415277298387,0.16930277392811718,-0.06495383990889428,-0.005815515095630108,0.05385589054712701,-0.01983167385558531,0.00048477453731317344,0.020489907711895208,-0.046499999999999965,0.020000000000000018,0.09000000000000008,-0.007640842926266817,0.002460394859665156,0.015229473783051806,-0.015041564056175858,-0.005493754057224144,0.0005657398485504663,-0.05324999999999997,0.0050000000000000044,0.08000000000000007,-0.04500000000000004,0.007500000000000007,0.08000000000000007
B,gaussian_noise,T013-S2,-0.15158206808769278,0.4328596140491676,1.1221290717231676,-0.021935179686772614,0.06263836833142195,0.16238136298390815,-0.06495383990889428,-0.005815515095630108,0.05385589054712701,-0.01983167385558531,0.00048477453731317344,0.020489907711895208,-0.046499999999999965,0.020000000000000018,0.09000000000000008,-0.0076441162178563895,0.0024584038565041086,0.015242434094315185,-0.014773393190682849,-0.00562578569691028,0.0007959872718973828,-0.05499999999999994,0.012499999999999956,0.06500000000000006,-0.048249999999999967,0.017500000000000016,0.06500000000000006
B,gaussian_noise,T013-S3,-0.2388070863515363,0.4026931541002732,1.047666378445838,-0.03455252680317682,0.05826487904141592,0.15158478408278409,-0.06495383990889428,-0.005815515095630108,0.05385589054712701,-0.01983167385558531,0.00048477453731317344,0.020489907711895208,-0.046499999999999965,0.020000000000000018,0.09000000000000008,-0.007571604877755629,0.0024198616424330674,0.015266012107791816,-0.01357452700382553,-0.005327561846580127,0.0008977736086700368,-0.05999999999999994,0.0050000000000000044,0.07324999999999995,-0.05325000000000005,0.0050000000000000044,0.07000000000000002
B,gaussian_blur,T013-S0,-0.32361043631967945,0.3781134272067419,1.3129290574293582,-0.0361251491367023,0.042209404936926986,0.14656436468782952,-0.05170003463275232,0.008932228811933007,0.08267116988739732,-0.010844629995660755,0.00795527936251958,0.030391244236608946,-0.06999999999999995,0.0,0.07000000000000002,-0.00742280912215654,0.004080654589536388,0.012956790520557253,-0.011682786225541697,-0.0037675925050175557,0.0024694598408150185,-0.08324999999999996,-0.015000000000000013,0.040000000000000036,-0.07999999999999996,-0.015000000000000013,0.04325
